created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-13T22:58:31+01:00,195,8,16,0,24,33,"$GNGGA,000030.264,4900.5216,N,00825.4475,E,0,0,,102.1,M,47.9,M,,*56",,,,
2021-12-13T22:58:46+01:00,196,5,14,1,23,33,"$GNGGA,000045.264,4900.5216,N,00825.4475,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-13T22:59:01+01:00,197,2,17,2,21,31,"$GNGGA,000100.264,4900.5216,N,00825.4475,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-13T22:59:16+01:00,198,4,13,3,24,34,"$GNGGA,215912.091,4900.5252,N,00825.4493,E,0,1,,127.6,M,47.9,M,,*58",,,,
2021-12-13T22:59:46+01:00,199,3,19,5,23,30,"$GNGGA,215942.000,4900.5203,N,00825.4223,E,1,4,2.76,110.7,M,47.9,M,,*40",,,,
2021-12-13T23:00:01+01:00,200,9,14,6,23,30,"$GNGGA,215957.000,4900.5214,N,00825.4169,E,1,4,2.76,113.2,M,47.9,M,,*49",,,,
2021-12-13T23:00:31+01:00,201,3,15,8,20,34,"$GNGGA,220027.000,4900.5189,N,00825.4705,E,1,4,2.76,119.8,M,47.9,M,,*4A",,,,
2021-12-13T23:01:01+01:00,202,3,17,10,21,32,"$GNGGA,220057.000,4900.5200,N,00825.4440,E,1,4,2.75,117.6,M,47.9,M,,*4E",,,,
2021-12-13T23:01:16+01:00,203,8,14,11,20,32,"$GNGGA,220112.000,4900.5216,N,00825.4321,E,1,4,2.75,114.8,M,47.9,M,,*44",,,,
2021-12-13T23:01:46+01:00,204,9,18,13,23,31,"$GNGGA,220142.000,4900.5225,N,00825.3934,E,1,4,5.19,113.9,M,47.9,M,,*43",,,,
2021-12-13T23:02:16+01:00,205,5,17,15,24,33,"$GNGGA,220212.000,4900.5208,N,00825.4813,E,1,3,5.33,113.4,M,47.9,M,,*4B",,,,
2021-12-13T23:02:31+01:00,206,7,11,16,20,31,"$GNGGA,220227.000,4900.5206,N,00825.4848,E,1,3,5.30,112.9,M,47.9,M,,*42",,,,
2021-12-13T23:03:01+01:00,207,2,15,18,21,32,"$GNGGA,220257.000,4900.5209,N,00825.4859,E,1,3,5.23,112.2,M,47.9,M,,*43",,,,
2021-12-13T23:03:31+01:00,208,5,18,20,22,33,"$GNGGA,220327.000,4900.5214,N,00825.4854,E,1,3,5.16,112.3,M,47.9,M,,*43",,,,
2021-12-13T23:04:01+01:00,209,2,18,22,23,31,"$GNGGA,220357.000,4900.5221,N,00825.4850,E,1,3,5.09,112.3,M,47.9,M,,*48",,,,
2021-12-13T23:04:16+01:00,210,8,17,23,23,32,"$GNGGA,220412.000,4900.5222,N,00825.4848,E,1,3,5.06,112.3,M,47.9,M,,*4B",,,,
2021-12-13T23:04:31+01:00,211,3,17,24,22,34,"$GNGGA,220427.000,4900.5223,N,00825.4845,E,1,3,5.03,112.1,M,47.9,M,,*46",,,,
2021-12-13T23:05:01+01:00,212,8,18,26,24,34,"$GNGGA,220457.000,4900.5199,N,00825.4719,E,1,4,4.86,111.9,M,47.9,M,,*45",,,,
2021-12-13T23:05:16+01:00,213,4,17,27,21,34,"$GNGGA,220512.000,4900.5216,N,00825.4580,E,1,4,4.82,111.8,M,47.9,M,,*46",,,,
2021-12-13T23:05:46+01:00,214,9,13,29,22,34,"$GNGGA,220542.000,4900.5232,N,00825.4314,E,1,4,2.70,111.2,M,47.9,M,,*4F",,,,
2021-12-13T23:06:01+01:00,215,9,10,30,22,32,"$GNGGA,220557.000,4900.5224,N,00825.4429,E,1,4,2.70,111.1,M,47.9,M,,*46",,,,
2021-12-13T23:06:31+01:00,216,4,14,32,24,34,"$GNGGA,220627.000,4900.5192,N,00825.4326,E,1,4,2.70,112.6,M,47.9,M,,*40",,,,
2021-12-13T23:06:46+01:00,217,3,12,33,21,32,"$GNGGA,220642.000,4900.5175,N,00825.4413,E,1,4,2.69,113.2,M,47.9,M,,*46",,,,
2021-12-13T23:07:01+01:00,218,3,10,34,22,32,"$GNGGA,220657.000,4900.5200,N,00825.4351,E,1,4,2.69,112.9,M,47.9,M,,*48",,,,
2021-12-13T23:07:31+01:00,219,5,11,36,22,32,"$GNGGA,220727.000,4900.5188,N,00825.4575,E,1,3,4.69,113.4,M,47.9,M,,*40",,,,
2021-12-13T23:07:46+01:00,220,4,12,37,24,33,"$GNGGA,220742.000,4900.5177,N,00825.4520,E,1,3,4.66,113.5,M,47.9,M,,*4D",,,,
2021-12-13T23:08:02+01:00,221,4,11,38,22,33,"$GNGGA,220757.000,4900.5177,N,00825.4374,E,1,3,4.64,113.5,M,47.9,M,,*4C",,,,
2021-12-13T23:08:31+01:00,222,2,10,40,21,31,"$GNGGA,220827.000,4900.5174,N,00825.4474,E,1,4,2.68,110.8,M,47.9,M,,*43",,,,
2021-12-13T23:09:01+01:00,223,7,16,42,21,32,"$GNGGA,220857.000,4900.5194,N,00825.4444,E,1,4,2.68,109.3,M,47.9,M,,*4A",,,,
2021-12-13T23:09:16+01:00,224,7,17,43,24,31,"$GNGGA,220912.000,4900.5184,N,00825.4460,E,1,4,2.68,107.7,M,47.9,M,,*47",,,,
2021-12-13T23:09:46+01:00,225,3,12,45,22,34,"$GNGGA,220942.000,4900.5192,N,00825.4429,E,1,4,2.67,109.8,M,47.9,M,,*46",,,,
2021-12-13T23:10:16+01:00,226,7,19,47,22,33,"$GNGGA,221012.000,4900.5183,N,00825.4473,E,1,3,4.43,107.8,M,47.9,M,,*4D",,,,
2021-12-13T23:10:33+01:00,227,5,12,48,23,34,"$GNGGA,221029.000,4900.5182,N,00825.4398,E,1,4,2.67,107.5,M,47.9,M,,*4C",,,,
2021-12-13T23:11:03+01:00,228,2,17,50,24,32,"$GNGGA,221059.000,4900.5194,N,00825.4517,E,1,4,2.67,108.0,M,47.9,M,,*47",,,,
2021-12-13T23:11:18+01:00,229,8,10,51,23,30,"$GNGGA,221114.000,4900.5216,N,00825.4494,E,1,4,2.67,108.2,M,47.9,M,,*4E",,,,
2021-12-13T23:11:48+01:00,230,6,14,53,23,30,"$GNGGA,221144.000,4900.5209,N,00825.4255,E,1,4,2.66,106.2,M,47.9,M,,*41",,,,
2021-12-13T23:12:18+01:00,231,3,14,55,21,31,"$GNGGA,221214.000,4900.5210,N,00825.4196,E,1,4,2.66,104.7,M,47.9,M,,*44",,,,
2021-12-13T23:12:48+01:00,232,6,15,57,22,33,"$GNGGA,221244.000,4900.5204,N,00825.4619,E,1,3,4.23,104.0,M,47.9,M,,*43",,,,
2021-12-13T23:13:18+01:00,233,5,16,59,24,32,"$GNGGA,221314.000,4900.5219,N,00825.4371,E,1,4,2.66,104.0,M,47.9,M,,*40",,,,
2021-12-13T23:13:33+01:00,234,7,13,60,21,34,"$GNGGA,221329.000,4900.5217,N,00825.4419,E,1,4,2.66,102.4,M,47.9,M,,*4B",,,,
2021-12-13T23:14:03+01:00,235,7,12,62,20,33,"$GNGGA,221359.000,4900.5219,N,00825.4308,E,1,4,2.66,103.3,M,47.9,M,,*43",,,,
2021-12-13T23:14:18+01:00,236,5,13,63,20,34,"$GNGGA,221414.000,4900.5216,N,00825.4153,E,1,3,4.13,105.3,M,47.9,M,,*4B",,,,
2021-12-13T23:14:48+01:00,237,4,11,65,23,32,"$GNGGA,221444.000,4900.5211,N,00825.4473,E,1,3,4.09,105.6,M,47.9,M,,*40",,,,
2021-12-13T23:15:18+01:00,238,7,12,67,21,31,"$GNGGA,221514.000,4900.5206,N,00825.4550,E,1,4,2.65,105.8,M,47.9,M,,*47",,,,
2021-12-13T23:15:33+01:00,239,2,18,68,20,30,"$GNGGA,221529.000,4900.5196,N,00825.4443,E,1,4,2.65,107.0,M,47.9,M,,*4A",,,,
2021-12-13T23:15:48+01:00,240,5,16,69,24,32,"$GNGGA,221544.000,4900.5213,N,00825.4327,E,1,4,2.65,107.2,M,47.9,M,,*48",,,,
2021-12-13T23:16:18+01:00,241,9,13,71,24,31,"$GNGGA,221614.000,4900.5225,N,00825.4416,E,1,3,4.00,107.4,M,47.9,M,,*4A",,,,
2021-12-13T23:16:33+01:00,242,8,18,72,22,32,"$GNGGA,221629.000,4900.5226,N,00825.4285,E,1,3,3.98,107.5,M,47.9,M,,*4C",,,,
2021-12-13T23:17:03+01:00,243,3,10,74,20,33,"$GNGGA,221659.000,4900.5261,N,00825.4118,E,1,3,3.96,107.4,M,47.9,M,,*40",,,,
2021-12-13T23:17:18+01:00,244,5,19,75,22,31,"$GNGGA,221714.000,4900.5253,N,00825.4352,E,1,4,2.65,107.3,M,47.9,M,,*48",,,,
2021-12-13T23:17:33+01:00,245,5,17,76,21,31,"$GNGGA,221729.000,4900.5271,N,00825.4357,E,1,4,2.65,107.2,M,47.9,M,,*42",,,,
2021-12-13T23:18:03+01:00,246,9,12,78,21,32,"$GNGGA,221759.000,4900.5217,N,00825.4321,E,1,4,2.65,107.0,M,47.9,M,,*46",,,,
2021-12-13T23:18:33+01:00,247,3,19,80,24,33,"$GNGGA,221829.000,4900.5177,N,00825.4583,E,1,4,2.65,106.2,M,47.9,M,,*46",,,,
2021-12-13T23:19:04+01:00,248,2,19,82,22,31,"$GNGGA,221900.000,4900.5201,N,00825.4459,E,1,3,3.85,106.2,M,47.9,M,,*40",,,,
2021-12-13T23:19:19+01:00,249,8,14,83,20,32,"$GNGGA,221915.000,4900.5225,N,00825.4386,E,1,3,3.84,106.2,M,47.9,M,,*46",,,,
2021-12-13T23:19:49+01:00,250,7,17,85,21,33,"$GNGGA,221945.000,4900.5227,N,00825.4162,E,1,4,2.65,107.3,M,47.9,M,,*40",,,,
2021-12-13T23:20:04+01:00,251,8,19,86,21,34,"$GNGGA,222000.000,4900.5236,N,00825.4296,E,1,4,2.65,107.9,M,47.9,M,,*49",,,,
2021-12-13T23:20:34+01:00,252,2,14,88,23,34,"$GNGGA,222030.000,4900.5213,N,00825.4343,E,1,4,2.65,109.1,M,47.9,M,,*42",,,,
2021-12-13T23:21:04+01:00,253,4,17,90,23,30,"$GNGGA,222100.000,4900.5222,N,00825.4253,E,1,4,2.65,113.1,M,47.9,M,,*49",,,,
2021-12-13T23:21:19+01:00,254,8,17,91,24,34,"$GNGGA,222115.000,4900.5218,N,00825.4455,E,1,4,2.65,115.8,M,47.9,M,,*4B",,,,
2021-12-13T23:21:34+01:00,255,3,10,92,24,33,"$GNGGA,222130.000,4900.5224,N,00825.4304,E,1,4,2.65,118.0,M,47.9,M,,*45",,,,
2021-12-13T23:21:49+01:00,256,6,13,93,22,30,"$GNGGA,222145.000,4900.5229,N,00825.4306,E,1,4,2.66,120.0,M,47.9,M,,*40",,,,
2021-12-13T23:22:04+01:00,257,5,18,94,24,33,"$GNGGA,222200.000,4900.5199,N,00825.4380,E,1,4,2.65,122.2,M,47.9,M,,*47",,,,
2021-12-13T23:22:19+01:00,258,3,11,95,23,30,"$GNGGA,222215.000,4900.5188,N,00825.4340,E,1,4,2.66,124.5,M,47.9,M,,*4D",,,,
2021-12-13T23:22:34+01:00,259,6,12,96,24,33,"$GNGGA,222230.000,4900.5215,N,00825.4286,E,1,4,2.66,126.3,M,47.9,M,,*42",,,,
2021-12-13T23:23:04+01:00,260,3,10,98,22,33,"$GNGGA,222300.000,4900.5210,N,00825.4165,E,1,4,2.66,128.9,M,47.9,M,,*4F",,,,
2021-12-13T23:23:34+01:00,261,2,11,100,22,32,"$GNGGA,222330.000,4900.5215,N,00825.4385,E,1,4,2.66,130.1,M,47.9,M,,*44",,,,
2021-12-13T23:23:49+01:00,262,4,13,101,23,30,"$GNGGA,222345.000,4900.5211,N,00825.4425,E,1,4,2.66,130.3,M,47.9,M,,*4D",,,,
2021-12-13T23:24:19+01:00,263,4,14,103,21,34,"$GNGGA,222415.000,4900.5240,N,00825.4540,E,1,4,2.66,129.7,M,47.9,M,,*45",,,,
2021-12-13T23:24:35+01:00,264,4,14,104,23,31,"$GNGGA,222431.000,4900.5218,N,00825.4458,E,1,4,2.66,128.7,M,47.9,M,,*47",,,,
2021-12-13T23:25:05+01:00,265,9,14,106,24,34,"$GNGGA,222501.000,4900.5214,N,00825.4404,E,1,4,2.67,128.4,M,47.9,M,,*42",,,,
2021-12-13T23:25:20+01:00,266,8,18,107,24,34,"$GNGGA,222516.000,4900.5205,N,00825.4293,E,1,4,2.67,128.1,M,47.9,M,,*49",,,,
2021-12-13T23:25:35+01:00,267,2,13,108,23,31,"$GNGGA,222531.000,4900.5205,N,00825.4209,E,1,4,2.67,128.9,M,47.9,M,,*47",,,,
2021-12-13T23:25:52+01:00,268,3,11,109,22,32,"$GNGGA,222548.000,4900.5228,N,00825.4251,E,1,4,2.67,130.1,M,47.9,M,,*4A",,,,
2021-12-13T23:26:07+01:00,269,6,13,110,21,34,"$GNGGA,222603.000,4900.5224,N,00825.4328,E,1,4,2.67,129.9,M,47.9,M,,*45",,,,
2021-12-13T23:26:22+01:00,270,3,16,111,20,30,"$GNGGA,222618.000,4900.5220,N,00825.4166,E,1,4,2.67,128.8,M,47.9,M,,*43",,,,
2021-12-13T23:26:52+01:00,271,3,12,113,21,32,"$GNGGA,222648.000,4900.5232,N,00825.4434,E,1,4,2.68,127.4,M,47.9,M,,*4B",,,,
2021-12-13T23:27:07+01:00,272,3,12,114,24,31,"$GNGGA,222703.000,4900.5216,N,00825.4447,E,1,3,5.66,127.6,M,47.9,M,,*4B",,,,
2021-12-13T23:27:23+01:00,273,3,11,115,20,31,"$GNGGA,222718.000,4900.5205,N,00825.4448,E,1,4,2.68,126.0,M,47.9,M,,*45",,,,
2021-12-13T23:27:38+01:00,274,2,10,116,22,31,"$GNGGA,222734.000,4900.5224,N,00825.4091,E,1,4,2.68,123.9,M,47.9,M,,*44",,,,
2021-12-13T23:28:08+01:00,275,4,19,118,23,30,"$GNGGA,222804.000,4900.5227,N,00825.4448,E,1,3,5.78,122.0,M,47.9,M,,*42",,,,
2021-12-13T23:28:39+01:00,276,6,15,120,24,30,"$GNGGA,222834.000,4900.5256,N,00825.4248,E,1,3,5.85,122.4,M,47.9,M,,*47",,,,
2021-12-13T23:28:54+01:00,277,5,11,121,23,31,"$GNGGA,222849.000,4900.5182,N,00825.3772,E,1,4,2.69,122.5,M,47.9,M,,*4F",,,,
2021-12-13T23:29:09+01:00,278,2,16,122,20,31,"$GNGGA,222905.000,4900.5152,N,00825.3659,E,1,4,2.69,121.9,M,47.9,M,,*4C",,,,
2021-12-13T23:29:24+01:00,279,8,15,123,24,32,"$GNGGA,222920.000,4900.5120,N,00825.4011,E,1,4,2.70,120.5,M,47.9,M,,*46",,,,
2021-12-13T23:29:39+01:00,280,9,13,124,20,33,"$GNGGA,222935.000,4900.5111,N,00825.4047,E,1,3,5.98,118.3,M,47.9,M,,*48",,,,
2021-12-13T23:30:09+01:00,281,7,10,126,23,30,"$GNGGA,223005.000,4900.5189,N,00825.4430,E,1,4,2.70,118.5,M,47.9,M,,*46",,,,
2021-12-13T23:30:43+01:00,282,7,18,128,20,31,"$GNGGA,223039.000,4900.5210,N,00825.3996,E,1,3,6.13,118.6,M,47.9,M,,*49",,,,
2021-12-13T23:31:13+01:00,283,3,18,130,20,31,"$GNGGA,223109.000,4900.5165,N,00825.2643,E,1,3,6.21,118.2,M,47.9,M,,*49",,,,
2021-12-13T23:31:28+01:00,284,5,13,131,20,34,"$GNGGA,223124.000,4900.5181,N,00825.3980,E,1,4,2.71,118.3,M,47.9,M,,*4A",,,,
2021-12-13T23:31:44+01:00,285,5,14,132,22,30,"$GNGGA,223140.000,4900.5169,N,00825.4112,E,1,4,2.72,116.8,M,47.9,M,,*4C",,,,
2021-12-13T23:31:59+01:00,286,2,14,133,22,30,"$GNGGA,223155.000,4900.5185,N,00825.4098,E,1,4,2.72,115.0,M,47.9,M,,*42",,,,
2021-12-13T23:32:14+01:00,287,5,19,134,24,34,"$GNGGA,223210.000,4900.5180,N,00825.4215,E,1,4,2.72,114.2,M,47.9,M,,*41",,,,
