created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-14T02:11:21+01:00,1,2.00,17.00,0.00,23.00,34.00,"$GNGGA,000032.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-14T02:11:41+01:00,2,4.00,11.00,1.00,24.00,31.00,"$GNGGA,000052.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-14T02:12:01+01:00,3,5.00,18.00,2.00,20.00,33.00,"$GNGGA,000112.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-14T02:12:21+01:00,4,3.00,15.00,3.00,24.00,33.00,"$GNGGA,000132.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-14T02:12:41+01:00,5,4.00,11.00,4.00,24.00,33.00,"$GNGGA,000152.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-14T02:13:01+01:00,6,7.00,19.00,5.00,21.00,32.00,"$GNGGA,000212.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-14T02:13:21+01:00,7,9.00,18.00,6.00,20.00,31.00,"$GNGGA,000232.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-14T02:13:41+01:00,8,6.00,12.00,7.00,20.00,30.00,"$GNGGA,000252.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-14T02:14:01+01:00,9,8.00,12.00,8.00,23.00,33.00,"$GNGGA,000312.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-14T02:14:21+01:00,10,2.00,12.00,9.00,23.00,31.00,"$GNGGA,000332.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-14T02:14:41+01:00,11,7.00,17.00,10.00,20.00,34.00,"$GNGGA,000352.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-14T02:15:01+01:00,12,8.00,18.00,11.00,21.00,31.00,"$GNGGA,000412.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-14T02:15:21+01:00,13,8.00,14.00,12.00,20.00,33.00,"$GNGGA,000432.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-14T02:15:41+01:00,14,2.00,11.00,13.00,21.00,33.00,"$GNGGA,000452.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-14T02:16:01+01:00,15,4.00,12.00,14.00,20.00,32.00,"$GNGGA,000512.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-14T02:16:21+01:00,16,6.00,17.00,15.00,22.00,34.00,"$GNGGA,000532.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-14T02:16:41+01:00,17,3.00,16.00,16.00,24.00,32.00,"$GNGGA,000552.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-14T02:17:01+01:00,18,7.00,19.00,17.00,21.00,33.00,"$GNGGA,000612.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-14T02:17:21+01:00,19,8.00,16.00,18.00,23.00,34.00,"$GNGGA,000632.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-14T02:17:41+01:00,20,4.00,10.00,19.00,20.00,30.00,"$GNGGA,000652.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-14T02:18:01+01:00,21,7.00,18.00,20.00,24.00,34.00,"$GNGGA,000712.264,4900.5222,N,00825.4578,E,0,0,,102.1,M,47.9,M,,*5A",,,,
