created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-16T21:28:13+01:00,1,2.00,17.00,0.00,21.00,34.00,"$GNGGA,000034.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-16T21:28:33+01:00,2,9.00,10.00,1.00,20.00,30.00,"$GNGGA,000054.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-16T21:28:53+01:00,3,2.00,15.00,2.00,21.00,34.00,"$GNGGA,000114.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-16T21:29:18+01:00,4,6.00,13.00,3.00,24.00,34.00,"$GNGGA,000138.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-16T21:29:37+01:00,5,8.00,12.00,4.00,24.00,31.00,"$GNGGA,000158.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*51",,,,
2021-12-16T21:29:57+01:00,6,3.00,15.00,5.00,23.00,33.00,"$GNGGA,000218.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*56",,,,
2021-12-16T21:30:17+01:00,7,7.00,13.00,6.00,24.00,30.00,"$GNGGA,000238.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-16T21:30:37+01:00,8,4.00,10.00,7.00,22.00,31.00,"$GNGGA,000258.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:30:57+01:00,9,6.00,16.00,8.00,23.00,31.00,"$GNGGA,000318.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-16T21:31:17+01:00,10,5.00,17.00,9.00,22.00,31.00,"$GNGGA,000338.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-16T21:31:37+01:00,11,6.00,11.00,10.00,21.00,33.00,"$GNGGA,000358.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-16T21:31:57+01:00,12,4.00,14.00,11.00,23.00,31.00,"$GNGGA,000418.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*50",,,,
2021-12-16T21:32:17+01:00,13,4.00,15.00,12.00,24.00,33.00,"$GNGGA,000438.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:32:37+01:00,14,9.00,18.00,13.00,22.00,32.00,"$GNGGA,000458.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-16T21:32:57+01:00,15,3.00,17.00,14.00,23.00,31.00,"$GNGGA,000518.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*51",,,,
2021-12-16T21:33:17+01:00,16,3.00,18.00,15.00,21.00,33.00,"$GNGGA,000538.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-16T21:33:37+01:00,17,2.00,19.00,16.00,20.00,32.00,"$GNGGA,000558.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-16T21:33:57+01:00,18,8.00,17.00,17.00,23.00,31.00,"$GNGGA,000618.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:34:17+01:00,19,4.00,19.00,18.00,21.00,33.00,"$GNGGA,000638.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*50",,,,
2021-12-16T21:34:37+01:00,20,2.00,17.00,19.00,20.00,34.00,"$GNGGA,000658.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*56",,,,
2021-12-16T21:34:57+01:00,21,4.00,16.00,20.00,23.00,30.00,"$GNGGA,000718.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-16T21:35:17+01:00,22,8.00,18.00,21.00,22.00,34.00,"$GNGGA,000738.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*51",,,,
2021-12-16T21:35:37+01:00,23,7.00,16.00,22.00,23.00,33.00,"$GNGGA,000758.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-16T21:35:57+01:00,24,4.00,10.00,23.00,22.00,34.00,"$GNGGA,000818.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-16T21:36:17+01:00,25,7.00,19.00,24.00,20.00,31.00,"$GNGGA,000838.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-16T21:36:37+01:00,26,8.00,11.00,25.00,20.00,30.00,"$GNGGA,000858.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-16T21:37:04+01:00,27,9.00,16.00,26.00,20.00,34.00,"$GNGGA,000925.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-16T21:37:24+01:00,28,6.00,16.00,27.00,23.00,31.00,"$GNGGA,000945.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-16T21:37:44+01:00,29,9.00,16.00,28.00,24.00,31.00,"$GNGGA,001005.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-16T21:38:04+01:00,30,4.00,15.00,29.00,22.00,34.00,"$GNGGA,001025.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-16T21:38:24+01:00,31,4.00,12.00,30.00,24.00,31.00,"$GNGGA,001045.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-16T21:38:44+01:00,32,8.00,11.00,31.00,24.00,33.00,"$GNGGA,001105.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-16T21:39:04+01:00,33,9.00,18.00,32.00,21.00,32.00,"$GNGGA,001125.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-16T21:39:24+01:00,34,2.00,12.00,33.00,21.00,30.00,"$GNGGA,001145.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-16T21:39:44+01:00,35,8.00,10.00,34.00,20.00,34.00,"$GNGGA,001205.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-16T21:40:04+01:00,36,7.00,13.00,35.00,24.00,31.00,"$GNGGA,001225.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-16T21:40:24+01:00,37,8.00,10.00,36.00,20.00,30.00,"$GNGGA,001245.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-16T21:40:44+01:00,38,2.00,12.00,37.00,21.00,34.00,"$GNGGA,001305.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-16T21:41:04+01:00,39,8.00,19.00,38.00,24.00,33.00,"$GNGGA,001325.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-16T21:41:25+01:00,40,8.00,18.00,39.00,24.00,33.00,"$GNGGA,001346.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-16T21:41:46+01:00,41,2.00,18.00,40.00,21.00,33.00,"$GNGGA,001407.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-16T21:42:08+01:00,42,6.00,18.00,41.00,22.00,30.00,"$GNGGA,001428.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:42:27+01:00,43,4.00,14.00,42.00,22.00,33.00,"$GNGGA,001448.264,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-16T21:42:48+01:00,44,3.00,10.00,43.00,21.00,33.00,"$GNGGA,001508.677,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-16T21:43:08+01:00,45,4.00,16.00,44.00,24.00,33.00,"$GNGGA,001528.677,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-16T21:43:28+01:00,46,7.00,19.00,45.00,21.00,31.00,"$GNGGA,001548.667,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:43:48+01:00,47,7.00,19.00,46.00,22.00,34.00,"$GNGGA,204402.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-16T21:44:08+01:00,48,7.00,17.00,47.00,22.00,33.00,"$GNGGA,204422.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*51",,,,
2021-12-16T21:44:28+01:00,49,3.00,18.00,48.00,23.00,34.00,"$GNGGA,204442.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-16T21:44:48+01:00,50,5.00,17.00,49.00,21.00,34.00,"$GNGGA,204502.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:45:08+01:00,51,7.00,17.00,50.00,20.00,34.00,"$GNGGA,204522.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*50",,,,
2021-12-16T21:45:28+01:00,52,9.00,12.00,51.00,24.00,30.00,"$GNGGA,204542.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*56",,,,
2021-12-16T21:45:48+01:00,53,5.00,15.00,52.00,20.00,32.00,"$GNGGA,204602.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*51",,,,
2021-12-16T21:46:08+01:00,54,6.00,15.00,53.00,24.00,33.00,"$GNGGA,204622.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-16T21:46:28+01:00,55,2.00,14.00,54.00,24.00,34.00,"$GNGGA,204642.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-16T21:46:48+01:00,56,4.00,12.00,55.00,22.00,31.00,"$GNGGA,204702.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*50",,,,
2021-12-16T21:47:08+01:00,57,2.00,13.00,56.00,21.00,30.00,"$GNGGA,204722.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-16T21:47:29+01:00,58,2.00,12.00,57.00,23.00,30.00,"$GNGGA,204743.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-16T21:47:49+01:00,59,9.00,16.00,58.00,20.00,33.00,"$GNGGA,204803.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-16T21:48:09+01:00,60,5.00,10.00,59.00,24.00,31.00,"$GNGGA,204823.086,4900.5235,N,00825.4609,E,0,0,,102.1,M,47.9,M,,*5C",,,,
