created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-23T00:11:47+01:00,1,26.62,35.48,1007.39,14.20,15.00,"$GNGGA,000028.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-23T00:12:07+01:00,2,26.49,35.25,1007.40,13.70,14.60,"$GNGGA,000048.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-23T00:12:27+01:00,3,26.46,34.81,1007.39,14.30,15.10,"$GNGGA,000108.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-23T00:12:47+01:00,4,26.50,34.35,1007.40,13.60,15.60,"$GNGGA,000128.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-23T00:13:07+01:00,5,26.59,33.94,1007.40,13.90,15.90,"$GNGGA,000148.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-23T00:13:27+01:00,6,26.71,33.68,1007.40,13.90,15.00,"$GNGGA,000208.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-23T00:13:47+01:00,7,26.85,33.37,1007.42,14.30,15.10,"$GNGGA,000228.263,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-23T00:14:08+01:00,8,27.01,33.06,1007.42,14.90,15.70,"$GNGGA,231403.104,4900.5167,N,00825.4499,E,0,0,,107.0,M,47.9,M,,*54",,,,
2021-12-23T00:14:28+01:00,9,27.16,32.79,1007.43,14.10,14.90,"$GNGGA,231424.104,4859.8261,N,00823.6538,E,0,1,,106.4,M,47.9,M,,*5E",,,,
2021-12-23T00:14:49+01:00,10,27.32,32.48,1007.43,13.00,13.70,"$GNGGA,231444.104,4900.5165,N,00825.4494,E,0,1,,107.0,M,47.9,M,,*59",,,,
2021-12-23T00:15:09+01:00,11,27.48,32.22,1007.43,13.10,13.80,"$GNGGA,231504.104,4900.5166,N,00825.4495,E,0,1,,107.0,M,47.9,M,,*5E",,,,
2021-12-23T00:15:29+01:00,12,27.64,32.04,1007.43,14.40,15.20,"$GNGGA,231525.104,4900.5168,N,00825.4501,E,0,1,,107.0,M,47.9,M,,*5F",,,,
2021-12-23T00:15:49+01:00,13,27.79,31.80,1007.44,13.70,14.40,"$GNGGA,231545.104,4900.5168,N,00825.4501,E,0,1,,107.0,M,47.9,M,,*59",,,,
2021-12-23T00:16:09+01:00,14,27.93,31.61,1007.44,12.10,12.80,"$GNGGA,231605.104,4900.5167,N,00825.4500,E,0,1,,107.0,M,47.9,M,,*50",,,,
2021-12-23T00:16:31+01:00,15,28.08,31.46,1007.44,12.00,15.10,"$GNGGA,231626.104,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-23T00:16:51+01:00,16,28.21,31.28,1007.43,13.00,16.00,"$GNGGA,231646.104,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-23T00:17:10+01:00,17,28.34,31.10,1007.43,14.00,16.80,"$GNGGA,231706.104,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*56",,,,
2021-12-23T00:17:32+01:00,18,28.46,30.96,1007.43,13.60,14.30,"$GNGGA,231727.104,4900.5167,N,00825.4499,E,0,0,,102.1,M,47.9,M,,*55",,,,
