created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-24T23:46:11+01:00,1,22.66,44.52,991.48,32.10,39.70,"$GNGGA,000027.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-24T23:46:31+01:00,2,22.59,44.25,991.48,33.90,44.60,"$GNGGA,000047.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-24T23:46:51+01:00,3,22.80,43.02,991.50,34.60,47.20,"$GNGGA,000107.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-24T23:47:11+01:00,4,23.20,41.49,991.51,35.40,47.90,"$GNGGA,000127.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-24T23:47:31+01:00,5,23.69,39.74,991.52,37.20,46.60,"$GNGGA,000147.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-24T23:47:51+01:00,6,24.23,38.36,991.52,38.40,47.00,"$GNGGA,000207.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-24T23:48:11+01:00,7,24.76,37.25,991.53,40.10,46.80,"$GNGGA,000227.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-24T23:48:31+01:00,8,25.29,36.33,991.54,40.90,46.90,"$GNGGA,000247.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-24T23:48:51+01:00,9,25.78,35.47,991.54,44.40,47.40,"$GNGGA,000307.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-24T23:49:11+01:00,10,26.25,34.98,991.55,44.60,49.60,"$GNGGA,000327.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-24T23:49:31+01:00,11,26.69,34.27,991.56,43.30,48.10,"$GNGGA,000347.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-24T23:49:51+01:00,12,27.10,33.51,991.56,41.60,46.60,"$GNGGA,000407.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-24T23:50:11+01:00,13,27.48,33.42,991.56,41.10,45.00,"$GNGGA,000427.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-24T23:50:31+01:00,14,27.83,33.19,991.57,40.10,46.10,"$GNGGA,000447.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-24T23:50:51+01:00,15,28.15,32.72,991.58,39.40,47.20,"$GNGGA,000507.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-24T23:51:11+01:00,16,28.45,32.38,991.59,39.60,47.10,"$GNGGA,000527.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-24T23:51:31+01:00,17,28.72,32.09,991.60,39.90,48.90,"$GNGGA,000547.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-24T23:51:51+01:00,18,28.98,31.60,991.60,41.00,52.90,"$GNGGA,000607.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-24T23:52:11+01:00,19,29.22,31.46,991.60,42.90,54.10,"$GNGGA,000627.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-24T23:52:31+01:00,20,29.45,30.98,991.58,41.90,50.30,"$GNGGA,000647.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-24T23:52:51+01:00,21,29.66,30.65,991.59,40.40,46.50,"$GNGGA,000707.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-24T23:53:11+01:00,22,29.86,30.54,991.58,37.80,39.60,"$GNGGA,000727.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-24T23:53:31+01:00,23,30.06,30.31,991.58,38.40,40.70,"$GNGGA,000747.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-24T23:53:51+01:00,24,30.23,30.15,991.58,37.30,39.50,"$GNGGA,000807.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5D",,,,
2021-12-24T23:54:11+01:00,25,30.40,29.91,991.58,37.50,46.00,"$GNGGA,000827.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5F",,,,
2021-12-24T23:54:31+01:00,26,30.56,29.71,991.58,37.80,47.10,"$GNGGA,000847.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*59",,,,
2021-12-24T23:54:51+01:00,27,30.72,29.17,991.58,37.40,46.50,"$GNGGA,000907.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5C",,,,
2021-12-24T23:55:11+01:00,28,30.86,29.15,991.59,35.30,43.20,"$GNGGA,000927.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5E",,,,
2021-12-24T23:55:31+01:00,29,31.01,29.18,991.59,33.10,37.90,"$GNGGA,000947.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*58",,,,
2021-12-24T23:55:51+01:00,30,31.14,29.05,991.58,34.60,36.40,"$GNGGA,001007.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-24T23:56:11+01:00,31,31.27,28.94,991.59,35.90,37.70,"$GNGGA,001027.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-24T23:56:31+01:00,32,31.40,28.78,991.58,37.80,39.70,"$GNGGA,001047.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-24T23:56:51+01:00,33,31.52,28.61,991.58,37.40,39.30,"$GNGGA,001107.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-24T23:57:11+01:00,34,31.63,28.42,991.57,35.40,41.20,"$GNGGA,001127.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-24T23:57:31+01:00,35,31.74,28.28,991.56,34.00,39.90,"$GNGGA,001147.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-24T23:57:51+01:00,36,31.84,28.17,991.56,33.10,41.00,"$GNGGA,001207.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-24T23:58:11+01:00,37,31.94,28.03,991.56,33.60,38.90,"$GNGGA,001227.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-24T23:58:31+01:00,38,32.04,27.97,991.56,34.00,40.10,"$GNGGA,001247.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-24T23:58:51+01:00,39,32.14,27.87,991.56,33.40,37.20,"$GNGGA,001307.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-24T23:59:11+01:00,40,32.24,27.77,991.55,34.30,38.90,"$GNGGA,001327.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-24T23:59:31+01:00,41,32.33,27.30,991.54,35.90,41.90,"$GNGGA,001347.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-24T23:59:51+01:00,42,32.41,27.06,991.53,37.00,45.20,"$GNGGA,001407.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-25T00:00:11+01:00,43,32.49,26.77,991.53,36.50,48.40,"$GNGGA,001427.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-25T00:00:31+01:00,44,32.57,26.97,991.53,35.70,49.10,"$GNGGA,001447.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-25T00:00:51+01:00,45,32.65,26.94,991.52,35.60,55.80,"$GNGGA,001507.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-25T00:01:11+01:00,46,32.72,26.63,991.52,35.90,50.30,"$GNGGA,001527.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-25T00:01:31+01:00,47,32.79,26.58,991.51,36.80,49.50,"$GNGGA,001547.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-25T00:01:51+01:00,48,32.86,26.53,991.51,36.80,45.70,"$GNGGA,001607.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-25T00:02:11+01:00,49,32.93,26.59,991.50,35.90,47.40,"$GNGGA,001627.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-25T00:02:31+01:00,50,33.01,26.43,991.51,34.40,47.00,"$GNGGA,001647.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-25T00:02:51+01:00,51,33.07,26.11,991.49,36.00,46.30,"$GNGGA,001707.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-25T00:03:11+01:00,52,33.13,25.91,991.48,36.10,47.50,"$GNGGA,001727.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-25T00:03:31+01:00,53,33.19,25.95,991.46,35.40,45.10,"$GNGGA,001747.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-25T00:03:51+01:00,54,33.25,25.92,991.45,34.20,44.60,"$GNGGA,001807.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5C",,,,
2021-12-25T00:04:11+01:00,55,33.30,25.74,991.45,35.60,46.20,"$GNGGA,001827.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5E",,,,
2021-12-25T00:04:31+01:00,56,33.36,25.76,991.44,37.70,48.80,"$GNGGA,001847.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*58",,,,
2021-12-25T00:04:51+01:00,57,33.41,25.84,991.42,37.80,56.00,"$GNGGA,001907.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5D",,,,
2021-12-25T00:05:11+01:00,58,33.47,25.68,991.41,39.10,58.90,"$GNGGA,001927.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5F",,,,
2021-12-25T00:05:31+01:00,59,33.53,25.62,991.41,37.20,57.00,"$GNGGA,001947.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*59",,,,
2021-12-25T00:05:51+01:00,60,33.59,25.50,991.40,38.90,51.90,"$GNGGA,002007.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-25T00:06:11+01:00,61,33.63,25.43,991.39,36.90,42.40,"$GNGGA,002027.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-25T00:06:31+01:00,62,33.68,25.29,991.39,36.20,40.00,"$GNGGA,002047.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*53",,,,
2021-12-25T00:06:51+01:00,63,33.72,25.27,991.39,33.30,39.70,"$GNGGA,002107.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-25T00:07:11+01:00,64,33.75,25.27,991.38,34.30,43.30,"$GNGGA,002127.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-25T00:07:31+01:00,65,33.79,25.02,991.36,35.50,46.30,"$GNGGA,002147.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*52",,,,
2021-12-25T00:07:51+01:00,66,33.83,25.10,991.35,38.30,45.00,"$GNGGA,002207.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*55",,,,
2021-12-25T00:08:11+01:00,67,33.86,25.11,991.36,38.00,42.00,"$GNGGA,002227.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*57",,,,
2021-12-25T00:08:31+01:00,68,33.90,25.04,991.35,38.00,41.60,"$GNGGA,002247.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*51",,,,
2021-12-25T00:08:51+01:00,69,33.93,25.00,991.34,36.10,40.10,"$GNGGA,002307.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*54",,,,
2021-12-25T00:09:11+01:00,70,33.95,24.89,991.34,34.60,44.90,"$GNGGA,002327.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*56",,,,
2021-12-25T00:09:32+01:00,71,33.98,24.78,991.34,34.90,46.20,"$GNGGA,002347.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*50",,,,
2021-12-25T00:09:52+01:00,72,34.00,24.63,991.34,34.20,47.10,"$GNGGA,002408.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5C",,,,
2021-12-25T00:10:12+01:00,73,34.02,24.74,991.34,34.30,44.80,"$GNGGA,002428.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5E",,,,
2021-12-25T00:10:32+01:00,74,34.04,24.73,991.33,31.50,43.30,"$GNGGA,002448.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*58",,,,
2021-12-25T00:10:52+01:00,75,34.06,24.69,991.33,30.90,40.90,"$GNGGA,002508.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5D",,,,
2021-12-25T00:11:12+01:00,76,34.08,24.61,991.32,31.20,39.20,"$GNGGA,002528.264,4900.8032,N,00825.4697,E,0,0,,154.2,M,47.9,M,,*5F",,,,
