entry_id,field4,field5,field1,field2,field3,loc,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14
0,20.00,33.00,7.00,12.00,0.00,'$GNGGA,000053.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
1,21.00,33.00,3.00,13.00,1.00,'$GNGGA,000104.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
2,21.00,32.00,5.00,17.00,2.00,'$GNGGA,000115.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
3,23.00,31.00,3.00,17.00,3.00,'$GNGGA,000126.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
4,22.00,30.00,7.00,14.00,4.00,'$GNGGA,000137.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
5,21.00,30.00,3.00,14.00,5.00,'$GNGGA,000148.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
6,20.00,32.00,6.00,19.00,6.00,'$GNGGA,000159.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
7,24.00,30.00,5.00,11.00,7.00,'$GNGGA,000210.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
8,22.00,31.00,5.00,14.00,8.00,'$GNGGA,000221.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
9,22.00,34.00,6.00,19.00,9.00,'$GNGGA,000232.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
10,21.00,32.00,4.00,18.00,10.00,'$GNGGA,000243.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
11,24.00,30.00,5.00,19.00,11.00,'$GNGGA,000254.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
12,24.00,31.00,3.00,12.00,12.00,'$GNGGA,000305.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
13,20.00,33.00,8.00,13.00,13.00,'$GNGGA,000316.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
