created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-27T17:52:26+01:00,1,21.80,41.51,987.43,21.10,22.80,"$GNGGA,000027.263,4900.5497,N,00825.4318,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-27T17:52:46+01:00,2,21.61,41.48,987.42,21.90,23.10,"$GNGGA,000047.263,4900.5497,N,00825.4318,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-27T17:53:06+01:00,3,21.53,42.57,987.43,26.00,27.40,"$GNGGA,000107.263,4900.5497,N,00825.4318,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-27T17:53:26+01:00,4,21.52,42.35,987.38,27.20,28.60,"$GNGGA,000127.263,4900.5497,N,00825.4318,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-27T17:53:47+01:00,5,21.57,42.56,987.34,26.40,27.80,"$GNGGA,165342.086,4900.5497,N,00825.4318,E,0,0,,176.9,M,47.9,M,,*54",,,,
2021-12-27T17:54:09+01:00,6,21.66,42.43,987.31,19.00,21.30,"$GNGGA,165404.000,4900.5188,N,00825.4765,E,1,4,4.43,113.3,M,47.9,M,,*4B",,,,
2021-12-27T17:54:29+01:00,7,21.78,42.14,987.30,15.30,18.90,"$GNGGA,165424.000,4900.5192,N,00825.4807,E,1,4,4.02,107.8,M,47.9,M,,*42",,,,
2021-12-27T17:54:49+01:00,8,21.91,41.84,987.29,13.20,15.40,"$GNGGA,165444.000,4900.5160,N,00825.4883,E,1,5,3.90,88.3,M,47.9,M,,*75",,,,
2021-12-27T17:55:10+01:00,9,22.06,41.18,987.29,13.20,15.10,"$GNGGA,165505.000,4900.5096,N,00825.4995,E,1,6,2.33,38.2,M,47.9,M,,*7E",,,,
2021-12-27T17:55:31+01:00,10,22.21,41.00,987.26,18.00,20.30,"$GNGGA,165526.000,4900.5014,N,00825.4017,E,0,5,,68.8,M,47.9,M,,*67",,,,
2021-12-27T17:55:51+01:00,11,22.35,40.23,987.31,23.50,28.60,"$GNGGA,165546.000,4900.4726,N,00825.2908,E,0,5,,-61.4,M,47.9,M,,*4F",,,,
2021-12-27T17:56:11+01:00,12,22.49,38.78,987.35,21.20,26.30,"$GNGGA,165606.000,4900.4632,N,00825.1488,E,0,5,,-247.9,M,47.9,M,,*71",,,,
2021-12-27T17:56:31+01:00,13,22.63,39.05,987.38,13.80,16.90,"$GNGGA,165626.000,4900.4610,N,00824.9677,E,0,2,,-183.8,M,47.9,M,,*75",,,,
2021-12-27T17:56:52+01:00,14,22.78,39.50,987.79,4.50,5.10,"$GNGGA,165648.000,4900.4682,N,00824.9609,E,0,0,,-299.7,M,47.9,M,,*7A",,,,
2021-12-27T17:57:14+01:00,15,22.91,38.06,988.11,7.40,8.10,"$GNGGA,165709.000,4900.5173,N,00825.4347,E,1,6,2.37,173.1,M,47.9,M,,*46",,,,
2021-12-27T17:57:34+01:00,16,23.02,37.19,988.35,10.50,11.30,"$GNGGA,165729.000,4900.5019,N,00825.4199,E,1,4,2.75,171.5,M,47.9,M,,*4A",,,,
2021-12-27T17:57:55+01:00,17,23.09,36.54,988.52,13.40,14.00,"$GNGGA,165750.000,4900.4706,N,00825.4051,E,1,7,1.39,163.3,M,47.9,M,,*44",,,,
2021-12-27T17:58:15+01:00,18,23.17,36.72,988.67,13.20,13.90,"$GNGGA,165810.000,4900.4536,N,00825.4143,E,1,7,1.39,160.3,M,47.9,M,,*4F",,,,
2021-12-27T17:58:35+01:00,19,23.26,36.48,988.77,11.80,12.40,"$GNGGA,165830.000,4900.4479,N,00825.4388,E,1,8,1.35,166.9,M,47.9,M,,*4D",,,,
2021-12-27T17:58:56+01:00,20,23.36,35.43,988.86,10.20,10.80,"$GNGGA,165851.000,4900.4462,N,00825.4458,E,2,9,0.97,163.7,M,47.9,M,,*4A",,,,
2021-12-27T17:59:16+01:00,21,23.44,35.34,988.91,8.90,9.80,"$GNGGA,165911.000,4900.4478,N,00825.4527,E,2,10,0.95,167.0,M,47.9,M,,*74",,,,
2021-12-27T17:59:36+01:00,22,23.53,35.71,988.94,9.10,9.70,"$GNGGA,165931.000,4900.4439,N,00825.4674,E,2,10,0.95,168.9,M,47.9,M,,*70",,,,
2021-12-27T17:59:57+01:00,23,23.62,35.26,988.96,9.00,11.10,"$GNGGA,165952.000,4900.4446,N,00825.4733,E,2,10,0.93,162.0,M,47.9,M,,*7A",,,,
2021-12-27T18:00:17+01:00,24,23.72,35.05,988.97,8.30,9.60,"$GNGGA,170012.000,4900.4461,N,00825.4756,E,2,10,0.94,156.8,M,47.9,M,,*7D",,,,
2021-12-27T18:00:37+01:00,25,23.81,34.80,988.99,8.00,8.50,"$GNGGA,170032.000,4900.4443,N,00825.4723,E,2,10,0.94,161.2,M,47.9,M,,*73",,,,
2021-12-27T18:00:58+01:00,26,23.90,35.44,988.99,8.40,8.90,"$GNGGA,170053.000,4900.4470,N,00825.4698,E,2,10,0.94,158.9,M,47.9,M,,*74",,,,
2021-12-27T18:01:21+01:00,27,23.98,35.76,989.00,8.20,8.70,"$GNGGA,170113.000,4900.4513,N,00825.4721,E,2,10,0.94,150.4,M,47.9,M,,*73",,,,
2021-12-27T18:01:42+01:00,28,24.07,35.69,989.02,8.10,10.40,"$GNGGA,170137.000,4900.4553,N,00825.4733,E,2,11,0.91,142.8,M,47.9,M,,*79",,,,
2021-12-27T18:02:03+01:00,29,24.15,35.39,989.02,7.70,9.40,"$GNGGA,170158.000,4900.4535,N,00825.4727,E,2,11,0.91,140.2,M,47.9,M,,*7D",,,,
2021-12-27T18:02:23+01:00,30,24.20,35.29,989.01,8.40,10.60,"$GNGGA,170218.000,4900.4524,N,00825.4719,E,2,12,0.87,136.6,M,47.9,M,,*76",,,,
2021-12-27T18:02:43+01:00,31,24.23,35.17,989.01,8.00,8.80,"$GNGGA,170238.000,4900.4522,N,00825.4719,E,2,12,0.87,136.5,M,47.9,M,,*71",,,,
2021-12-27T18:03:04+01:00,32,24.23,35.12,989.02,8.80,11.20,"$GNGGA,170259.000,4900.4523,N,00825.4717,E,2,12,0.86,136.7,M,47.9,M,,*7A",,,,
2021-12-27T18:03:24+01:00,33,24.22,35.21,989.02,8.70,10.40,"$GNGGA,170319.000,4900.4522,N,00825.4714,E,2,13,0.86,136.7,M,47.9,M,,*7C",,,,
2021-12-27T18:03:44+01:00,34,24.20,35.54,989.04,9.50,12.60,"$GNGGA,170339.000,4900.4523,N,00825.4715,E,2,12,0.89,136.6,M,47.9,M,,*71",,,,
2021-12-27T18:04:05+01:00,35,24.15,34.54,989.04,10.00,12.40,"$GNGGA,170400.000,4900.4525,N,00825.4727,E,2,12,0.89,137.5,M,47.9,M,,*79",,,,
2021-12-27T18:04:25+01:00,36,24.09,34.70,989.05,10.70,14.60,"$GNGGA,170420.000,4900.4525,N,00825.4736,E,2,13,0.81,139.6,M,47.9,M,,*7F",,,,
2021-12-27T18:04:45+01:00,37,24.01,34.55,989.05,11.80,13.60,"$GNGGA,170440.000,4900.4529,N,00825.4725,E,2,13,0.81,138.4,M,47.9,M,,*74",,,,
2021-12-27T18:05:06+01:00,38,23.84,34.70,989.07,12.50,14.10,"$GNGGA,170501.000,4900.4518,N,00825.4813,E,2,13,0.81,136.4,M,47.9,M,,*76",,,,
2021-12-27T18:05:26+01:00,39,23.72,35.70,989.10,12.50,14.20,"$GNGGA,170521.000,4900.4551,N,00825.4846,E,2,13,0.81,131.6,M,47.9,M,,*7C",,,,
2021-12-27T18:05:47+01:00,40,23.64,36.37,989.14,10.00,12.40,"$GNGGA,170542.000,4900.4783,N,00825.3794,E,2,13,0.81,124.3,M,47.9,M,,*72",,,,
