created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-12-29T20:13:42+01:00,1,22.89,47.28,996.71,10.50,11.40,"$GNGGA,000029.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-29T20:14:02+01:00,2,22.74,47.14,996.72,9.60,10.10,"$GNGGA,000049.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-29T20:14:22+01:00,3,22.67,46.43,996.72,8.10,8.50,"$GNGGA,000109.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-29T20:14:42+01:00,4,22.66,45.83,996.72,7.60,7.90,"$GNGGA,000129.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-29T20:15:02+01:00,5,22.70,45.64,996.70,7.40,7.80,"$GNGGA,000149.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-29T20:15:22+01:00,6,22.76,45.07,996.71,7.80,8.20,"$GNGGA,000209.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-29T20:15:42+01:00,7,22.84,44.87,996.71,8.50,10.60,"$GNGGA,000229.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-29T20:16:02+01:00,8,22.91,44.42,996.72,8.10,10.20,"$GNGGA,000249.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-29T20:16:22+01:00,9,22.99,44.35,996.72,8.10,10.70,"$GNGGA,000309.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-29T20:16:42+01:00,10,23.09,44.34,996.73,8.80,12.10,"$GNGGA,000329.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2021-12-29T20:17:02+01:00,11,23.19,43.93,996.74,9.10,13.20,"$GNGGA,000349.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-29T20:17:22+01:00,12,23.29,43.72,996.74,8.30,13.30,"$GNGGA,000409.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-29T20:17:42+01:00,13,23.38,43.77,996.75,8.10,11.10,"$GNGGA,000429.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-29T20:18:03+01:00,14,23.46,43.75,996.76,8.00,11.20,"$GNGGA,000450.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*53",,,,
2021-12-29T20:18:23+01:00,15,23.55,43.59,996.77,8.40,11.40,"$GNGGA,000510.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*56",,,,
2021-12-29T20:18:43+01:00,16,23.63,44.20,996.65,8.20,9.30,"$GNGGA,000530.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*54",,,,
2021-12-29T20:19:03+01:00,17,23.72,44.55,996.57,12.40,13.10,"$GNGGA,000550.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-29T20:19:23+01:00,18,23.83,45.08,996.60,15.80,16.60,"$GNGGA,000610.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*55",,,,
2021-12-29T20:19:43+01:00,19,23.92,40.84,996.61,17.50,18.40,"$GNGGA,000630.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*57",,,,
2021-12-29T20:20:03+01:00,20,24.03,41.80,996.64,15.40,16.20,"$GNGGA,000650.263,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*51",,,,
2021-12-29T20:20:23+01:00,21,24.14,42.04,996.64,13.80,14.50,"$GNGGA,192019.096,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-29T20:20:43+01:00,22,24.27,42.82,997.03,13.20,13.90,"$GNGGA,192039.083,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-29T20:21:03+01:00,23,24.40,42.50,997.32,13.70,14.40,"$GNGGA,192059.083,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-29T20:21:23+01:00,24,24.52,42.45,997.54,14.10,14.90,"$GNGGA,192119.090,4900.3841,N,00825.3087,E,0,0,,102.1,M,47.9,M,,*5F",,,,
