created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2021-12-30T19:31:56+01:00,1,29.86,36.66,1008.62,5.80,10.30,0,0,"$GNGGA,000028.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-30T19:32:16+01:00,2,29.49,37.13,1008.64,5.00,6.60,0,0,"$GNGGA,000048.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*59",,,,
2021-12-30T19:32:36+01:00,3,29.14,38.10,1008.66,4.10,5.80,0,0,"$GNGGA,000108.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2021-12-30T19:32:56+01:00,4,28.82,39.32,1008.68,4.80,7.20,0,0,"$GNGGA,000128.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-30T19:33:16+01:00,5,28.56,40.48,1008.68,4.90,9.30,0,0,"$GNGGA,000148.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*58",,,,
2021-12-30T19:33:36+01:00,6,28.36,41.84,1008.60,5.10,11.30,0,0,"$GNGGA,000208.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2021-12-30T19:33:56+01:00,7,28.20,42.38,1008.55,4.40,11.70,0,0,"$GNGGA,000228.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2021-12-30T19:34:16+01:00,8,28.07,42.68,1008.60,4.00,9.30,0,0,"$GNGGA,000248.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2021-12-30T19:34:36+01:00,9,27.97,41.45,1008.64,3.20,7.30,0,0,"$GNGGA,000308.262,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2021-12-30T19:34:55+01:00,10,27.90,42.14,1008.67,2.60,5.10,0,0,"$GNGGA,000327.474,4900.5837,N,00825.7947,E,0,0,,102.1,M,47.9,M,,*52",,,,
2021-12-30T19:35:16+01:00,11,27.84,42.91,1008.70,1.80,3.40,0,0,"$GNGGA,183511.086,4900.5540,N,00825.6481,E,0,2,,470.7,M,47.9,M,,*5D",,,,
2021-12-30T19:35:36+01:00,12,27.81,43.11,1008.72,1.50,2.80,0,0,"$GNGGA,183531.086,4900.7562,N,00825.5796,E,0,3,,460.7,M,47.9,M,,*5B",,,,
2021-12-30T19:35:57+01:00,13,27.79,43.51,1008.91,1.70,2.60,0,0,"$GNGGA,183552.086,4900.7714,N,00825.6058,E,0,0,,460.4,M,47.9,M,,*5B",,,,
2021-12-30T19:36:17+01:00,14,27.78,43.53,1009.28,1.90,2.80,0,0,"$GNGGA,183613.086,4900.7714,N,00825.6058,E,0,0,,460.4,M,47.9,M,,*5D",,,,
2021-12-30T19:36:38+01:00,15,27.71,39.57,1009.57,2.60,3.40,0,0,"$GNGGA,183633.086,4900.7727,N,00825.6030,E,0,1,,461.8,M,47.9,M,,*5D",,,,
2021-12-30T19:36:58+01:00,16,27.47,37.82,1009.79,3.20,4.00,0,0,"$GNGGA,183653.086,4900.7719,N,00825.6038,E,0,2,,461.9,M,47.9,M,,*5C",,,,
2021-12-30T19:37:18+01:00,17,27.24,38.29,1009.96,3.50,4.60,0,0,"$GNGGA,183713.088,4900.4108,N,00825.4356,E,0,3,,343.6,M,47.9,M,,*52",,,,
2021-12-30T19:37:38+01:00,18,27.12,40.01,1010.09,3.20,4.90,0,0,"$GNGGA,183733.088,4900.3855,N,00825.4239,E,0,3,,382.7,M,47.9,M,,*52",,,,
2021-12-30T19:37:59+01:00,19,27.05,39.56,1010.19,3.00,5.00,0,0,"$GNGGA,183754.000,4900.3643,N,00825.3878,E,0,4,,393.4,M,47.9,M,,*56",,,,
2021-12-30T19:38:19+01:00,20,26.99,38.46,1010.27,3.20,4.70,0,0,"$GNGGA,183814.000,4900.4411,N,00825.4414,E,1,6,1.43,164.6,M,47.9,M,,*4D",,,,
2021-12-30T19:38:39+01:00,21,26.93,38.62,1010.35,3.00,4.60,0,0,"$GNGGA,183834.000,4900.4379,N,00825.4519,E,1,6,1.43,141.9,M,47.9,M,,*42",,,,
2021-12-30T19:39:00+01:00,22,26.81,38.31,1010.39,2.80,4.20,0,0,"$GNGGA,183855.000,4900.4303,N,00825.4544,E,1,5,1.51,131.7,M,47.9,M,,*49",,,,
2021-12-30T19:39:20+01:00,23,26.73,38.59,1010.43,2.60,3.80,0,0,"$GNGGA,183915.000,4900.4123,N,00825.4451,E,1,5,1.52,135.2,M,47.9,M,,*4B",,,,
2021-12-30T19:39:40+01:00,24,26.68,38.62,1010.45,3.20,3.90,0,0,"$GNGGA,183935.000,4900.3990,N,00825.4503,E,1,5,1.52,130.6,M,47.9,M,,*49",,,,
2021-12-30T19:40:01+01:00,25,26.66,39.41,1010.49,2.80,3.90,0,0,"$GNGGA,183956.000,4900.3836,N,00825.4495,E,1,5,1.52,128.8,M,47.9,M,,*48",,,,
2021-12-30T19:40:21+01:00,26,26.65,39.53,1010.51,3.00,3.90,0,0,"$GNGGA,184016.000,4900.3642,N,00825.4485,E,1,5,1.52,133.9,M,47.9,M,,*45",,,,
2021-12-30T19:40:41+01:00,27,26.58,38.48,1010.53,2.90,4.10,0,0,"$GNGGA,184036.000,4900.3493,N,00825.4442,E,1,5,1.52,136.8,M,47.9,M,,*46",,,,
2021-12-30T19:41:02+01:00,28,26.38,38.80,1010.54,3.60,5.90,0,0,"$GNGGA,184057.000,4900.3357,N,00825.4494,E,1,5,1.52,134.3,M,47.9,M,,*4C",,,,
2021-12-30T19:41:22+01:00,29,26.16,39.56,1010.55,4.00,6.70,0,0,"$GNGGA,184117.000,4900.3204,N,00825.4595,E,2,6,1.44,136.4,M,47.9,M,,*4C",,,,
2021-12-30T19:41:42+01:00,30,25.98,39.90,1010.54,4.40,7.30,0,0,"$GNGGA,184137.000,4900.3071,N,00825.4592,E,2,6,1.41,131.4,M,47.9,M,,*4B",,,,
2021-12-30T19:42:03+01:00,31,25.86,39.95,1010.54,4.30,5.70,0,0,"$GNGGA,184158.000,4900.2936,N,00825.4588,E,2,6,1.42,126.9,M,47.9,M,,*4A",,,,
2021-12-30T19:42:23+01:00,32,25.69,40.11,1010.54,4.50,5.70,0,0,"$GNGGA,184218.000,4900.2797,N,00825.4582,E,2,7,1.38,126.0,M,47.9,M,,*47",,,,
2021-12-30T19:42:43+01:00,33,25.57,40.32,1010.53,5.30,5.60,0,0,"$GNGGA,184238.000,4900.2647,N,00825.4589,E,2,7,1.38,124.5,M,47.9,M,,*45",,,,
2021-12-30T19:43:04+01:00,34,25.50,40.53,1010.53,5.50,6.20,0,0,"$GNGGA,184259.000,4900.2486,N,00825.4601,E,2,7,1.39,119.6,M,47.9,M,,*42",,,,
2021-12-30T19:43:24+01:00,35,25.38,40.55,1010.53,5.30,5.70,0,0,"$GNGGA,184319.000,4900.2348,N,00825.4601,E,2,7,1.39,113.9,M,47.9,M,,*47",,,,
2021-12-30T19:43:44+01:00,36,25.32,40.67,1010.53,4.50,7.10,0,0,"$GNGGA,184339.000,4900.2224,N,00825.4686,E,2,7,1.39,110.3,M,47.9,M,,*48",,,,
