created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-01T10:27:28+01:00,1,27.65,30.76,1014.24,12.30,16.40,0,0,"$GNGGA,000027.263,4900.5237,N,00825.4542,E,0,0,,145.8,M,47.9,M,,*5B",,,,
2022-01-01T10:27:48+01:00,2,27.33,32.40,1014.21,12.60,17.20,0,0,"$GNGGA,000047.263,4900.5237,N,00825.4542,E,0,0,,145.8,M,47.9,M,,*5D",,,,
2022-01-01T10:28:09+01:00,3,27.04,34.27,1014.14,11.90,16.80,0,0,"$GNGGA,000108.263,4900.5237,N,00825.4542,E,0,0,,145.8,M,47.9,M,,*57",,,,
2022-01-01T10:28:30+01:00,4,26.79,34.77,1014.09,10.30,13.00,0,0,"$GNGGA,092825.142,4900.5237,N,00825.4542,E,0,0,,145.8,M,47.9,M,,*5A",,,,
2022-01-01T10:28:50+01:00,5,26.57,34.91,1014.06,8.40,11.20,0,0,"$GNGGA,092845.137,4900.5186,N,00825.4511,E,0,2,,145.8,M,47.9,M,,*53",,,,
2022-01-01T10:29:10+01:00,6,26.40,35.03,1014.02,7.10,10.20,0,0,"$GNGGA,092905.137,4900.5233,N,00825.4554,E,0,2,,145.8,M,47.9,M,,*5A",,,,
2022-01-01T10:29:30+01:00,7,26.25,34.99,1014.00,5.90,6.60,0,0,"$GNGGA,092925.095,4900.5237,N,00825.4542,E,0,2,,145.8,M,47.9,M,,*52",,,,
2022-01-01T10:29:50+01:00,8,26.13,35.13,1013.98,6.10,7.30,0,0,"$GNGGA,092945.094,4900.5256,N,00825.4488,E,0,2,,145.8,M,47.9,M,,*55",,,,
2022-01-01T10:30:10+01:00,9,26.04,34.86,1013.96,6.60,9.10,0,0,"$GNGGA,093005.093,4900.5236,N,00825.4545,E,0,2,,145.8,M,47.9,M,,*58",,,,
2022-01-01T10:30:30+01:00,10,25.97,34.84,1013.95,6.90,9.30,0,0,"$GNGGA,093025.093,4900.5230,N,00825.4560,E,0,2,,145.8,M,47.9,M,,*5B",,,,
2022-01-01T10:30:50+01:00,11,25.91,34.81,1013.94,6.50,9.60,0,0,"$GNGGA,093045.087,4900.5265,N,00825.4467,E,0,2,,145.8,M,47.9,M,,*5E",,,,
2022-01-01T10:31:10+01:00,12,25.88,34.64,1013.91,6.40,8.70,0,0,"$GNGGA,093105.097,4900.5241,N,00825.4530,E,0,2,,145.8,M,47.9,M,,*5F",,,,
2022-01-01T10:31:31+01:00,13,25.85,35.16,1013.97,7.10,10.30,0,0,"$GNGGA,093126.097,4900.5329,N,00825.4300,E,0,2,,145.8,M,47.9,M,,*54",,,,
2022-01-01T10:31:51+01:00,14,25.84,35.38,1014.02,7.40,9.60,0,0,"$GNGGA,093146.097,4900.5254,N,00825.4482,E,0,1,,145.8,M,47.9,M,,*57",,,,
2022-01-01T10:32:10+01:00,15,25.84,35.33,1014.05,7.30,9.30,0,0,"$GNGGA,093206.097,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2022-01-01T10:32:30+01:00,16,25.86,35.34,1014.08,6.80,8.20,0,0,"$GNGGA,093226.089,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E",,,,
2022-01-01T10:32:50+01:00,17,25.88,35.69,1014.37,6.40,8.10,0,0,"$GNGGA,093246.089,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58",,,,
2022-01-01T10:33:10+01:00,18,25.91,36.03,1014.73,5.80,7.50,0,0,"$GNGGA,093306.089,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D",,,,
2022-01-01T10:33:31+01:00,19,25.93,33.31,1015.00,7.70,9.00,0,0,"$GNGGA,093326.296,9000.0000,N,00000.0000,E,0,3,,137.0,M,13.0,M,,*50",,,,
2022-01-01T10:33:51+01:00,20,25.94,32.82,1015.21,9.70,10.20,0,0,"$GNGGA,093346.000,4900.5167,N,00825.4149,E,1,5,2.43,131.7,M,47.9,M,,*48",,,,
2022-01-01T10:34:11+01:00,21,25.94,33.05,1015.36,11.40,12.00,0,0,"$GNGGA,093406.000,4900.5174,N,00825.4149,E,1,8,1.18,132.4,M,47.9,M,,*49",,,,
2022-01-01T10:34:31+01:00,22,25.93,33.46,1015.47,9.90,10.60,0,0,"$GNGGA,093426.000,4900.5170,N,00825.4139,E,1,9,1.05,138.4,M,47.9,M,,*4F",,,,
2022-01-01T10:34:52+01:00,23,25.86,32.62,1015.56,8.90,10.00,0,0,"$GNGGA,093447.000,4900.5152,N,00825.4135,E,1,5,1.96,141.5,M,47.9,M,,*4D",,,,
2022-01-01T10:35:12+01:00,24,25.77,30.87,1015.63,9.90,12.00,0,0,"$GNGGA,093507.000,4900.5017,N,00825.4275,E,1,5,2.19,141.8,M,47.9,M,,*46",,,,
2022-01-01T10:35:33+01:00,25,25.63,30.17,1015.68,12.60,13.80,0,0,"$GNGGA,093528.000,4900.4947,N,00825.4272,E,1,8,1.18,141.4,M,47.9,M,,*42",,,,
