created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-11T18:21:03+01:00,1,25.94,34.66,1019.45,142.50,149.70,0,0,"$GNGGA,172058.299,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58",,,,
2022-01-11T18:21:24+01:00,2,25.78,34.77,1019.48,149.40,156.90,0,0,"$GNGGA,172119.000,4900.5259,N,00825.4698,E,1,5,3.41,141.9,M,47.9,M,,*41",,,,
2022-01-11T18:21:44+01:00,3,25.71,34.10,1019.47,145.50,152.80,0,0,"$GNGGA,172139.000,4900.5257,N,00825.4699,E,1,5,3.41,141.7,M,47.9,M,,*42",,,,
2022-01-11T18:22:04+01:00,4,25.69,33.58,1019.48,144.00,151.30,0,0,"$GNGGA,172159.000,4900.5263,N,00825.4772,E,1,6,3.50,147.1,M,47.9,M,,*44",,,,
2022-01-11T18:22:25+01:00,5,25.72,33.42,1019.48,137.30,144.20,0,0,"$GNGGA,172220.000,4900.5245,N,00825.4814,E,1,6,3.14,152.7,M,47.9,M,,*40",,,,
2022-01-11T18:22:45+01:00,6,25.77,33.28,1019.48,140.00,147.10,0,0,"$GNGGA,172240.000,4900.5263,N,00825.4793,E,1,6,3.13,154.5,M,47.9,M,,*41",,,,
2022-01-11T18:23:05+01:00,7,25.84,33.07,1019.49,136.70,143.60,0,0,"$GNGGA,172300.000,4900.5249,N,00825.4853,E,1,6,3.13,159.2,M,47.9,M,,*45",,,,
2022-01-11T18:23:26+01:00,8,25.93,33.03,1019.48,130.70,137.30,0,0,"$GNGGA,172321.000,4900.5266,N,00825.4802,E,1,6,3.13,160.1,M,47.9,M,,*46",,,,
2022-01-11T18:23:46+01:00,9,26.02,32.81,1019.47,128.30,134.80,0,0,"$GNGGA,172341.000,4900.5304,N,00825.4864,E,1,6,3.13,161.1,M,47.9,M,,*44",,,,
2022-01-11T18:24:06+01:00,10,26.11,32.21,1019.47,127.50,133.90,0,0,"$GNGGA,172401.000,4900.5305,N,00825.4799,E,1,6,3.13,155.1,M,47.9,M,,*4C",,,,
