created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-11T18:19:00+01:00,1,8.00,13.00,0.00,20.00,34.00,0,0,"$GNGGA,171856.000,4900.5331,N,00825.4757,E,0,4,,136.1,M,47.9,M,,*5D",,,,
2022-01-11T18:19:20+01:00,2,5.00,11.00,1.00,24.00,30.00,0,0,"$GNGGA,171916.000,4900.5241,N,00825.4745,E,1,4,3.57,143.6,M,47.9,M,,*46",,,,
2022-01-11T18:19:40+01:00,3,6.00,17.00,2.00,21.00,30.00,0,0,"$GNGGA,171936.000,4900.5225,N,00825.4768,E,1,4,3.56,153.2,M,47.9,M,,*4D",,,,
2022-01-11T18:20:00+01:00,4,9.00,17.00,3.00,22.00,30.00,0,0,"$GNGGA,171956.000,4900.5272,N,00825.4788,E,1,4,3.55,154.3,M,47.9,M,,*42",,,,
2022-01-11T18:20:20+01:00,5,2.00,18.00,4.00,23.00,32.00,0,0,"$GNGGA,172016.000,4900.5290,N,00825.4753,E,1,4,3.54,152.8,M,47.9,M,,*4A",,,,
2022-01-11T18:20:40+01:00,6,4.00,18.00,5.00,22.00,30.00,0,0,"$GNGGA,172036.000,4900.5290,N,00825.4702,E,1,4,3.53,151.7,M,47.9,M,,*47",,,,
2022-01-11T18:21:01+01:00,7,5.00,14.00,6.00,24.00,30.00,0,0,"$GNGGA,172057.000,4900.5263,N,00825.4720,E,1,4,3.52,150.0,M,47.9,M,,*4B",,,,
2022-01-11T18:21:21+01:00,8,8.00,18.00,7.00,21.00,33.00,0,0,"$GNGGA,172117.000,4900.5252,N,00825.4706,E,1,4,7.41,144.1,M,47.9,M,,*4A",,,,
2022-01-11T18:21:41+01:00,9,3.00,10.00,8.00,22.00,33.00,0,0,"$GNGGA,172137.000,4900.5272,N,00825.4734,E,1,4,3.51,144.2,M,47.9,M,,*4D",,,,
2022-01-11T18:22:01+01:00,10,9.00,13.00,9.00,21.00,32.00,0,0,"$GNGGA,172157.000,4900.5316,N,00825.4762,E,1,4,7.57,146.6,M,47.9,M,,*4F",,,,
2022-01-11T18:22:21+01:00,11,4.00,19.00,10.00,21.00,32.00,0,0,"$GNGGA,172217.000,4900.5317,N,00825.4737,E,1,4,3.49,148.8,M,47.9,M,,*42",,,,
2022-01-11T18:22:41+01:00,12,2.00,18.00,11.00,22.00,34.00,0,0,"$GNGGA,172237.000,4900.5287,N,00825.4760,E,1,4,3.48,149.0,M,47.9,M,,*42",,,,
2022-01-11T18:23:01+01:00,13,6.00,19.00,12.00,20.00,32.00,0,0,"$GNGGA,172257.000,4900.5297,N,00825.4730,E,1,4,3.48,149.6,M,47.9,M,,*46",,,,
2022-01-11T18:23:21+01:00,14,2.00,11.00,13.00,20.00,33.00,0,0,"$GNGGA,172317.000,4900.5358,N,00825.4695,E,1,4,3.47,149.3,M,47.9,M,,*45",,,,
2022-01-11T18:23:41+01:00,15,4.00,17.00,14.00,22.00,30.00,0,0,"$GNGGA,172337.000,4900.5299,N,00825.4755,E,1,4,3.46,150.6,M,47.9,M,,*4A",,,,
2022-01-11T18:24:01+01:00,16,9.00,19.00,15.00,24.00,32.00,0,0,"$GNGGA,172357.000,4900.5309,N,00825.4762,E,1,5,3.16,150.4,M,47.9,M,,*46",,,,
2022-01-11T18:24:22+01:00,17,9.00,10.00,16.00,22.00,34.00,0,0,"$GNGGA,172418.000,4900.5292,N,00825.4766,E,1,5,3.16,150.5,M,47.9,M,,*4C",,,,
2022-01-11T18:24:42+01:00,18,5.00,11.00,17.00,20.00,30.00,0,0,"$GNGGA,172438.000,4900.5262,N,00825.4827,E,1,5,3.16,153.0,M,47.9,M,,*4D",,,,
2022-01-11T18:25:02+01:00,19,9.00,17.00,18.00,23.00,32.00,0,0,"$GNGGA,172458.000,4900.5315,N,00825.4739,E,1,5,3.15,149.6,M,47.9,M,,*44",,,,
2022-01-11T18:25:22+01:00,20,3.00,18.00,19.00,24.00,32.00,0,0,"$GNGGA,172518.000,4900.5295,N,00825.4680,E,1,5,3.16,145.6,M,47.9,M,,*44",,,,
2022-01-11T18:25:42+01:00,21,7.00,16.00,20.00,24.00,34.00,0,0,"$GNGGA,172538.000,4900.5263,N,00825.4687,E,1,5,3.16,146.8,M,47.9,M,,*45",,,,
2022-01-11T18:26:02+01:00,22,7.00,10.00,21.00,21.00,30.00,0,0,"$GNGGA,172558.000,4900.5289,N,00825.4719,E,1,5,3.15,147.8,M,47.9,M,,*43",,,,
2022-01-11T18:26:22+01:00,23,5.00,10.00,22.00,20.00,30.00,0,0,"$GNGGA,172618.000,4900.5276,N,00825.4813,E,1,5,3.16,149.7,M,47.9,M,,*43",,,,
2022-01-11T18:26:42+01:00,24,4.00,17.00,23.00,21.00,30.00,0,0,"$GNGGA,172638.000,4900.5228,N,00825.4962,E,1,5,3.15,153.0,M,47.9,M,,*42",,,,
2022-01-11T18:27:02+01:00,25,4.00,15.00,24.00,20.00,33.00,0,0,"$GNGGA,172658.000,4900.5300,N,00825.4722,E,1,6,2.37,146.2,M,47.9,M,,*41",,,,
2022-01-11T18:27:22+01:00,26,5.00,10.00,25.00,22.00,33.00,0,0,"$GNGGA,172718.000,4900.5263,N,00825.4652,E,1,6,2.37,140.5,M,47.9,M,,*47",,,,
