created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-12T18:54:32+01:00,1,15.99,28.95,1025.16,149.60,157.10,0,0,"$GNGGA,000029.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*5D",,,,
2022-01-12T18:55:00+01:00,2,15.69,29.32,1025.16,147.80,155.20,0,0,"$GNGGA,000049.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*5B",,,,
2022-01-12T18:55:27+01:00,3,15.50,29.51,1025.17,148.60,156.10,0,0,"$GNGGA,000117.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*51",,,,
2022-01-12T18:55:48+01:00,4,15.42,30.15,1025.19,143.00,150.20,0,0,"$GNGGA,000144.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*57",,,,
2022-01-12T18:56:11+01:00,5,15.38,29.91,1025.20,138.00,145.00,0,0,"$GNGGA,000204.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*50",,,,
2022-01-12T18:56:34+01:00,6,15.36,29.42,1025.22,139.70,146.70,0,0,"$GNGGA,000230.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*57",,,,
2022-01-12T18:57:03+01:00,7,15.39,29.14,1025.23,143.40,150.60,0,0,"$GNGGA,000250.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*51",,,,
2022-01-12T18:57:29+01:00,8,15.47,29.49,1025.24,145.40,152.70,0,0,"$GNGGA,000324.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*53",,,,
2022-01-12T18:58:06+01:00,9,15.52,28.99,1025.25,133.40,140.10,0,0,"$GNGGA,000354.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*54",,,,
2022-01-12T18:58:30+01:00,10,15.59,29.14,1025.26,131.50,138.10,0,0,"$GNGGA,000423.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*53",,,,
2022-01-12T18:59:00+01:00,11,15.61,28.73,1025.26,131.30,137.90,0,0,"$GNGGA,000447.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*51",,,,
2022-01-12T18:59:25+01:00,12,15.63,28.62,1025.27,125.70,132.00,0,0,"$GNGGA,000517.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*55",,,,
2022-01-12T18:59:44+01:00,13,15.67,29.18,1025.27,133.60,140.30,0,0,"$GNGGA,000541.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*56",,,,
2022-01-12T19:00:10+01:00,14,15.70,29.20,1025.27,140.30,147.40,0,0,"$GNGGA,000606.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*56",,,,
2022-01-12T19:01:16+01:00,15,15.77,29.11,1025.27,137.10,144.00,0,0,"$GNGGA,000627.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*55",,,,
2022-01-12T19:03:39+01:00,16,15.79,29.44,1025.28,129.00,135.50,0,0,"$GNGGA,000935.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*59",,,,
2022-01-12T19:04:07+01:00,17,15.83,29.30,1025.30,132.40,139.10,0,0,"$GNGGA,000955.263,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*5F",,,,
