created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-13T17:53:35+01:00,1,24.01,41.98,1025.25,350.90,368.50,0,0,"$GNGGA,000025.466,4900.5477,N,00825.6103,E,0,0,,293.9,M,47.9,M,,*52",,,,
2022-01-13T17:53:56+01:00,2,24.03,40.50,1025.26,294.50,309.30,0,0,"$GNGGA,165351.088,4856.6727,N,00741.8770,E,0,2,,478.0,M,47.9,M,,*5A",,,,
2022-01-13T17:54:16+01:00,3,24.22,39.11,1025.27,268.80,282.30,0,0,"$GNGGA,165411.304,4900.5220,N,00825.4660,E,1,4,4.50,152.9,M,47.9,M,,*40",,,,
2022-01-13T17:54:37+01:00,4,24.49,37.77,1025.28,237.90,249.80,0,0,"$GNGGA,165432.304,4900.5321,N,00825.4502,E,1,4,4.48,133.4,M,47.9,M,,*45",,,,
2022-01-13T17:54:57+01:00,5,24.79,36.61,1025.26,243.80,256.00,0,0,"$GNGGA,165452.304,4900.5261,N,00825.4568,E,1,4,4.45,140.0,M,47.9,M,,*47",,,,
2022-01-13T17:55:18+01:00,6,25.10,35.76,1025.27,245.80,258.10,0,0,"$GNGGA,165513.000,4900.5202,N,00825.4657,E,1,4,4.42,147.9,M,47.9,M,,*47",,,,
2022-01-13T17:55:39+01:00,7,25.40,35.36,1025.27,243.70,255.90,0,0,"$GNGGA,165534.000,4900.5212,N,00825.4654,E,1,4,2.84,144.8,M,47.9,M,,*4E",,,,
2022-01-13T17:55:59+01:00,8,25.69,35.01,1025.27,238.30,250.30,0,0,"$GNGGA,165554.000,4900.5213,N,00825.4645,E,1,6,1.93,138.6,M,47.9,M,,*4B",,,,
2022-01-13T17:56:19+01:00,9,25.96,34.40,1025.27,240.20,252.30,0,0,"$GNGGA,165614.000,4900.5167,N,00825.4607,E,1,6,1.93,129.7,M,47.9,M,,*4B",,,,
2022-01-13T17:56:40+01:00,10,26.21,33.70,1025.27,240.20,252.30,0,0,"$GNGGA,165635.000,4900.5174,N,00825.4585,E,1,6,1.93,129.3,M,47.9,M,,*47",,,,
2022-01-13T17:57:00+01:00,11,26.44,32.80,1025.27,251.80,264.40,0,0,"$GNGGA,165655.000,4900.5184,N,00825.4583,E,1,6,1.93,128.1,M,47.9,M,,*4B",,,,
2022-01-13T17:57:20+01:00,12,26.65,32.76,1025.27,255.00,267.80,0,0,"$GNGGA,165715.000,4900.5194,N,00825.4570,E,1,6,1.92,126.7,M,47.9,M,,*4A",,,,
2022-01-13T17:57:41+01:00,13,26.85,32.09,1025.26,266.90,280.30,0,0,"$GNGGA,165736.000,4900.5203,N,00825.4548,E,1,6,1.92,128.6,M,47.9,M,,*42",,,,
2022-01-13T17:58:01+01:00,14,27.02,31.18,1025.25,272.60,286.30,0,0,"$GNGGA,165756.000,4900.5194,N,00825.4567,E,1,6,1.92,128.6,M,47.9,M,,*44",,,,
2022-01-13T17:58:21+01:00,15,27.19,31.25,1025.25,280.70,294.80,0,0,"$GNGGA,165816.000,4900.5164,N,00825.4586,E,1,6,1.92,126.9,M,47.9,M,,*4E",,,,
2022-01-13T17:58:42+01:00,16,27.35,31.18,1025.24,281.30,295.40,0,0,"$GNGGA,165837.000,4900.5164,N,00825.4578,E,1,6,2.92,125.2,M,47.9,M,,*47",,,,
2022-01-13T17:59:02+01:00,17,27.50,30.72,1025.24,274.50,288.30,0,0,"$GNGGA,165857.000,4900.5186,N,00825.4600,E,1,6,1.92,124.8,M,47.9,M,,*49",,,,
2022-01-13T17:59:22+01:00,18,27.63,30.43,1025.24,282.70,296.90,0,0,"$GNGGA,165917.000,4900.5186,N,00825.4608,E,1,6,1.92,127.1,M,47.9,M,,*4E",,,,
2022-01-13T17:59:43+01:00,19,27.76,30.47,1025.24,279.70,293.70,0,0,"$GNGGA,165938.000,4900.5182,N,00825.4607,E,1,6,1.92,127.2,M,47.9,M,,*4B",,,,
2022-01-13T18:00:03+01:00,20,27.87,29.98,1025.24,278.30,292.30,0,0,"$GNGGA,165958.000,4900.5173,N,00825.4589,E,1,6,1.92,126.1,M,47.9,M,,*44",,,,
2022-01-13T18:00:23+01:00,21,27.99,30.21,1025.24,273.10,286.80,0,0,"$GNGGA,170018.000,4900.5175,N,00825.4536,E,1,6,2.94,126.6,M,47.9,M,,*4D",,,,
2022-01-13T18:00:44+01:00,22,28.10,30.29,1025.25,274.80,288.60,0,0,"$GNGGA,170039.000,4900.5191,N,00825.4538,E,1,6,1.92,125.3,M,47.9,M,,*49",,,,
2022-01-13T18:01:04+01:00,23,28.21,30.12,1025.26,258.60,271.60,0,0,"$GNGGA,170059.000,4900.5205,N,00825.4555,E,1,6,2.95,125.7,M,47.9,M,,*4A",,,,
2022-01-13T18:01:24+01:00,24,28.31,30.17,1025.26,248.20,260.70,0,0,"$GNGGA,170119.000,4900.5211,N,00825.4536,E,1,6,1.92,126.6,M,47.9,M,,*49",,,,
2022-01-13T18:01:45+01:00,25,28.40,30.02,1025.26,245.80,258.10,0,0,"$GNGGA,170140.000,4900.5217,N,00825.4584,E,1,6,1.92,127.2,M,47.9,M,,*4F",,,,
2022-01-13T18:02:05+01:00,26,28.49,29.54,1025.27,258.10,271.10,0,0,"$GNGGA,170200.000,4900.5211,N,00825.4559,E,1,7,1.69,127.0,M,47.9,M,,*49",,,,
2022-01-13T18:02:26+01:00,27,28.58,29.63,1025.27,262.50,275.70,0,0,"$GNGGA,170221.000,4900.5195,N,00825.4573,E,1,7,1.69,127.1,M,47.9,M,,*4C",,,,
2022-01-13T18:02:47+01:00,28,28.66,29.14,1025.27,257.90,270.80,0,0,"$GNGGA,170242.000,4900.5200,N,00825.4597,E,1,8,1.68,126.9,M,47.9,M,,*4B",,,,
2022-01-13T18:03:07+01:00,29,28.74,29.10,1025.28,250.10,262.70,0,0,"$GNGGA,170302.000,4900.5177,N,00825.4591,E,1,8,1.69,125.7,M,47.9,M,,*47",,,,
2022-01-13T18:03:27+01:00,30,28.81,28.93,1025.28,246.30,258.70,0,0,"$GNGGA,170322.000,4900.5179,N,00825.4529,E,1,8,1.69,124.3,M,47.9,M,,*4D",,,,
2022-01-13T18:03:48+01:00,31,28.89,29.10,1025.29,249.70,262.20,0,0,"$GNGGA,170343.000,4900.5225,N,00825.4523,E,1,8,1.69,127.8,M,47.9,M,,*42",,,,
2022-01-13T18:04:08+01:00,32,28.96,28.70,1025.30,257.10,270.00,0,0,"$GNGGA,170403.000,4900.5208,N,00825.4570,E,1,8,1.69,126.7,M,47.9,M,,*46",,,,
2022-01-13T18:04:28+01:00,33,29.03,28.50,1025.31,258.90,271.90,0,0,"$GNGGA,170423.000,4900.5202,N,00825.4585,E,1,8,1.69,125.0,M,47.9,M,,*40",,,,
2022-01-13T18:04:49+01:00,34,29.09,28.61,1025.31,206.10,216.50,0,0,"$GNGGA,170444.000,4900.5218,N,00825.4524,E,1,8,1.69,124.4,M,47.9,M,,*44",,,,
2022-01-13T18:05:10+01:00,35,29.06,30.39,1025.12,96.60,101.50,0,0,"$GNGGA,170505.000,4900.5317,N,00825.4471,E,0,0,,127.2,M,47.9,M,,*53",,,,
2022-01-13T18:05:30+01:00,36,28.96,30.90,1025.00,84.40,88.70,0,0,"$GNGGA,170525.000,4900.5239,N,00825.4480,E,0,0,,129.2,M,47.9,M,,*5C",,,,
2022-01-13T18:05:51+01:00,37,28.81,31.47,1024.90,71.50,75.10,0,0,"$GNGGA,170546.000,4900.5239,N,00825.4480,E,0,0,,129.2,M,47.9,M,,*59",,,,
2022-01-13T18:06:11+01:00,38,28.64,31.83,1024.82,66.40,69.80,0,0,"$GNGGA,170606.000,4900.5239,N,00825.4480,E,0,0,,129.2,M,47.9,M,,*5E",,,,
2022-01-13T18:06:31+01:00,39,28.49,32.10,1024.79,64.80,68.10,0,0,"$GNGGA,170626.000,4900.5239,N,00825.4480,E,0,0,,129.2,M,47.9,M,,*5C",,,,
2022-01-13T18:06:52+01:00,40,28.35,32.27,1024.73,62.30,65.50,0,0,"$GNGGA,170647.000,4900.5225,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*53",,,,
2022-01-13T18:07:13+01:00,41,28.23,32.34,1024.69,60.50,63.60,0,0,"$GNGGA,170708.000,4900.5225,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*59",,,,
2022-01-13T18:07:33+01:00,42,28.12,32.36,1024.74,61.10,64.20,0,0,"$GNGGA,170728.000,4900.5225,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*5B",,,,
2022-01-13T18:07:54+01:00,43,28.03,32.05,1024.80,56.70,59.60,0,0,"$GNGGA,170749.000,4900.5225,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*5C",,,,
2022-01-13T18:08:14+01:00,44,27.95,32.35,1024.83,48.90,51.40,0,0,"$GNGGA,170809.000,4900.5225,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*57",,,,
2022-01-13T18:08:34+01:00,45,27.88,32.24,1024.95,38.40,40.40,0,0,"$GNGGA,170829.000,4900.5225,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*55",,,,
2022-01-13T18:08:55+01:00,46,27.82,32.31,1025.35,34.20,36.00,0,0,"$GNGGA,170850.000,4900.5222,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*5C",,,,
2022-01-13T18:09:15+01:00,47,27.77,31.76,1025.66,35.30,37.10,0,0,"$GNGGA,170910.000,4900.5222,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*59",,,,
2022-01-13T18:09:35+01:00,48,27.73,31.38,1025.92,36.40,38.30,0,0,"$GNGGA,170930.000,4900.5222,N,00825.4482,E,0,0,,129.5,M,47.9,M,,*5B",,,,
