created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-14T01:54:32+01:00,1,23.80,34.60,1023.30,172.70,181.40,0,0,"$GNGGA,005428.097,4900.5233,N,00825.4653,E,0,0,,136.5,M,47.9,M,,*52",,,,
2022-01-14T01:54:52+01:00,2,23.93,33.60,1023.33,140.40,147.50,0,0,"$GNGGA,005448.097,4900.5232,N,00825.4631,E,0,1,,136.5,M,47.9,M,,*50",,,,
2022-01-14T01:55:12+01:00,3,24.27,32.24,1023.34,108.50,114.00,0,0,"$GNGGA,005508.097,4900.5233,N,00825.4654,E,0,1,,136.5,M,47.9,M,,*57",,,,
2022-01-14T01:55:32+01:00,4,24.72,31.11,1023.36,107.40,112.80,0,0,"$GNGGA,005528.097,4900.5233,N,00825.4654,E,0,1,,136.5,M,47.9,M,,*55",,,,
2022-01-14T01:55:52+01:00,5,25.22,30.11,1023.36,111.50,117.10,0,0,"$GNGGA,005548.097,4900.5233,N,00825.4655,E,0,1,,136.5,M,47.9,M,,*52",,,,
2022-01-14T01:56:12+01:00,6,25.74,29.29,1023.38,112.80,118.50,0,0,"$GNGGA,005608.088,4900.5233,N,00825.4652,E,0,1,,136.5,M,47.9,M,,*5C",,,,
2022-01-14T01:56:33+01:00,7,26.25,28.52,1023.39,111.50,117.10,0,0,"$GNGGA,005629.088,4900.5233,N,00825.4654,E,0,1,,136.5,M,47.9,M,,*59",,,,
2022-01-14T01:56:53+01:00,8,26.74,27.99,1023.40,110.20,115.80,0,0,"$GNGGA,005649.088,4900.5233,N,00825.4653,E,0,1,,136.5,M,47.9,M,,*58",,,,
2022-01-14T01:57:13+01:00,9,27.21,27.40,1023.41,114.30,120.10,0,0,"$GNGGA,005709.088,4900.5233,N,00825.4658,E,0,1,,136.5,M,47.9,M,,*56",,,,
2022-01-14T01:57:33+01:00,10,27.64,26.98,1023.42,117.50,123.40,0,0,"$GNGGA,005729.088,4900.5233,N,00825.4655,E,0,1,,136.5,M,47.9,M,,*59",,,,
2022-01-14T01:57:53+01:00,11,28.05,26.59,1023.42,120.90,127.00,0,0,"$GNGGA,005749.088,4900.5233,N,00825.4654,E,0,1,,136.5,M,47.9,M,,*5E",,,,
2022-01-14T01:58:13+01:00,12,28.42,26.19,1023.43,120.10,126.20,0,0,"$GNGGA,005809.088,4900.5233,N,00825.4652,E,0,1,,136.5,M,47.9,M,,*53",,,,
2022-01-14T01:58:33+01:00,13,28.77,25.75,1023.43,118.20,124.20,0,0,"$GNGGA,005829.088,4900.5233,N,00825.4653,E,0,1,,136.5,M,47.9,M,,*50",,,,
2022-01-14T01:58:53+01:00,14,29.09,25.49,1023.43,121.20,127.30,0,0,"$GNGGA,005849.088,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2022-01-14T01:59:13+01:00,15,29.39,25.25,1023.44,123.70,129.90,0,0,"$GNGGA,005909.086,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58",,,,
2022-01-14T01:59:33+01:00,16,29.66,24.94,1023.43,125.30,131.60,0,0,"$GNGGA,005929.086,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A",,,,
2022-01-14T01:59:53+01:00,17,29.91,24.72,1023.44,122.50,128.70,0,0,"$GNGGA,005949.098,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2022-01-14T02:00:12+01:00,18,30.15,24.52,1023.44,119.80,125.80,0,0,"$GNGGA,010008.308,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51",,,,
2022-01-14T02:00:33+01:00,19,30.37,24.26,1023.44,121.50,127.60,0,0,"$GNGGA,010029.090,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50",,,,
2022-01-14T02:00:53+01:00,20,30.58,24.11,1023.45,121.60,127.70,0,0,"$GNGGA,010049.090,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56",,,,
2022-01-14T02:01:13+01:00,21,30.78,23.85,1023.44,122.70,128.90,0,0,"$GNGGA,010109.090,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2022-01-14T02:01:33+01:00,22,30.97,23.67,1023.43,119.90,125.90,0,0,"$GNGGA,010129.090,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51",,,,
2022-01-14T02:01:53+01:00,23,31.14,23.37,1023.44,120.80,126.90,0,0,"$GNGGA,010149.102,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D",,,,
2022-01-14T02:02:13+01:00,24,31.31,23.28,1023.45,118.50,124.50,0,0,"$GNGGA,010209.102,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A",,,,
