created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-14T15:26:04+01:00,1,32.59,19.25,1019.87,482.10,506.30,0,0,"$GNGGA,142600.000,4900.5297,N,00825.4407,E,0,3,,66.1,M,47.9,M,,*68",,,,
2022-01-14T15:26:25+01:00,2,32.37,19.60,1019.87,415.50,436.30,0,0,"$GNGGA,142620.000,4900.5211,N,00825.4397,E,1,4,4.55,115.4,M,47.9,M,,*46",,,,
2022-01-14T15:26:45+01:00,3,32.27,19.48,1019.88,361.90,380.00,0,0,"$GNGGA,142640.000,4900.5228,N,00825.4627,E,1,4,4.55,119.3,M,47.9,M,,*4F",,,,
2022-01-14T15:27:06+01:00,4,32.25,19.30,1019.89,340.50,357.60,0,0,"$GNGGA,142701.000,4900.5200,N,00825.4595,E,1,4,4.56,122.5,M,47.9,M,,*46",,,,
2022-01-14T15:27:26+01:00,5,32.28,19.12,1019.88,350.00,367.60,0,0,"$GNGGA,142721.000,4900.5212,N,00825.4528,E,1,5,3.42,124.4,M,47.9,M,,*45",,,,
2022-01-14T15:27:46+01:00,6,32.33,18.98,1019.87,354.50,372.30,0,0,"$GNGGA,142741.000,4900.5214,N,00825.4550,E,1,5,3.85,124.9,M,47.9,M,,*4C",,,,
2022-01-14T15:28:07+01:00,7,32.39,18.88,1019.88,350.80,368.40,0,0,"$GNGGA,142802.000,4900.5183,N,00825.4537,E,1,5,3.42,124.7,M,47.9,M,,*4D",,,,
2022-01-14T15:28:27+01:00,8,32.45,18.83,1019.88,354.30,372.10,0,0,"$GNGGA,142822.000,4900.5181,N,00825.4482,E,1,5,3.42,123.7,M,47.9,M,,*45",,,,
2022-01-14T15:28:47+01:00,9,32.52,18.77,1019.88,349.50,367.00,0,0,"$GNGGA,142842.000,4900.5239,N,00825.4458,E,1,5,3.43,122.7,M,47.9,M,,*44",,,,
2022-01-14T15:29:08+01:00,10,32.57,18.70,1019.88,351.10,368.70,0,0,"$GNGGA,142903.000,4900.5240,N,00825.4446,E,1,5,3.43,119.4,M,47.9,M,,*4A",,,,
2022-01-14T15:29:28+01:00,11,32.63,18.67,1019.87,357.20,375.10,0,0,"$GNGGA,142923.000,4900.5250,N,00825.4450,E,1,5,3.43,118.1,M,47.9,M,,*4A",,,,
2022-01-14T15:29:48+01:00,12,32.68,18.69,1019.87,371.50,390.10,0,0,"$GNGGA,142943.000,4900.5232,N,00825.4333,E,1,5,3.44,116.8,M,47.9,M,,*4A",,,,
2022-01-14T15:30:09+01:00,13,32.72,18.67,1019.86,367.40,385.80,0,0,"$GNGGA,143004.000,4900.5225,N,00825.4363,E,1,5,3.44,116.6,M,47.9,M,,*4C",,,,
2022-01-14T15:30:30+01:00,14,32.77,18.66,1019.86,353.30,371.00,0,0,"$GNGGA,143025.000,4900.5221,N,00825.4288,E,1,5,3.44,116.3,M,47.9,M,,*4A",,,,
2022-01-14T15:30:50+01:00,15,32.80,18.64,1019.85,347.10,364.50,0,0,"$GNGGA,143045.000,4900.5221,N,00825.4268,E,1,5,3.44,115.4,M,47.9,M,,*46",,,,
2022-01-14T15:31:11+01:00,16,32.84,18.63,1019.86,353.20,370.90,0,0,"$GNGGA,143106.000,4900.5240,N,00825.4369,E,1,6,2.39,105.5,M,47.9,M,,*4F",,,,
2022-01-14T15:31:31+01:00,17,32.86,18.58,1019.85,360.40,378.50,0,0,"$GNGGA,143126.000,4900.5234,N,00825.4319,E,1,7,2.11,93.0,M,47.9,M,,*79",,,,
2022-01-14T15:31:52+01:00,18,32.89,18.52,1019.85,360.80,378.90,0,0,"$GNGGA,143147.000,4900.5227,N,00825.4224,E,1,7,2.11,88.9,M,47.9,M,,*70",,,,
2022-01-14T15:32:13+01:00,19,32.91,18.45,1019.84,357.80,375.70,0,0,"$GNGGA,143208.000,4900.5224,N,00825.4217,E,1,7,3.49,90.3,M,47.9,M,,*74",,,,
2022-01-14T15:32:33+01:00,20,32.93,18.45,1019.85,358.70,376.70,0,0,"$GNGGA,143228.000,4900.5221,N,00825.4176,E,1,7,2.11,93.0,M,47.9,M,,*7B",,,,
2022-01-14T15:32:54+01:00,21,32.95,18.38,1019.85,362.60,380.80,0,0,"$GNGGA,143249.000,4900.5251,N,00825.4315,E,1,7,2.45,95.8,M,47.9,M,,*73",,,,
2022-01-14T15:33:15+01:00,22,32.97,18.33,1019.86,367.40,385.80,0,0,"$GNGGA,143310.000,4900.5236,N,00825.4322,E,1,7,2.12,97.0,M,47.9,M,,*73",,,,
2022-01-14T15:33:35+01:00,23,32.99,18.35,1019.86,364.50,382.80,0,0,"$GNGGA,143330.000,4900.5216,N,00825.4325,E,1,7,2.12,96.5,M,47.9,M,,*70",,,,
2022-01-14T15:33:56+01:00,24,33.00,18.35,1019.86,346.30,363.70,0,0,"$GNGGA,143351.000,4900.5234,N,00825.4271,E,1,7,2.46,96.3,M,47.9,M,,*70",,,,
2022-01-14T15:34:17+01:00,25,33.01,18.36,1019.85,340.80,357.90,0,0,"$GNGGA,143412.000,4900.5224,N,00825.4207,E,1,7,2.12,95.8,M,47.9,M,,*79",,,,
2022-01-14T15:34:37+01:00,26,33.02,18.36,1019.84,342.30,359.50,0,0,"$GNGGA,143432.000,4900.5214,N,00825.4204,E,1,7,2.13,96.8,M,47.9,M,,*79",,,,
2022-01-14T15:34:58+01:00,27,33.02,18.37,1019.84,343.10,360.30,0,0,"$GNGGA,143453.000,4900.5220,N,00825.4281,E,1,7,2.47,97.5,M,47.9,M,,*79",,,,
2022-01-14T15:35:19+01:00,28,33.02,18.35,1019.83,340.30,357.40,0,0,"$GNGGA,143514.000,4900.5206,N,00825.4311,E,1,7,2.47,98.0,M,47.9,M,,*7D",,,,
2022-01-14T15:35:39+01:00,29,33.02,18.34,1019.83,340.50,357.60,0,0,"$GNGGA,143534.000,4900.5207,N,00825.4452,E,1,7,2.13,100.3,M,47.9,M,,*4C",,,,
2022-01-14T15:35:59+01:00,30,33.02,18.33,1019.83,356.70,374.60,0,0,"$GNGGA,143554.000,4900.5192,N,00825.4510,E,1,7,2.48,101.5,M,47.9,M,,*4B",,,,
2022-01-14T15:36:20+01:00,31,33.03,18.34,1019.83,370.20,388.80,0,0,"$GNGGA,143615.000,4900.5152,N,00825.4495,E,1,7,2.48,103.9,M,47.9,M,,*43",,,,
2022-01-14T15:36:40+01:00,32,33.03,18.26,1019.82,369.40,387.90,0,0,"$GNGGA,143635.000,4900.5174,N,00825.4468,E,1,7,2.49,104.1,M,47.9,M,,*49",,,,
2022-01-14T15:37:00+01:00,33,33.03,18.25,1019.81,353.00,370.70,0,0,"$GNGGA,143655.000,4900.5197,N,00825.4553,E,1,8,2.12,103.9,M,47.9,M,,*45",,,,
2022-01-14T15:37:21+01:00,34,33.04,18.25,1019.81,346.00,363.40,0,0,"$GNGGA,143716.000,4900.5202,N,00825.4478,E,1,8,2.12,104.7,M,47.9,M,,*4D",,,,
2022-01-14T15:37:42+01:00,35,33.04,18.21,1019.81,357.20,375.10,0,0,"$GNGGA,143737.000,4900.5164,N,00825.4477,E,1,8,2.12,108.7,M,47.9,M,,*4E",,,,
2022-01-14T15:38:02+01:00,36,33.04,18.22,1019.81,374.80,393.60,0,0,"$GNGGA,143757.000,4900.5172,N,00825.4433,E,1,8,2.13,111.5,M,47.9,M,,*44",,,,
2022-01-14T15:38:23+01:00,37,33.02,18.24,1019.80,367.50,385.90,0,0,"$GNGGA,143818.000,4900.5198,N,00825.4512,E,1,8,3.48,112.7,M,47.9,M,,*48",,,,
2022-01-14T15:38:43+01:00,38,33.00,18.26,1019.79,364.70,383.00,0,0,"$GNGGA,143838.000,4900.5211,N,00825.4563,E,1,8,2.13,114.9,M,47.9,M,,*49",,,,
2022-01-14T15:39:04+01:00,39,32.99,18.21,1019.79,352.90,370.60,0,0,"$GNGGA,143859.000,4900.5212,N,00825.4463,E,1,9,2.01,115.1,M,47.9,M,,*47",,,,
2022-01-14T15:39:25+01:00,40,32.96,18.20,1019.78,342.50,359.70,0,0,"$GNGGA,143920.000,4900.5215,N,00825.4386,E,1,9,2.01,115.4,M,47.9,M,,*46",,,,
