created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-14T20:32:47+01:00,1,29.33,21.40,1018.84,256.00,268.90,0,0,"$GNGGA,193242.098,4900.5226,N,00825.4834,E,0,3,,136.4,M,47.9,M,,*50",,,,
2022-01-14T20:33:08+01:00,2,29.00,19.50,1018.85,200.70,210.80,0,0,"$GNGGA,193303.000,4900.5263,N,00825.4708,E,1,5,2.34,142.8,M,47.9,M,,*47",,,,
2022-01-14T20:33:29+01:00,3,28.52,18.28,1018.84,183.70,192.90,0,0,"$GNGGA,193324.000,4900.5241,N,00825.4637,E,1,5,2.63,144.3,M,47.9,M,,*40",,,,
2022-01-14T20:33:49+01:00,4,27.99,19.03,1018.84,159.90,167.90,0,0,"$GNGGA,193344.000,4900.5236,N,00825.4407,E,1,5,2.34,136.6,M,47.9,M,,*45",,,,
2022-01-14T20:34:09+01:00,5,27.41,19.45,1018.83,320.00,336.10,0,0,"$GNGGA,193404.000,4900.5249,N,00825.4389,E,1,4,2.94,130.2,M,47.9,M,,*46",,,,
2022-01-14T20:34:30+01:00,6,26.68,22.04,1018.80,99.50,104.50,0,0,"$GNGGA,193425.000,4900.5325,N,00825.4493,E,0,4,,127.3,M,47.9,M,,*55",,,,
2022-01-14T20:34:50+01:00,7,26.08,24.82,1018.80,70.30,73.90,0,0,"$GNGGA,193445.000,4900.5149,N,00825.4446,E,1,4,5.33,97.4,M,47.9,M,,*74",,,,
2022-01-14T20:35:10+01:00,8,25.64,25.38,1018.86,41.30,43.40,0,0,"$GNGGA,193505.000,4900.5157,N,00825.4861,E,1,4,5.30,95.4,M,47.9,M,,*76",,,,
2022-01-14T20:35:30+01:00,9,25.19,22.12,1018.92,36.80,38.70,0,0,"$GNGGA,193526.000,4900.5401,N,00825.5481,E,0,2,,94.7,M,47.9,M,,*6F",,,,
2022-01-14T20:35:50+01:00,10,24.94,22.22,1019.25,38.00,40.00,0,0,"$GNGGA,193546.000,4900.5372,N,00825.4659,E,0,0,,107.0,M,47.9,M,,*52",,,,
2022-01-14T20:36:10+01:00,11,24.64,20.63,1019.64,42.20,44.40,0,0,"$GNGGA,193606.000,4900.5367,N,00825.4660,E,0,0,,107.0,M,47.9,M,,*5B",,,,
2022-01-14T20:36:31+01:00,12,24.19,19.92,1019.93,53.20,55.90,0,0,"$GNGGA,193627.000,4900.5019,N,00825.4018,E,0,2,,119.6,M,47.9,M,,*50",,,,
2022-01-14T20:36:52+01:00,13,23.68,20.26,1020.14,60.90,64.00,0,0,"$GNGGA,193647.000,4900.5077,N,00825.3479,E,0,2,,132.6,M,47.9,M,,*53",,,,
2022-01-14T20:37:11+01:00,14,22.90,21.05,1020.30,65.10,68.40,0,0,"$GNGGA,193707.000,4900.4867,N,00825.4093,E,0,3,,153.2,M,47.9,M,,*5B",,,,
2022-01-14T20:37:33+01:00,15,22.00,22.20,1020.42,62.00,65.20,0,0,"$GNGGA,193728.000,4900.4879,N,00825.4245,E,1,5,1.41,152.5,M,47.9,M,,*4B",,,,
