created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-15T19:54:40+01:00,1,27.45,28.87,1012.12,105.70,111.00,0,20.50,"$GNGGA,000028.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*57",,,,
2022-01-15T19:55:00+01:00,2,27.29,25.88,1012.13,97.90,102.80,0,17.00,"$GNGGA,000048.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*51",,,,
2022-01-15T19:55:20+01:00,3,27.20,24.64,1012.13,84.30,88.60,0,15.00,"$GNGGA,000108.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*54",,,,
2022-01-15T19:55:41+01:00,4,27.14,23.18,1012.13,84.00,88.30,0,13.50,"$GNGGA,000129.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*57",,,,
2022-01-15T19:56:01+01:00,5,27.04,22.09,1012.13,81.00,85.10,0,12.00,"$GNGGA,000149.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*51",,,,
2022-01-15T19:56:21+01:00,6,26.93,22.04,1012.11,81.60,85.70,0,11.50,"$GNGGA,000209.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-15T19:56:42+01:00,7,26.74,21.93,1012.11,182.40,191.60,0,11.50,"$GNGGA,000230.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-15T19:57:02+01:00,8,26.44,21.94,1012.11,50.30,52.90,0,13.50,"$GNGGA,000250.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-15T19:57:22+01:00,9,26.03,27.64,1012.18,46.80,49.20,0,17.50,"$GNGGA,000310.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-01-15T19:57:43+01:00,10,25.52,24.70,1012.24,41.60,43.70,0,19.00,"$GNGGA,000331.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-15T19:58:03+01:00,11,25.06,23.26,1012.29,32.60,45.10,0,18.50,"$GNGGA,000351.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-15T19:58:23+01:00,12,24.72,23.70,1012.36,34.00,35.80,0,19.00,"$GNGGA,000411.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*59",,,,
2022-01-15T19:58:44+01:00,13,24.23,23.29,1012.78,33.90,35.60,0,17.50,"$GNGGA,000432.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-01-15T19:59:04+01:00,14,23.44,23.48,1013.10,38.70,40.70,0,13.50,"$GNGGA,000452.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2022-01-15T19:59:24+01:00,15,22.42,24.64,1013.33,43.60,45.80,0,11.00,"$GNGGA,000512.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-01-15T19:59:45+01:00,16,21.58,26.06,1013.50,47.80,50.20,0,10.50,"$GNGGA,000533.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-01-15T20:00:05+01:00,17,20.80,26.71,1013.64,49.10,51.60,0,9.00,"$GNGGA,000553.264,4900.7874,N,00825.4525,E,0,0,,102.1,M,47.9,M,,*5E",,,,
