created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-15T16:32:54+01:00,1,23.27,40.69,1012.58,105.70,111.00,0,0,"$GNGGA,153249.309,4900.3864,N,00824.6149,E,0,0,,144.7,M,47.9,M,,*53",,,,
2022-01-15T16:33:14+01:00,2,23.39,39.23,1012.60,88.80,93.30,0,0,"$GNGGA,153309.094,4900.7669,N,00824.8794,E,0,2,,144.4,M,47.9,M,,*5F",,,,
2022-01-15T16:33:34+01:00,3,23.65,37.73,1012.61,71.30,74.90,0,0,"$GNGGA,153329.094,4900.7320,N,00824.9348,E,0,2,,144.4,M,47.9,M,,*51",,,,
2022-01-15T16:33:55+01:00,4,24.00,36.20,1012.63,66.90,70.30,0,0,"$GNGGA,153350.000,4900.5265,N,00825.4532,E,1,5,2.66,160.9,M,47.9,M,,*46",,,,
2022-01-15T16:34:15+01:00,5,24.40,35.06,1012.65,69.80,73.30,0,0,"$GNGGA,153410.000,4900.5230,N,00825.4386,E,1,6,2.33,141.9,M,47.9,M,,*4C",,,,
2022-01-15T16:34:35+01:00,6,24.82,34.44,1012.66,71.50,75.10,0,0,"$GNGGA,153430.000,4900.5213,N,00825.4518,E,1,6,2.34,138.2,M,47.9,M,,*4C",,,,
2022-01-15T16:34:56+01:00,7,25.24,33.64,1012.68,72.00,75.70,0,0,"$GNGGA,153451.000,4900.5222,N,00825.4660,E,1,6,2.34,138.6,M,47.9,M,,*41",,,,
2022-01-15T16:35:16+01:00,8,25.65,33.03,1012.69,71.10,74.70,0,0,"$GNGGA,153511.000,4900.5214,N,00825.4690,E,1,6,2.35,138.9,M,47.9,M,,*40",,,,
2022-01-15T16:35:36+01:00,9,26.04,32.64,1012.69,70.90,74.50,0,0,"$GNGGA,153531.000,4900.5217,N,00825.4625,E,1,6,2.36,136.5,M,47.9,M,,*4E",,,,
2022-01-15T16:35:57+01:00,10,26.42,32.15,1012.69,70.10,73.70,0,0,"$GNGGA,153552.000,4900.5217,N,00825.4523,E,1,6,2.37,135.5,M,47.9,M,,*4C",,,,
2022-01-15T16:36:17+01:00,11,26.77,31.71,1012.70,70.30,73.90,0,0,"$GNGGA,153612.000,4900.5230,N,00825.4484,E,1,6,2.38,139.9,M,47.9,M,,*4D",,,,
2022-01-15T16:36:37+01:00,12,27.11,31.31,1012.70,69.70,73.20,0,0,"$GNGGA,153632.000,4900.5236,N,00825.4565,E,1,6,2.39,142.3,M,47.9,M,,*40",,,,
2022-01-15T16:36:58+01:00,13,27.43,30.84,1012.70,69.10,72.60,0,0,"$GNGGA,153653.000,4900.5232,N,00825.4621,E,1,6,2.40,141.0,M,47.9,M,,*4E",,,,
2022-01-15T16:37:18+01:00,14,27.73,30.52,1012.70,68.20,71.70,0,0,"$GNGGA,153713.000,4900.5215,N,00825.4661,E,1,6,2.34,139.6,M,47.9,M,,*40",,,,
2022-01-15T16:37:38+01:00,15,28.01,30.21,1012.71,69.30,72.80,0,0,"$GNGGA,153733.000,4900.5207,N,00825.4649,E,1,6,2.35,140.5,M,47.9,M,,*47",,,,
2022-01-15T16:37:59+01:00,16,28.28,29.76,1012.70,70.20,73.80,0,0,"$GNGGA,153754.000,4900.5215,N,00825.4690,E,1,6,2.35,143.8,M,47.9,M,,*4F",,,,
2022-01-15T16:38:19+01:00,17,28.54,29.61,1012.69,69.40,72.90,0,0,"$GNGGA,153814.000,4900.5214,N,00825.4547,E,1,6,2.36,148.8,M,47.9,M,,*44",,,,
2022-01-15T16:38:39+01:00,18,28.78,29.34,1012.69,69.70,73.20,0,0,"$GNGGA,153834.000,4900.5222,N,00825.4565,E,1,6,2.37,153.3,M,47.9,M,,*43",,,,
2022-01-15T16:39:00+01:00,19,29.01,29.05,1012.69,70.50,74.10,0,0,"$GNGGA,153855.000,4900.5232,N,00825.4634,E,1,7,1.79,155.3,M,47.9,M,,*4C",,,,
2022-01-15T16:39:20+01:00,20,29.23,28.81,1012.69,70.80,74.40,0,0,"$GNGGA,153915.000,4900.5216,N,00825.4601,E,1,6,2.38,153.0,M,47.9,M,,*4B",,,,
