created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-16T19:16:35+01:00,1,21.80,42.84,1016.40,56.80,59.70,0,20.50,"$GNGGA,000027.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:16:55+01:00,2,21.63,43.03,1016.41,53.90,56.60,0,20.50,"$GNGGA,000047.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-16T19:17:15+01:00,3,21.57,42.93,1016.42,55.10,57.90,0,20.50,"$GNGGA,000107.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-01-16T19:17:35+01:00,4,21.57,42.75,1016.43,54.80,57.60,0,21.00,"$GNGGA,000127.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*57",,,,
2022-01-16T19:17:55+01:00,5,21.62,42.61,1016.45,56.40,59.30,0,21.00,"$GNGGA,000147.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*51",,,,
2022-01-16T19:18:15+01:00,6,21.70,42.48,1016.46,56.00,58.90,0,21.00,"$GNGGA,000207.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:18:35+01:00,7,21.80,42.24,1016.46,55.50,58.30,0,21.00,"$GNGGA,000227.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*54",,,,
2022-01-16T19:18:56+01:00,8,21.91,41.98,1016.48,55.20,58.00,0,21.00,"$GNGGA,000248.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2022-01-16T19:19:16+01:00,9,22.03,41.74,1016.50,55.00,57.80,0,21.00,"$GNGGA,000308.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-01-16T19:19:36+01:00,10,22.16,41.50,1016.51,54.10,56.90,0,21.00,"$GNGGA,000328.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-16T19:19:56+01:00,11,22.30,41.29,1016.51,55.70,58.50,0,21.00,"$GNGGA,000348.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-16T19:20:16+01:00,12,22.43,41.11,1016.52,56.10,59.00,0,21.50,"$GNGGA,000408.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-01-16T19:20:36+01:00,13,22.56,40.86,1016.53,56.30,59.20,0,21.50,"$GNGGA,000428.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2022-01-16T19:20:57+01:00,14,22.68,40.67,1016.53,54.70,57.50,0,21.50,"$GNGGA,000449.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-16T19:21:17+01:00,15,22.81,40.42,1016.55,52.80,55.50,0,21.50,"$GNGGA,000509.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-01-16T19:21:37+01:00,16,22.94,40.22,1016.55,52.30,55.00,0,21.50,"$GNGGA,000529.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2022-01-16T19:21:57+01:00,17,23.06,40.07,1016.56,53.50,56.20,0,21.50,"$GNGGA,000549.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-01-16T19:22:17+01:00,18,23.18,39.83,1016.58,56.10,59.00,0,21.50,"$GNGGA,000609.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-16T19:22:38+01:00,19,23.30,39.70,1016.58,54.70,57.50,0,22.00,"$GNGGA,000630.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:22:58+01:00,20,23.40,40.12,1016.57,54.00,56.80,0,22.50,"$GNGGA,000650.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-16T19:23:18+01:00,21,23.53,40.51,1016.57,52.10,54.80,0,23.00,"$GNGGA,000710.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-01-16T19:23:39+01:00,22,23.65,42.89,1016.57,52.20,54.90,0,23.00,"$GNGGA,000731.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:23:59+01:00,23,23.79,43.43,1016.57,51.10,53.70,0,23.50,"$GNGGA,000751.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-16T19:24:19+01:00,24,23.94,40.49,1016.60,49.40,51.90,0,24.50,"$GNGGA,000811.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-01-16T19:24:40+01:00,25,24.09,34.88,1016.67,48.80,51.30,0,23.50,"$GNGGA,000832.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-16T19:25:00+01:00,26,24.18,27.03,1016.75,45.70,48.00,0,22.00,"$GNGGA,000852.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-16T19:25:20+01:00,27,24.26,25.99,1016.84,43.70,45.90,0,21.00,"$GNGGA,000912.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*59",,,,
2022-01-16T19:25:41+01:00,28,24.31,27.22,1017.25,40.00,42.10,0,20.50,"$GNGGA,000933.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-16T19:26:01+01:00,29,24.02,24.05,1017.58,42.20,44.40,0,16.00,"$GNGGA,000953.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-16T19:26:21+01:00,30,23.41,23.87,1017.82,47.20,49.60,0,13.50,"$GNGGA,001013.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-16T19:26:42+01:00,31,22.69,24.92,1018.00,51.50,54.10,0,11.50,"$GNGGA,001034.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-01-16T19:27:02+01:00,32,22.04,25.92,1018.14,52.10,54.80,0,11.50,"$GNGGA,001054.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*53",,,,
2022-01-16T19:27:22+01:00,33,21.28,26.57,1018.25,49.50,52.00,0,10.50,"$GNGGA,001114.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:27:42+01:00,34,20.35,27.65,1018.32,48.50,51.00,0,9.50,"$GNGGA,001134.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*54",,,,
2022-01-16T19:28:02+01:00,35,19.14,29.25,1018.37,46.60,49.00,0,8.00,"$GNGGA,001154.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*52",,,,
2022-01-16T19:28:22+01:00,36,17.98,31.53,1018.42,46.70,49.10,0,8.00,"$GNGGA,001214.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-01-16T19:28:42+01:00,37,16.98,33.34,1018.43,47.50,49.90,0,8.00,"$GNGGA,001234.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*57",,,,
2022-01-16T19:29:02+01:00,38,16.16,34.58,1018.44,47.60,50.00,0,8.00,"$GNGGA,001254.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*51",,,,
2022-01-16T19:29:22+01:00,39,15.34,35.50,1018.44,46.60,49.00,0,7.50,"$GNGGA,001314.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*54",,,,
2022-01-16T19:29:42+01:00,40,14.44,37.04,1018.44,46.10,48.50,0,7.00,"$GNGGA,001334.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:30:02+01:00,41,13.66,38.72,1018.43,45.40,47.70,0,7.00,"$GNGGA,001354.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-16T19:30:22+01:00,42,13.08,39.75,1018.44,46.40,48.80,0,7.50,"$GNGGA,001414.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*53",,,,
2022-01-16T19:30:43+01:00,43,12.40,40.37,1018.44,43.90,46.10,0,7.00,"$GNGGA,001435.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-16T19:31:03+01:00,44,11.65,42.27,1018.43,44.30,46.60,0,6.00,"$GNGGA,001455.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-16T19:31:23+01:00,45,11.03,43.89,1018.43,44.50,46.80,0,6.00,"$GNGGA,001515.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*53",,,,
