created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-01-15T20:45:53+01:00,1,15.44,38.54,1012.02,192.90,202.60,0,10.00,"$GNGGA,000027.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-15T20:46:13+01:00,2,15.27,38.08,1012.01,90.70,95.30,0,10.00,"$GNGGA,000047.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-15T20:46:33+01:00,3,15.14,37.22,1011.98,85.70,90.00,0,9.00,"$GNGGA,000107.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-01-15T20:46:53+01:00,4,15.14,36.87,1011.95,78.80,82.80,0,10.00,"$GNGGA,000127.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*57",,,,
2022-01-15T20:47:13+01:00,5,15.28,37.22,1011.91,77.70,81.60,0,11.00,"$GNGGA,000147.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*51",,,,
2022-01-15T20:47:33+01:00,6,15.43,36.43,1011.89,75.60,79.40,0,11.00,"$GNGGA,000207.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-15T20:47:54+01:00,7,15.51,35.28,1011.84,76.20,80.10,0,10.50,"$GNGGA,000228.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-01-15T20:48:14+01:00,8,15.67,35.20,1011.80,75.50,79.30,0,11.00,"$GNGGA,000248.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2022-01-15T20:48:34+01:00,9,15.85,34.80,1011.76,77.10,81.00,0,11.00,"$GNGGA,000308.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-01-15T20:48:54+01:00,10,16.03,34.18,1011.70,76.70,80.60,0,11.00,"$GNGGA,000328.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-15T20:49:14+01:00,11,16.23,33.63,1011.63,76.70,80.60,0,11.00,"$GNGGA,000348.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-15T20:49:34+01:00,12,16.43,33.15,1011.54,78.30,82.30,0,11.00,"$GNGGA,000408.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-01-15T20:49:55+01:00,13,16.64,32.91,1011.45,78.60,82.60,0,11.50,"$GNGGA,000429.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-01-15T20:50:15+01:00,14,16.80,32.18,1011.35,78.50,82.50,0,11.00,"$GNGGA,000449.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-01-15T20:50:35+01:00,15,16.98,32.11,1011.25,74.40,78.20,0,11.50,"$GNGGA,000509.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-01-15T20:50:56+01:00,16,17.21,32.62,1011.16,75.30,79.10,0,12.50,"$GNGGA,000530.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-01-15T20:51:16+01:00,17,17.48,33.16,1011.08,74.80,78.60,0,13.00,"$GNGGA,000550.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*53",,,,
2022-01-15T20:51:36+01:00,18,17.77,33.40,1011.00,76.90,80.80,0,13.50,"$GNGGA,000610.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*54",,,,
2022-01-15T20:51:56+01:00,19,18.07,33.41,1010.92,75.60,79.40,0,14.00,"$GNGGA,000630.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-01-15T20:52:16+01:00,20,18.37,33.37,1010.85,74.50,78.30,0,14.50,"$GNGGA,000650.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*50",,,,
2022-01-15T20:52:36+01:00,21,18.68,33.27,1010.82,70.90,74.50,0,15.00,"$GNGGA,000710.264,4900.4698,N,00825.4553,E,0,0,,102.1,M,47.9,M,,*55",,,,
