created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-07T20:12:14+01:00,1,26.09,23.97,1015.29,464.30,487.60,0,21.00,"$GNGGA,000027.263,4900.5239,N,00825.4612,E,0,0,,135.4,M,47.9,M,,*58",,,,
2022-02-07T20:13:00+01:00,2,26.94,22.58,1015.28,260.70,273.80,0,22.00,"$GNGGA,191255.085,4900.5239,N,00825.4612,E,0,0,,135.4,M,47.9,M,,*5C",,,,
2022-02-07T20:13:21+01:00,3,26.88,21.71,1015.29,175.10,183.90,0,21.50,"$GNGGA,191316.081,4900.5280,N,00825.3470,E,0,1,,135.4,M,47.9,M,,*5C",,,,
2022-02-07T20:13:42+01:00,4,26.96,21.24,1015.31,166.60,175.00,0,21.50,"$GNGGA,191337.000,4900.5208,N,00825.4613,E,1,4,2.86,141.0,M,47.9,M,,*47",,,,
2022-02-07T20:14:03+01:00,5,27.10,20.70,1015.31,158.30,166.30,0,21.50,"$GNGGA,191358.000,4900.5221,N,00825.4597,E,1,4,2.86,139.9,M,47.9,M,,*4C",,,,
2022-02-07T20:14:23+01:00,6,27.29,19.95,1015.33,159.60,167.60,0,21.00,"$GNGGA,191418.000,4900.5238,N,00825.4532,E,1,4,2.87,133.7,M,47.9,M,,*4D",,,,
2022-02-07T20:14:44+01:00,7,27.49,19.77,1015.34,160.80,168.90,0,21.50,"$GNGGA,191439.000,4900.5249,N,00825.4553,E,1,4,2.87,135.8,M,47.9,M,,*46",,,,
2022-02-07T20:15:05+01:00,8,27.71,19.69,1015.34,160.70,168.80,0,21.50,"$GNGGA,191500.000,4900.5226,N,00825.4605,E,1,4,2.87,141.2,M,47.9,M,,*4D",,,,
2022-02-07T20:15:25+01:00,9,27.92,19.62,1015.34,163.60,171.80,0,21.50,"$GNGGA,191520.000,4900.5222,N,00825.4594,E,1,4,2.87,142.5,M,47.9,M,,*44",,,,
2022-02-07T20:15:46+01:00,10,28.13,18.87,1015.35,169.20,177.70,0,21.50,"$GNGGA,191541.000,4900.5225,N,00825.4572,E,1,4,2.88,140.6,M,47.9,M,,*42",,,,
2022-02-07T20:16:06+01:00,11,28.33,18.46,1015.35,170.70,179.30,0,21.00,"$GNGGA,191601.000,4900.5185,N,00825.4517,E,1,4,2.88,139.6,M,47.9,M,,*41",,,,
2022-02-07T20:16:27+01:00,12,28.52,18.33,1015.35,169.70,178.20,0,21.50,"$GNGGA,191622.000,4900.5164,N,00825.4582,E,1,4,2.88,141.8,M,47.9,M,,*42",,,,
2022-02-07T20:16:48+01:00,13,28.70,18.54,1015.35,171.80,180.40,0,22.00,"$GNGGA,191643.000,4900.5159,N,00825.4621,E,1,4,2.89,146.8,M,47.9,M,,*47",,,,
2022-02-07T20:17:09+01:00,14,28.88,18.71,1015.35,170.00,178.60,0,22.00,"$GNGGA,191704.000,4900.5183,N,00825.4690,E,1,4,2.89,150.2,M,47.9,M,,*45",,,,
2022-02-07T20:17:30+01:00,15,29.05,18.76,1015.36,177.80,186.70,0,22.50,"$GNGGA,191725.000,4900.5173,N,00825.4663,E,1,4,2.89,149.3,M,47.9,M,,*4C",,,,
2022-02-07T20:17:51+01:00,16,29.23,18.78,1015.37,181.00,190.10,0,22.50,"$GNGGA,191746.000,4900.5157,N,00825.4637,E,1,4,2.90,147.3,M,47.9,M,,*48",,,,
2022-02-07T20:18:11+01:00,17,29.40,18.03,1015.39,189.10,198.60,0,22.00,"$GNGGA,191806.000,4900.5174,N,00825.4559,E,1,4,2.90,141.3,M,47.9,M,,*4F",,,,
2022-02-07T20:18:32+01:00,18,29.56,18.10,1015.42,182.00,191.20,0,22.50,"$GNGGA,191827.000,4900.5181,N,00825.4590,E,1,6,2.26,139.5,M,47.9,M,,*45",,,,
