created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-09T18:18:29+01:00,1,18.72,39.40,1011.76,317.90,333.80,0,17.00,"$GNGGA,171824.095,4900.4690,N,00824.7462,E,0,0,,127.7,M,47.9,M,,*5E",,,,
2022-02-09T18:18:49+01:00,2,18.71,39.42,1011.78,184.20,193.50,0,17.50,"$GNGGA,171844.303,4900.5251,N,00825.4790,E,0,5,,164.2,M,47.9,M,,*57",,,,
2022-02-09T18:19:10+01:00,3,18.89,38.74,1011.79,176.00,184.90,0,17.50,"$GNGGA,171905.000,4900.5200,N,00825.5529,E,1,6,1.21,209.3,M,47.9,M,,*41",,,,
2022-02-09T18:19:31+01:00,4,19.16,37.29,1011.80,169.00,177.50,0,17.50,"$GNGGA,171926.000,4900.5159,N,00825.5541,E,1,6,1.21,211.0,M,47.9,M,,*4B",,,,
2022-02-09T18:19:52+01:00,5,19.50,36.60,1011.81,173.50,182.20,0,17.50,"$GNGGA,171947.000,4900.5176,N,00825.5589,E,1,6,1.21,212.7,M,47.9,M,,*41",,,,
2022-02-09T18:20:13+01:00,6,19.88,37.77,1011.81,66.00,69.40,0,19.00,"$GNGGA,172008.000,4900.5131,N,00825.5545,E,0,0,,214.1,M,47.9,M,,*58",,,,
2022-02-09T18:20:34+01:00,7,20.22,35.09,1011.89,37.50,39.40,0,20.50,"$GNGGA,172029.000,4900.5136,N,00825.5554,E,0,0,,214.1,M,47.9,M,,*5C",,,,
2022-02-09T18:20:54+01:00,8,20.50,34.15,1011.96,29.60,31.10,0,19.50,"$GNGGA,172049.000,4900.5136,N,00825.5554,E,0,0,,214.1,M,47.9,M,,*5A",,,,
2022-02-09T18:21:15+01:00,9,20.78,34.06,1012.00,14.90,15.70,0,19.00,"$GNGGA,172110.000,4900.5861,N,00825.4271,E,0,2,,212.4,M,47.9,M,,*5C",,,,
2022-02-09T18:21:36+01:00,10,21.05,34.36,1012.41,16.00,16.90,0,19.00,"$GNGGA,172131.000,4900.5142,N,00825.5562,E,0,0,,214.1,M,47.9,M,,*52",,,,
2022-02-09T18:21:56+01:00,11,21.24,31.59,1012.73,18.50,19.50,0,17.50,"$GNGGA,172151.000,4900.5246,N,00825.4101,E,1,4,1.68,116.5,M,47.9,M,,*42",,,,
2022-02-09T18:22:16+01:00,12,21.31,29.80,1012.97,19.60,20.60,0,16.00,"$GNGGA,172211.000,4900.5184,N,00825.4154,E,1,7,1.06,103.1,M,47.9,M,,*43",,,,
2022-02-09T18:22:37+01:00,13,21.13,29.58,1013.15,19.60,20.60,0,14.50,"$GNGGA,172232.000,4900.5075,N,00825.4201,E,1,7,1.06,115.0,M,47.9,M,,*48",,,,
2022-02-09T18:22:58+01:00,14,20.68,30.43,1013.29,18.90,19.90,0,13.50,"$GNGGA,172253.000,4900.4959,N,00825.4314,E,1,7,1.19,121.2,M,47.9,M,,*47",,,,
2022-02-09T18:23:19+01:00,15,20.27,32.03,1013.37,19.40,20.40,0,14.00,"$GNGGA,172314.000,4900.4945,N,00825.4155,E,1,8,0.99,122.9,M,47.9,M,,*41",,,,
2022-02-09T18:23:40+01:00,16,19.86,33.03,1013.43,20.00,21.10,0,14.00,"$GNGGA,172335.000,4900.4926,N,00825.4122,E,1,7,1.16,114.6,M,47.9,M,,*44",,,,
2022-02-09T18:24:01+01:00,17,19.54,33.25,1013.48,21.00,22.10,0,14.00,"$GNGGA,172356.000,4900.4938,N,00825.4240,E,1,5,1.50,112.9,M,47.9,M,,*40",,,,
2022-02-09T18:24:22+01:00,18,19.21,33.29,1013.52,20.90,22.00,0,14.00,"$GNGGA,172417.000,4900.4928,N,00825.4262,E,1,5,1.40,113.0,M,47.9,M,,*4A",,,,
2022-02-09T18:24:43+01:00,19,18.85,33.72,1013.56,20.10,21.20,0,14.00,"$GNGGA,172438.000,4900.4915,N,00825.4241,E,2,6,1.24,117.9,M,47.9,M,,*47",,,,
2022-02-09T18:25:04+01:00,20,18.50,34.26,1013.58,18.70,19.70,0,13.50,"$GNGGA,172459.000,4900.4944,N,00825.4303,E,2,7,1.06,118.7,M,47.9,M,,*43",,,,
2022-02-09T18:25:25+01:00,21,18.18,35.10,1013.61,18.60,19.60,0,13.50,"$GNGGA,172520.000,4900.4934,N,00825.4211,E,2,3,74.95,128.7,M,47.9,M,,*76",,,,
2022-02-09T18:25:46+01:00,22,17.95,35.40,1013.64,20.30,21.40,0,13.00,"$GNGGA,172541.000,4900.4816,N,00825.4114,E,2,7,1.05,129.7,M,47.9,M,,*48",,,,
2022-02-09T18:26:06+01:00,23,17.66,35.63,1013.64,22.40,23.60,0,13.00,"$GNGGA,172601.000,4900.4931,N,00825.4245,E,2,7,1.05,134.5,M,47.9,M,,*42",,,,
2022-02-09T18:26:27+01:00,24,17.40,36.09,1013.64,25.10,26.40,0,13.50,"$GNGGA,172622.000,4900.4905,N,00825.4372,E,2,9,0.92,142.8,M,47.9,M,,*4C",,,,
2022-02-09T18:26:48+01:00,25,17.17,36.46,1013.64,26.40,27.80,0,13.50,"$GNGGA,172643.000,4900.4896,N,00825.4370,E,2,9,0.90,144.6,M,47.9,M,,*48",,,,
2022-02-09T18:27:09+01:00,26,16.85,37.07,1013.65,26.40,27.80,0,13.00,"$GNGGA,172704.000,4900.4764,N,00825.4329,E,2,9,0.92,147.7,M,47.9,M,,*44",,,,
