created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-09T20:36:05+01:00,1,23.71,27.58,1011.17,43.10,45.30,0,18.00,"$GNGGA,193600.310,4900.5212,N,00824.7844,E,0,1,,123.7,M,47.9,M,,*56",,,,
2022-02-09T20:36:26+01:00,2,23.39,27.74,1011.18,39.20,41.20,0,17.00,"$GNGGA,193621.310,4900.5569,N,00824.8713,E,0,1,,123.7,M,47.9,M,,*5C",,,,
2022-02-09T20:36:47+01:00,3,23.10,28.61,1011.16,36.20,38.10,0,18.50,"$GNGGA,193642.000,4900.5232,N,00825.3985,E,0,3,,102.1,M,47.9,M,,*5E",,,,
2022-02-09T20:37:08+01:00,4,22.91,29.37,1011.25,27.00,28.40,0,20.50,"$GNGGA,193703.000,4900.5015,N,00825.4503,E,1,4,2.33,103.2,M,47.9,M,,*40",,,,
2022-02-09T20:37:29+01:00,5,22.80,29.19,1011.30,20.90,22.00,0,20.50,"$GNGGA,193724.000,4900.4753,N,00825.3585,E,0,5,,0.0,M,47.9,M,,*54",,,,
2022-02-09T20:37:50+01:00,6,22.77,29.86,1011.36,16.90,17.80,0,20.50,"$GNGGA,193745.000,4900.5281,N,00825.3925,E,1,6,1.41,9.9,M,47.9,M,,*46",,,,
2022-02-09T20:38:11+01:00,7,22.80,30.01,1011.39,16.20,17.10,0,20.50,"$GNGGA,193806.000,4900.5241,N,00825.4047,E,1,5,1.79,49.0,M,47.9,M,,*7D",,,,
2022-02-09T20:38:32+01:00,8,22.86,30.57,1011.80,17.20,18.10,0,20.50,"$GNGGA,193827.000,4900.5285,N,00825.4113,E,0,0,,51.7,M,47.9,M,,*6D",,,,
2022-02-09T20:38:52+01:00,9,22.77,28.77,1012.14,19.60,20.60,0,18.50,"$GNGGA,193847.000,4900.5152,N,00825.4146,E,1,5,1.51,133.4,M,47.9,M,,*4B",,,,
2022-02-09T20:39:13+01:00,10,22.12,28.87,1012.38,23.10,24.30,0,15.50,"$GNGGA,193908.000,4900.5010,N,00825.4152,E,1,6,1.41,135.4,M,47.9,M,,*47",,,,
2022-02-09T20:39:34+01:00,11,21.18,31.29,1012.55,26.10,27.50,0,14.00,"$GNGGA,193929.000,4900.4876,N,00825.4150,E,1,6,1.41,139.8,M,47.9,M,,*4F",,,,
2022-02-09T20:39:54+01:00,12,20.45,32.88,1012.68,26.30,27.70,0,13.50,"$GNGGA,193949.000,4900.4846,N,00825.4106,E,1,6,1.42,138.8,M,47.9,M,,*4B",,,,
2022-02-09T20:40:15+01:00,13,20.01,33.20,1012.77,27.00,28.40,0,14.00,"$GNGGA,194010.000,4900.4768,N,00825.3790,E,1,5,1.51,137.6,M,47.9,M,,*44",,,,
2022-02-09T20:40:36+01:00,14,19.73,32.95,1012.84,27.80,29.20,0,14.50,"$GNGGA,194031.000,4900.4811,N,00825.4026,E,1,5,1.71,144.7,M,47.9,M,,*4C",,,,
2022-02-09T20:40:57+01:00,15,19.53,32.68,1012.89,27.90,29.30,0,15.00,"$GNGGA,194052.000,4900.4854,N,00825.4131,E,1,5,1.70,144.9,M,47.9,M,,*40",,,,
2022-02-09T20:41:18+01:00,16,19.37,32.58,1012.93,26.30,27.70,0,15.00,"$GNGGA,194113.000,4900.4813,N,00825.4090,E,1,6,1.24,146.9,M,47.9,M,,*4D",,,,
2022-02-09T20:41:39+01:00,17,19.21,32.64,1012.96,26.50,27.90,0,14.50,"$GNGGA,194134.000,4900.4853,N,00825.4166,E,2,5,1.69,145.9,M,47.9,M,,*4E",,,,
2022-02-09T20:41:59+01:00,18,19.07,32.75,1012.97,27.20,28.60,0,14.50,"$GNGGA,194154.000,4900.4850,N,00825.4170,E,2,6,1.23,144.3,M,47.9,M,,*4A",,,,
2022-02-09T20:42:20+01:00,19,18.92,32.86,1012.99,28.40,29.90,0,14.50,"$GNGGA,194215.000,4900.4805,N,00825.4014,E,2,5,1.68,146.7,M,47.9,M,,*45",,,,
