created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-10T18:02:39+01:00,1,25.69,31.96,1008.75,269.50,283.00,2,23.00,"$GNGGA,170233.099,4900.5136,N,00825.4129,E,0,3,,102.1,M,47.9,M,,*5F",,,,
2022-02-10T18:03:00+01:00,2,26.27,31.60,1008.76,288.00,302.50,2,23.00,"$GNGGA,170255.099,4900.5161,N,00825.4323,E,0,3,,102.1,M,47.9,M,,*55",,,,
2022-02-10T18:03:28+01:00,3,26.78,31.26,1008.77,292.50,307.20,2,23.50,"$GNGGA,170323.000,4900.5275,N,00825.4698,E,1,4,4.37,146.1,M,47.9,M,,*4E",,,,
2022-02-10T18:03:49+01:00,4,27.22,30.99,1008.77,287.30,301.70,2,23.50,"$GNGGA,170344.000,4900.5284,N,00825.4737,E,1,5,2.35,146.7,M,47.9,M,,*46",,,,
2022-02-10T18:04:10+01:00,5,27.58,30.80,1008.77,283.80,298.00,2,23.50,"$GNGGA,170405.000,4900.5292,N,00825.4801,E,1,4,4.43,140.3,M,47.9,M,,*4D",,,,
2022-02-10T18:04:31+01:00,6,27.89,30.64,1008.77,285.20,299.50,2,23.50,"$GNGGA,170426.000,4900.5233,N,00825.4648,E,1,4,4.47,135.8,M,47.9,M,,*49",,,,
2022-02-10T18:04:52+01:00,7,28.16,30.48,1008.76,284.20,298.50,2,23.50,"$GNGGA,170447.000,4900.5231,N,00825.4596,E,1,4,4.50,129.2,M,47.9,M,,*4D",,,,
2022-02-10T18:07:48+01:00,8,28.70,29.88,1008.77,254.40,267.20,3,24.00,"$GNGGA,170743.000,4900.5281,N,00825.4428,E,1,4,4.78,147.0,M,47.9,M,,*45",,,,
2022-02-10T18:08:09+01:00,9,28.99,29.41,1008.78,266.10,279.50,3,24.50,"$GNGGA,170804.000,4900.5241,N,00825.4493,E,1,4,4.82,126.5,M,47.9,M,,*42",,,,
2022-02-10T18:08:32+01:00,10,29.24,29.13,1008.81,265.10,278.40,3,24.50,"$GNGGA,170827.000,4900.5209,N,00825.4375,E,1,4,4.86,108.8,M,47.9,M,,*45",,,,
