created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-10T20:25:32+01:00,1,29.72,19.52,1008.36,47.40,49.80,0,23.50,"$GNGGA,192527.000,4900.5220,N,00825.4753,E,0,4,,144.3,M,47.9,M,,*59",,,,
2022-02-10T20:25:52+01:00,2,29.43,19.64,1008.36,41.70,43.80,0,23.50,"$GNGGA,192547.000,4900.5233,N,00825.4760,E,1,4,6.22,143.5,M,47.9,M,,*45",,,,
2022-02-10T20:26:13+01:00,3,29.17,19.63,1008.37,34.70,36.50,0,23.00,"$GNGGA,192608.000,4900.5240,N,00825.4764,E,1,4,7.54,143.5,M,47.9,M,,*4D",,,,
2022-02-10T20:26:33+01:00,4,28.94,19.81,1008.38,32.10,33.80,0,23.50,"$GNGGA,192628.000,4900.5232,N,00825.4851,E,1,5,4.85,145.2,M,47.9,M,,*4C",,,,
2022-02-10T20:26:54+01:00,5,28.74,20.19,1008.38,31.40,33.00,0,23.50,"$GNGGA,192649.000,4900.5228,N,00825.4897,E,1,5,4.89,147.0,M,47.9,M,,*46",,,,
2022-02-10T20:27:15+01:00,6,28.56,20.41,1008.39,31.40,33.00,0,23.50,"$GNGGA,192710.000,4900.5208,N,00825.4884,E,1,5,4.94,145.7,M,47.9,M,,*42",,,,
2022-02-10T20:27:35+01:00,7,28.35,20.87,1008.39,29.50,31.00,0,23.50,"$GNGGA,192730.000,4900.5152,N,00825.4838,E,6,2,99.99,145.3,M,47.9,M,,*76",,,,
2022-02-10T20:27:56+01:00,8,28.02,20.62,1008.47,26.30,27.70,0,23.50,"$GNGGA,192751.000,4900.5072,N,00825.5054,E,0,2,,144.9,M,47.9,M,,*52",,,,
2022-02-10T20:28:17+01:00,9,27.70,21.28,1008.52,24.10,25.40,0,22.50,"$GNGGA,192812.000,4900.5095,N,00825.5519,E,1,4,6.79,145.8,M,47.9,M,,*4E",,,,
2022-02-10T20:28:38+01:00,10,27.41,21.44,1008.95,24.40,25.70,0,22.50,"$GNGGA,192833.000,4900.5064,N,00825.5575,E,0,0,,146.1,M,47.9,M,,*50",,,,
