created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-11T18:10:54+01:00,1,21.49,30.40,1018.79,257.00,269.90,0,17.00,"$GNGGA,171049.295,4900.5919,N,00824.7303,E,0,0,,121.2,M,47.9,M,,*53",,,,
2022-02-11T18:11:15+01:00,2,21.43,30.23,1018.80,223.50,234.70,0,17.00,"$GNGGA,171110.095,4900.7875,N,00825.1911,E,0,3,,120.9,M,47.9,M,,*52",,,,
2022-02-11T18:11:36+01:00,3,21.49,31.86,1018.78,44.60,46.90,0,19.00,"$GNGGA,171131.095,4900.7723,N,00825.1617,E,0,3,,121.0,M,47.9,M,,*5C",,,,
2022-02-11T18:11:57+01:00,4,21.59,29.82,1018.86,33.70,35.40,0,20.00,"$GNGGA,171152.095,4900.8044,N,00825.2215,E,0,3,,120.9,M,47.9,M,,*5D",,,,
2022-02-11T18:12:17+01:00,5,21.66,29.12,1018.91,30.60,32.20,0,20.00,"$GNGGA,171211.998,5112.3310,N,01250.0655,E,0,2,,3335.8,M,46.4,M,,*6C",,,,
2022-02-11T18:12:38+01:00,6,21.74,29.44,1018.95,24.00,25.30,0,20.00,"$GNGGA,171232.999,4610.4480,N,00229.0184,W,0,2,,119.3,M,49.8,M,,*40",,,,
2022-02-11T18:12:58+01:00,7,21.83,28.94,1018.99,23.30,24.50,0,19.50,"$GNGGA,171252.999,4900.5827,N,00824.7232,E,0,0,,124.5,M,47.9,M,,*51",,,,
2022-02-11T18:13:18+01:00,8,21.92,28.99,1019.40,22.30,23.50,0,19.50,"$GNGGA,171313.000,4900.5919,N,00824.7303,E,0,0,,121.2,M,47.9,M,,*51",,,,
2022-02-11T18:13:39+01:00,9,21.64,27.00,1019.72,23.20,24.40,0,17.00,"$GNGGA,171334.000,4900.5919,N,00824.7303,E,0,0,,121.2,M,47.9,M,,*54",,,,
2022-02-11T18:13:59+01:00,10,21.41,27.49,1019.95,27.30,28.70,0,15.50,"$GNGGA,171354.000,4900.5359,N,00825.4677,E,1,5,1.92,176.0,M,47.9,M,,*48",,,,
