created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-13T20:16:23+01:00,1245,18.13,28.06,998.9,25.3,26.6,0,15,"$GNGGA,000022.475,4900.5511,N,00825.4870,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-02-13T20:16:44+01:00,1246,17.99,27.68,998.91,24.9,26.2,0,14.5,"$GNGGA,191639.309,4916.2149,N,00812.8146,E,0,1,,208.1,M,47.9,M,,*56",,,,
2022-02-13T20:17:05+01:00,1247,17.9,27.16,998.92,24.5,25.8,0,14.5,"$GNGGA,191700.309,5019.2284,N,00720.2012,E,0,3,,1442.6,M,47.8,M,,*61",,,,
2022-02-13T20:17:25+01:00,1248,17.85,27.03,998.92,24.9,26.2,0,14.5,"$GNGGA,191720.309,5019.2284,N,00720.2012,E,0,3,,1442.6,M,47.8,M,,*63",,,,
2022-02-13T20:17:45+01:00,1249,17.8,27.01,998.93,24.9,26.2,0,14.5,"$GNGGA,191740.309,5019.2274,N,00720.2002,E,0,2,,1442.5,M,47.8,M,,*69",,,,
2022-02-13T20:18:06+01:00,1250,17.61,26.77,998.93,23.9,25.1,0,14,"$GNGGA,191801.309,4900.8565,N,00825.2293,E,0,0,,145.2,M,47.9,M,,*59",,,,
2022-02-13T20:18:27+01:00,1251,17.43,27.32,998.92,23.5,24.7,0,14,"$GNGGA,191822.309,4900.5512,N,00825.4870,E,0,0,,145.2,M,47.9,M,,*54",,,,
2022-02-13T20:18:48+01:00,1252,17.14,27.63,998.91,23,24.2,0,13.5,"$GNGGA,191843.309,4900.5511,N,00825.4870,E,0,0,,145.2,M,47.9,M,,*50",,,,
2022-02-13T20:19:09+01:00,1253,16.85,28.25,998.91,23,24.2,0,13,"$GNGGA,191904.304,4902.8689,N,00825.4372,E,0,1,,145.4,M,47.9,M,,*5C",,,,
2022-02-13T20:19:30+01:00,1254,16.6,29.49,998.92,22.4,23.6,0,13,"$GNGGA,191925.296,4900.5515,N,00825.4870,E,0,1,,145.2,M,47.9,M,,*53",,,,
2022-02-13T20:19:51+01:00,1255,16.11,29.6,998.91,22.6,23.8,0,12.5,"$GNGGA,191946.089,4900.5511,N,00825.4870,E,0,1,,145.2,M,47.9,M,,*5E",,,,
2022-02-13T20:20:12+01:00,1256,15.79,30.55,998.92,22.7,23.9,0,13,"$GNGGA,192007.089,4841.5010,N,00832.0724,E,0,2,,196.7,M,48.0,M,,*53",,,,
2022-02-13T20:20:33+01:00,1257,15.47,30.53,998.91,22.2,23.4,0,12.5,"$GNGGA,192028.000,4900.4662,N,00825.3928,E,1,5,2.03,86.3,M,47.9,M,,*75",,,,
