created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-14T20:07:57+01:00,129,18.51,42.86,996.45,30.5,32.1,0,16,"$GNGGA,190752.290,4900.3659,N,00826.0295,E,0,0,,111.2,M,47.9,M,,*51",,,,
2022-02-14T20:08:18+01:00,130,17.82,43.57,996.46,24.7,26,0,13.5,"$GNGGA,190813.090,4918.7434,N,00918.7015,E,0,2,,134.3,M,48.0,M,,*5E",,,,
2022-02-14T20:08:38+01:00,131,16.92,45.98,996.47,20.1,21.2,0,12,"$GNGGA,190833.090,4919.7790,N,00921.7676,E,0,3,,153.9,M,48.0,M,,*53",,,,
2022-02-14T20:08:58+01:00,132,15.92,49.59,996.47,16,16.9,0,11.5,"$GNGGA,190853.084,4900.3391,N,00825.4163,E,1,5,4.06,121.6,M,47.9,M,,*4B",,,,
2022-02-14T20:09:19+01:00,133,15.05,52.43,996.46,16.8,17.7,0,11,"$GNGGA,190914.000,4900.3301,N,00825.4237,E,1,5,4.03,128.2,M,47.9,M,,*46",,,,
2022-02-14T20:09:39+01:00,134,14.18,54.18,996.47,17.6,18.5,0,10.5,"$GNGGA,190934.000,4900.3203,N,00825.4281,E,1,6,1.70,138.8,M,47.9,M,,*43",,,,
2022-02-14T20:10:00+01:00,135,13.43,56.41,996.46,18.1,19.1,0,10.5,"$GNGGA,190955.000,4900.3112,N,00825.4395,E,1,7,1.45,136.4,M,47.9,M,,*46",,,,
2022-02-14T20:10:21+01:00,136,12.86,57.77,996.45,18,19,0,11,"$GNGGA,191016.000,4900.3096,N,00825.4568,E,1,7,1.44,112.5,M,47.9,M,,*46",,,,
2022-02-14T20:10:41+01:00,137,12.47,58.22,996.43,18.5,19.5,0,11,"$GNGGA,191036.000,4900.3000,N,00825.4593,E,1,7,1.44,102.7,M,47.9,M,,*4C",,,,
2022-02-14T20:11:01+01:00,138,12.26,58.04,996.43,18.5,19.5,0,11,"$GNGGA,191056.000,4900.2871,N,00825.4591,E,1,8,1.12,96.1,M,47.9,M,,*71",,,,
2022-02-14T20:11:22+01:00,139,12.18,57.59,996.41,18.4,19.4,0,11.5,"$GNGGA,191117.000,4900.2686,N,00825.4641,E,1,9,1.09,111.4,M,47.9,M,,*4D",,,,
2022-02-14T20:11:43+01:00,140,12.08,57.4,996.42,18.7,19.7,0,11,"$GNGGA,191138.000,4900.2542,N,00825.4630,E,1,9,1.09,119.4,M,47.9,M,,*45",,,,
2022-02-14T20:12:04+01:00,141,11.97,57.57,996.44,19.5,20.5,0,11,"$GNGGA,191159.000,4900.2401,N,00825.4623,E,1,9,1.10,123.7,M,47.9,M,,*44",,,,
2022-02-14T20:12:25+01:00,142,11.79,57.87,996.44,20.1,21.2,0,10.5,"$GNGGA,191220.000,4900.2256,N,00825.4606,E,2,9,1.08,128.5,M,47.9,M,,*49",,,,
2022-02-14T20:12:47+01:00,143,11.57,58.7,996.45,20.3,21.4,0,10,"$GNGGA,191241.000,4900.2188,N,00825.4466,E,2,9,1.08,125.5,M,47.9,M,,*47",,,,
2022-02-14T20:13:08+01:00,144,11.35,60.01,996.43,20.1,21.2,0,10,"$GNGGA,191303.000,4900.2124,N,00825.4296,E,2,9,1.08,125.7,M,47.9,M,,*4D",,,,
2022-02-14T20:13:29+01:00,145,11.22,60.43,996.44,21,22.1,0,10,"$GNGGA,191324.000,4900.2064,N,00825.4254,E,2,9,1.08,123.6,M,47.9,M,,*44",,,,
2022-02-14T20:13:50+01:00,146,11.04,60.97,996.44,21.9,23,0,10,"$GNGGA,191345.000,4900.1917,N,00825.4170,E,2,10,1.03,124.5,M,47.9,M,,*7F",,,,
2022-02-14T20:14:11+01:00,147,10.92,61.3,996.44,21.6,22.7,0,10,"$GNGGA,191406.000,4900.1938,N,00825.3949,E,2,11,0.89,125.8,M,47.9,M,,*79",,,,
2022-02-14T20:14:32+01:00,148,10.81,61.59,996.44,20.6,21.7,0,10,"$GNGGA,191427.000,4900.2011,N,00825.3750,E,2,12,0.87,121.2,M,47.9,M,,*7E",,,,
2022-02-14T20:14:53+01:00,149,10.67,62.09,996.45,19.4,20.4,0,9.5,"$GNGGA,191448.000,4900.2115,N,00825.3590,E,2,11,1.05,121.3,M,47.9,M,,*75",,,,
2022-02-14T20:15:14+01:00,150,10.55,62.76,996.44,19.4,20.4,0,9.5,"$GNGGA,191509.000,4900.2182,N,00825.3445,E,2,12,0.86,120.5,M,47.9,M,,*78",,,,
2022-02-14T20:15:36+01:00,151,10.4,63.28,996.43,20.2,21.3,0,9.5,"$GNGGA,191530.000,4900.2271,N,00825.3253,E,2,13,0.82,128.5,M,47.9,M,,*71",,,,
2022-02-14T20:15:56+01:00,152,10.31,63.57,996.41,19.9,20.9,0,9.5,"$GNGGA,191551.000,4900.2268,N,00825.3069,E,2,10,0.93,127.4,M,47.9,M,,*78",,,,
2022-02-14T20:16:18+01:00,153,10.29,63.52,996.4,18.7,19.7,0,10,"$GNGGA,191612.000,4900.2445,N,00825.2833,E,2,13,0.82,135.0,M,47.9,M,,*77",,,,
2022-02-14T20:16:38+01:00,154,10.25,63.39,996.39,16.5,17.4,0,9.5,"$GNGGA,191633.000,4900.2221,N,00825.2624,E,2,12,0.93,137.0,M,47.9,M,,*7B",,,,
2022-02-14T20:17:00+01:00,155,10.2,63.38,996.37,15.8,16.6,0,9.5,"$GNGGA,191654.000,4900.2305,N,00825.2439,E,2,12,0.85,134.2,M,47.9,M,,*75",,,,
2022-02-14T20:17:20+01:00,156,10.2,63.55,996.35,16.1,17,0,10,"$GNGGA,191715.000,4900.2366,N,00825.2257,E,2,13,0.82,119.9,M,47.9,M,,*78",,,,
2022-02-14T20:17:41+01:00,157,10.14,63.5,996.34,17,17.9,0,9.5,"$GNGGA,191736.000,4900.2469,N,00825.2043,E,2,12,0.93,120.7,M,47.9,M,,*73",,,,
2022-02-14T20:18:03+01:00,158,10.01,63.96,996.37,17.6,18.5,0,9.5,"$GNGGA,191757.000,4900.2427,N,00825.1840,E,2,12,0.93,118.8,M,47.9,M,,*72",,,,
2022-02-14T20:18:24+01:00,159,9.92,64.77,996.39,17.6,18.5,0,9.5,"$GNGGA,191818.000,4900.2463,N,00825.1647,E,2,13,0.82,114.3,M,47.9,M,,*79",,,,
2022-02-14T20:18:45+01:00,160,9.8,65.26,996.4,17.5,18.4,0,9,"$GNGGA,191839.000,4900.2558,N,00825.1475,E,2,13,0.84,113.7,M,47.9,M,,*75",,,,
2022-02-14T20:19:06+01:00,161,9.69,65.87,996.42,17,17.9,0,9,"$GNGGA,191900.000,4900.2645,N,00825.1289,E,2,13,0.82,117.5,M,47.9,M,,*74",,,,
2022-02-14T20:19:27+01:00,162,9.59,66.41,996.43,17.3,18.2,0,9.5,"$GNGGA,191921.000,4900.2723,N,00825.1090,E,2,12,0.93,119.8,M,47.9,M,,*7E",,,,
2022-02-14T20:19:48+01:00,163,9.5,66.67,996.44,18,19,0,9,"$GNGGA,191942.000,4900.2822,N,00825.0848,E,1,12,0.93,128.0,M,47.9,M,,*70",,,,
2022-02-14T20:20:09+01:00,164,9.4,67.06,996.43,18.7,19.7,0,9,"$GNGGA,192003.000,4900.2875,N,00825.0659,E,1,12,0.93,132.7,M,47.9,M,,*7F",,,,
2022-02-14T20:20:31+01:00,165,9.31,67.33,996.44,18.4,19.4,0,9,"$GNGGA,192025.000,4900.2902,N,00825.0442,E,1,11,0.97,131.6,M,47.9,M,,*77",,,,
2022-02-14T20:20:52+01:00,166,9.2,67.86,996.44,17.1,18,0,9,"$GNGGA,192046.000,4900.2807,N,00825.0220,E,1,12,0.92,120.0,M,47.9,M,,*74",,,,
2022-02-14T20:21:13+01:00,167,9.14,68.31,996.44,16.6,17.5,0,9,"$GNGGA,192107.000,4900.2826,N,00824.9994,E,1,13,0.82,116.7,M,47.9,M,,*7D",,,,
2022-02-14T20:21:34+01:00,168,9.09,68.37,996.45,16.9,17.8,0,9,"$GNGGA,192128.000,4900.2883,N,00824.9802,E,1,14,0.76,111.4,M,47.9,M,,*79",,,,
2022-02-14T20:21:55+01:00,169,9.06,68.32,996.44,16.8,17.7,0,9,"$GNGGA,192149.000,4900.3004,N,00824.9625,E,1,13,0.93,111.1,M,47.9,M,,*7A",,,,
2022-02-14T20:22:16+01:00,170,9.06,68.34,996.45,15.1,15.9,0,9,"$GNGGA,192210.000,4900.3117,N,00824.9491,E,1,14,0.76,123.6,M,47.9,M,,*71",,,,
2022-02-14T20:22:37+01:00,171,9.13,68.41,996.45,14.3,15.1,0,9.5,"$GNGGA,192231.000,4900.3052,N,00824.9500,E,1,14,0.76,126.5,M,47.9,M,,*7D",,,,
2022-02-14T20:22:58+01:00,172,9.23,68.15,996.45,15.4,16.2,0,9.5,"$GNGGA,192252.000,4900.3092,N,00824.9530,E,1,13,0.81,126.5,M,47.9,M,,*78",,,,
2022-02-14T20:23:19+01:00,173,9.3,67.4,996.46,16.7,17.6,0,9,"$GNGGA,192313.000,4900.3192,N,00824.9583,E,1,13,0.83,121.6,M,47.9,M,,*73",,,,
2022-02-14T20:23:39+01:00,174,9.33,67.1,996.44,17.4,18.3,0,9,"$GNGGA,192334.000,4900.3266,N,00824.9516,E,0,0,,119.6,M,47.9,M,,*5F",,,,
2022-02-14T20:24:00+01:00,175,9.31,67.08,996.45,17.9,18.8,0,9,"$GNGGA,192354.000,4900.3314,N,00824.9380,E,1,13,0.81,111.8,M,47.9,M,,*76",,,,
2022-02-14T20:24:21+01:00,176,9.28,67.36,996.45,17.8,18.7,0,9,"$GNGGA,192415.000,4900.3432,N,00824.9276,E,1,13,0.81,113.6,M,47.9,M,,*73",,,,
