created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-16T19:19:27+01:00,1,14.44,55.71,992.65,22.60,23.80,0,14.00,"$GNGGA,181922.084,4900.4725,N,00825.4278,E,0,0,,116.7,M,47.9,M,,*54",,,,
2022-02-16T19:19:48+01:00,2,14.19,56.24,992.65,20.70,21.80,0,14.00,"$GNGGA,181943.304,4900.4725,N,00825.4278,E,0,0,,116.7,M,47.9,M,,*58",,,,
2022-02-16T19:20:08+01:00,3,13.99,56.55,992.65,19.90,20.90,0,14.00,"$GNGGA,182003.092,4900.5451,N,00825.4437,E,0,1,,116.7,M,47.9,M,,*57",,,,
2022-02-16T19:20:28+01:00,4,13.87,56.70,992.63,19.50,20.50,0,14.00,"$GNGGA,182023.094,4900.4725,N,00825.4278,E,0,1,,116.7,M,47.9,M,,*5F",,,,
2022-02-16T19:20:49+01:00,5,13.81,56.53,992.64,18.50,19.50,0,14.00,"$GNGGA,182044.095,4900.6455,N,00825.2763,E,0,2,,116.7,M,47.9,M,,*53",,,,
2022-02-16T19:21:09+01:00,6,13.82,56.37,992.66,17.80,18.70,0,14.00,"$GNGGA,182104.300,4900.6906,N,00825.4041,E,0,3,,116.7,M,47.9,M,,*52",,,,
2022-02-16T19:21:30+01:00,7,13.88,55.85,992.67,16.50,17.40,0,14.00,"$GNGGA,182125.091,4900.6948,N,00825.4123,E,0,3,,116.7,M,47.9,M,,*55",,,,
2022-02-16T19:21:51+01:00,8,13.89,55.79,992.66,17.20,18.10,0,14.00,"$GNGGA,182146.098,4900.6915,N,00825.4041,E,0,3,,116.7,M,47.9,M,,*54",,,,
2022-02-16T19:22:11+01:00,9,13.87,55.90,992.69,17.50,18.40,0,14.00,"$GNGGA,182206.000,4900.6830,N,00825.3976,E,1,5,1.81,119.5,M,47.9,M,,*42",,,,
2022-02-16T19:22:32+01:00,10,13.83,56.18,992.69,17.80,18.70,0,14.00,"$GNGGA,182227.000,4900.6840,N,00825.3984,E,1,6,1.37,108.3,M,47.9,M,,*43",,,,
2022-02-16T19:22:53+01:00,11,13.81,56.46,992.70,17.70,18.60,0,13.50,"$GNGGA,182248.000,4900.6839,N,00825.3996,E,1,6,1.38,112.5,M,47.9,M,,*45",,,,
2022-02-16T19:23:14+01:00,12,13.85,56.16,992.69,17.60,18.50,0,14.00,"$GNGGA,182309.000,4900.6817,N,00825.3940,E,1,6,1.29,117.1,M,47.9,M,,*47",,,,
2022-02-16T19:23:34+01:00,13,13.96,55.68,992.72,17.70,18.60,0,14.00,"$GNGGA,182329.000,4900.6816,N,00825.3952,E,1,6,1.29,115.7,M,47.9,M,,*43",,,,
2022-02-16T19:23:56+01:00,14,13.94,55.34,992.70,17.80,18.70,0,14.00,"$GNGGA,182351.000,4900.6818,N,00825.3909,E,1,6,1.29,116.5,M,47.9,M,,*4D",,,,
2022-02-16T19:24:17+01:00,15,13.88,56.20,992.68,18.10,19.10,0,13.50,"$GNGGA,182412.000,4900.6801,N,00825.3927,E,1,6,1.29,116.5,M,47.9,M,,*49",,,,
2022-02-16T19:24:38+01:00,16,13.85,56.43,992.70,18.60,19.60,0,13.50,"$GNGGA,182433.000,4900.6804,N,00825.3929,E,1,6,1.29,119.5,M,47.9,M,,*4E",,,,
2022-02-16T19:24:59+01:00,17,13.86,56.35,992.72,18.70,19.70,0,13.50,"$GNGGA,182454.000,4900.6800,N,00825.3913,E,1,6,1.29,120.9,M,47.9,M,,*44",,,,
2022-02-16T19:25:20+01:00,18,13.88,56.09,992.74,18.90,19.90,0,14.00,"$GNGGA,182515.000,4900.6798,N,00825.3931,E,1,6,1.29,120.1,M,47.9,M,,*46",,,,
2022-02-16T19:25:41+01:00,19,13.91,55.93,992.74,18.70,19.70,0,13.50,"$GNGGA,182536.000,4900.6788,N,00825.3971,E,1,7,1.11,121.4,M,47.9,M,,*4C",,,,
2022-02-16T19:26:02+01:00,20,13.96,55.77,992.73,18.80,19.80,0,14.00,"$GNGGA,182557.000,4900.6792,N,00825.3942,E,1,7,1.11,119.9,M,47.9,M,,*46",,,,
2022-02-16T19:26:23+01:00,21,14.00,55.71,992.74,18.50,19.50,0,14.00,"$GNGGA,182618.000,4900.6794,N,00825.3908,E,1,7,1.11,120.2,M,47.9,M,,*47",,,,
2022-02-16T19:26:44+01:00,22,14.04,55.54,992.75,18.50,19.50,0,14.00,"$GNGGA,182639.000,4900.6798,N,00825.3912,E,2,6,1.29,122.0,M,47.9,M,,*4A",,,,
2022-02-16T19:27:05+01:00,23,14.03,55.47,992.74,17.70,18.60,0,13.50,"$GNGGA,182700.000,4900.6794,N,00825.3835,E,2,7,1.11,125.0,M,47.9,M,,*44",,,,
2022-02-16T19:27:26+01:00,24,13.95,56.06,992.74,17.40,18.30,0,13.50,"$GNGGA,182721.000,4900.6804,N,00825.3854,E,2,6,1.18,127.0,M,47.9,M,,*4C",,,,
2022-02-16T19:27:47+01:00,25,13.92,56.57,992.74,16.80,17.70,0,13.50,"$GNGGA,182742.000,4900.6793,N,00825.3864,E,2,8,1.12,126.1,M,47.9,M,,*4F",,,,
2022-02-16T19:28:07+01:00,26,13.86,56.49,992.74,16.90,17.80,0,13.50,"$GNGGA,182802.000,4900.6767,N,00825.3792,E,2,8,1.12,124.9,M,47.9,M,,*43",,,,
2022-02-16T19:28:28+01:00,27,13.74,57.00,992.68,17.40,18.30,0,13.50,"$GNGGA,182823.000,4900.6725,N,00825.3651,E,2,8,1.03,127.4,M,47.9,M,,*46",,,,
2022-02-16T19:28:49+01:00,28,13.59,57.75,992.67,18.00,19.00,0,13.00,"$GNGGA,182844.000,4900.6673,N,00825.3423,E,2,8,1.03,132.2,M,47.9,M,,*40",,,,
2022-02-16T19:29:10+01:00,29,13.48,58.26,992.64,17.90,18.80,0,13.00,"$GNGGA,182905.000,4900.6599,N,00825.3189,E,2,8,1.13,132.6,M,47.9,M,,*43",,,,
2022-02-16T19:29:31+01:00,30,13.40,58.50,992.63,17.60,18.50,0,13.00,"$GNGGA,182926.000,4900.6504,N,00825.2984,E,2,8,1.04,131.8,M,47.9,M,,*49",,,,
2022-02-16T19:29:52+01:00,31,13.36,58.53,992.67,16.70,17.60,0,13.00,"$GNGGA,182947.000,4900.6440,N,00825.2785,E,2,8,1.04,130.6,M,47.9,M,,*4F",,,,
2022-02-16T19:30:13+01:00,32,13.29,58.61,992.70,17.10,18.00,0,13.00,"$GNGGA,183008.000,4900.6318,N,00825.2603,E,2,8,1.04,132.1,M,47.9,M,,*4C",,,,
2022-02-16T19:30:34+01:00,33,13.22,58.79,992.69,16.80,17.70,0,13.00,"$GNGGA,183029.000,4900.6262,N,00825.2351,E,2,7,1.34,127.0,M,47.9,M,,*48",,,,
2022-02-16T19:30:55+01:00,34,13.15,59.14,992.70,17.10,18.00,0,13.00,"$GNGGA,183050.000,4900.6121,N,00825.2194,E,2,8,1.04,133.6,M,47.9,M,,*46",,,,
2022-02-16T19:31:16+01:00,35,13.10,59.33,992.71,17.10,18.00,0,13.00,"$GNGGA,183111.000,4900.6054,N,00825.1960,E,2,8,1.04,139.0,M,47.9,M,,*4D",,,,
2022-02-16T19:31:37+01:00,36,13.06,59.39,992.74,17.60,18.50,0,13.00,"$GNGGA,183132.000,4900.5983,N,00825.1706,E,2,7,1.23,137.1,M,47.9,M,,*47",,,,
