created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-18T20:23:37+01:00,585,22.6,30.11,995.98,21.1,22.2,0,19.5,"$GNGGA,192332.293,4900.5169,N,00825.4840,E,0,0,,131.1,M,47.9,M,,*54",,,,
2022-02-18T20:23:57+01:00,586,21.93,29.79,995.99,19.9,20.9,0,18.5,"$GNGGA,192352.311,4900.5169,N,00825.4840,E,0,0,,131.1,M,47.9,M,,*59",,,,
2022-02-18T20:24:17+01:00,587,21.31,30.5,995.97,19.3,20.3,0,17.5,"$GNGGA,192412.296,4900.4962,N,00825.4205,E,0,3,,131.1,M,47.9,M,,*5E",,,,
2022-02-18T20:24:38+01:00,588,20.57,31.12,995.97,18.3,19.3,0,17,"$GNGGA,192433.000,4900.4932,N,00825.4315,E,1,5,1.67,121.4,M,47.9,M,,*48",,,,
2022-02-18T20:24:58+01:00,589,19.69,32.89,995.94,18.8,19.8,0,16,"$GNGGA,192453.000,4900.4854,N,00825.4312,E,1,6,1.50,121.4,M,47.9,M,,*4F",,,,
2022-02-18T20:25:19+01:00,590,18.89,34.17,995.93,19.2,20.2,0,16,"$GNGGA,192514.000,4900.4789,N,00825.4303,E,1,6,1.51,104.0,M,47.9,M,,*40",,,,
2022-02-18T20:25:43+01:00,591,18.15,35.77,995.95,20.1,21.2,0,15.5,"$GNGGA,192538.000,4900.4626,N,00825.4180,E,1,7,1.45,109.4,M,47.9,M,,*4E",,,,
2022-02-18T20:26:04+01:00,592,17.64,36.17,995.95,20.7,21.8,0,15.5,"$GNGGA,192559.000,4900.4547,N,00825.4501,E,1,6,1.51,124.6,M,47.9,M,,*49",,,,
2022-02-18T20:26:25+01:00,593,17.29,36.2,995.97,21.5,22.6,0,15.5,"$GNGGA,192620.000,4900.4472,N,00825.4923,E,1,7,1.46,149.2,M,47.9,M,,*47",,,,
2022-02-18T20:26:46+01:00,594,16.69,36.7,995.97,20.8,21.9,0,14.5,"$GNGGA,192641.000,4900.4456,N,00825.5083,E,1,6,1.52,157.7,M,47.9,M,,*4A",,,,
2022-02-18T20:27:07+01:00,595,16.19,38.31,995.98,20.6,21.7,0,14.5,"$GNGGA,192702.000,4900.4479,N,00825.5361,E,1,7,1.47,154.9,M,47.9,M,,*46",,,,
2022-02-18T20:27:27+01:00,596,15.6,39.06,996.03,20.7,21.8,0,14,"$GNGGA,192722.000,4900.4463,N,00825.5581,E,1,7,1.47,147.9,M,47.9,M,,*45",,,,
2022-02-18T20:27:50+01:00,597,15.01,40.3,996.08,21.4,22.5,0,13.5,"$GNGGA,192744.000,4900.4428,N,00825.5779,E,2,7,1.47,147.3,M,47.9,M,,*46",,,,
2022-02-18T20:28:14+01:00,598,14.53,41.03,996.12,20.9,22,0,13.5,"$GNGGA,192805.000,4900.4403,N,00825.5940,E,2,7,1.09,135.1,M,47.9,M,,*4C",,,,
2022-02-18T20:28:35+01:00,599,14.2,41.46,996.14,20.7,21.8,0,13.5,"$GNGGA,192830.000,4900.4370,N,00825.6121,E,2,8,1.02,130.0,M,47.9,M,,*45",,,,
2022-02-18T20:28:57+01:00,600,13.95,41.7,996.14,20,21.1,0,13,"$GNGGA,192852.000,4900.4259,N,00825.6173,E,2,6,1.41,128.8,M,47.9,M,,*44",,,,
2022-02-18T20:29:18+01:00,601,13.62,42.22,996.16,18.6,19.6,0,12.5,"$GNGGA,192913.000,4900.4169,N,00825.6127,E,2,7,1.11,129.6,M,47.9,M,,*4A",,,,
2022-02-18T20:29:39+01:00,602,13.2,43.39,996.14,17.2,18.1,0,12.5,"$GNGGA,192934.000,4900.4208,N,00825.5967,E,2,8,1.03,128.2,M,47.9,M,,*4D",,,,
2022-02-18T20:30:00+01:00,603,12.83,44.54,996.11,17.7,18.6,0,12,"$GNGGA,192955.000,4900.4240,N,00825.5766,E,2,8,1.03,124.2,M,47.9,M,,*45",,,,
2022-02-18T20:30:21+01:00,604,12.57,44.92,996.1,18.7,19.7,0,12,"$GNGGA,193016.000,4900.4270,N,00825.5556,E,2,8,1.03,126.0,M,47.9,M,,*48",,,,
2022-02-18T20:30:42+01:00,605,12.34,45.22,996.05,19.8,20.8,0,12,"$GNGGA,193037.000,4900.4309,N,00825.5364,E,2,8,1.03,126.2,M,47.9,M,,*41",,,,
2022-02-18T20:31:03+01:00,606,12.21,45.49,996.05,20.2,21.3,0,12,"$GNGGA,193058.000,4900.4336,N,00825.5174,E,2,8,1.07,130.5,M,47.9,M,,*43",,,,
2022-02-18T20:31:24+01:00,607,12.11,45.55,996.05,19.6,20.6,0,12,"$GNGGA,193119.000,4900.4376,N,00825.4967,E,2,8,1.03,130.6,M,47.9,M,,*4F",,,,
2022-02-18T20:31:45+01:00,608,12.05,45.57,996.07,18.7,19.7,0,12,"$GNGGA,193140.000,4900.4443,N,00825.4838,E,2,8,1.03,122.9,M,47.9,M,,*45",,,,
2022-02-18T20:32:06+01:00,609,11.94,45.52,996.07,17.8,18.7,0,12,"$GNGGA,193201.000,4900.4475,N,00825.4668,E,2,8,1.03,124.5,M,47.9,M,,*47",,,,
2022-02-18T20:32:27+01:00,610,11.92,45.75,996.07,18.2,19.2,0,12,"$GNGGA,193222.000,4900.4485,N,00825.4556,E,2,7,1.17,129.3,M,47.9,M,,*46",,,,
2022-02-18T20:32:48+01:00,611,11.9,45.64,996.09,18.2,19.2,0,12,"$GNGGA,193243.000,4900.4402,N,00825.4673,E,2,8,1.03,127.7,M,47.9,M,,*4A",,,,
2022-02-18T20:33:09+01:00,612,11.92,45.45,996.1,20.7,21.8,0,12,"$GNGGA,193304.000,4900.4418,N,00825.4644,E,2,10,0.83,126.4,M,47.9,M,,*75",,,,
2022-02-18T20:33:30+01:00,613,11.96,45.36,996.11,23,24.2,0,12,"$GNGGA,193325.000,4900.4430,N,00825.4626,E,2,10,0.83,125.8,M,47.9,M,,*77",,,,
2022-02-18T20:33:51+01:00,614,12.02,45.65,996.14,24.2,25.5,0,12,"$GNGGA,193346.000,4900.4453,N,00825.4610,E,2,10,0.83,125.3,M,47.9,M,,*79",,,,
2022-02-18T20:34:12+01:00,615,11.96,45.48,996.17,22.9,24.1,0,11.5,"$GNGGA,193407.000,4900.4314,N,00825.4542,E,2,10,0.83,124.3,M,47.9,M,,*7A",,,,
2022-02-18T20:34:33+01:00,616,11.9,45.81,996.19,21.8,22.9,0,11.5,"$GNGGA,193428.000,4900.4174,N,00825.4524,E,2,9,0.85,122.1,M,47.9,M,,*49",,,,
2022-02-18T20:34:54+01:00,617,11.83,45.95,996.22,21.6,22.7,0,11.5,"$GNGGA,193449.000,4900.4064,N,00825.4542,E,2,10,0.83,123.7,M,47.9,M,,*77",,,,
2022-02-18T20:35:15+01:00,618,11.71,46.3,996.25,21.4,22.5,0,11.5,"$GNGGA,193510.000,4900.3943,N,00825.4530,E,2,10,0.83,123.2,M,47.9,M,,*71",,,,
2022-02-18T20:35:36+01:00,619,11.59,46.7,996.28,21.2,22.3,0,11.5,"$GNGGA,193531.000,4900.3796,N,00825.4531,E,2,10,0.83,128.3,M,47.9,M,,*7F",,,,
2022-02-18T20:35:57+01:00,620,11.49,47.01,996.31,20.7,21.8,0,11.5,"$GNGGA,193552.000,4900.3660,N,00825.4507,E,2,10,0.83,130.1,M,47.9,M,,*7C",,,,
2022-02-18T20:36:18+01:00,621,11.41,47.32,996.35,21.7,22.8,0,11.5,"$GNGGA,193613.000,4900.3533,N,00825.4560,E,2,10,0.83,133.1,M,47.9,M,,*7D",,,,
2022-02-18T20:36:39+01:00,622,11.36,47.46,996.35,21.7,22.8,0,11,"$GNGGA,193634.000,4900.3414,N,00825.4660,E,2,10,0.83,137.0,M,47.9,M,,*7A",,,,
2022-02-18T20:37:00+01:00,623,11.34,47.73,996.35,22.8,24,0,11,"$GNGGA,193655.000,4900.3325,N,00825.4659,E,2,10,0.83,126.8,M,47.9,M,,*7A",,,,
2022-02-18T20:37:21+01:00,624,11.33,47.59,996.37,21.6,22.7,0,11,"$GNGGA,193716.000,4900.3199,N,00825.4660,E,2,10,0.83,120.2,M,47.9,M,,*7F",,,,
2022-02-18T20:37:42+01:00,625,11.29,47.47,996.39,21.2,22.3,0,11,"$GNGGA,193737.000,4900.3060,N,00825.4664,E,2,10,0.83,124.1,M,47.9,M,,*78",,,,
2022-02-18T20:38:03+01:00,626,11.23,47.82,996.38,20.9,22,0,11,"$GNGGA,193758.000,4900.2932,N,00825.4671,E,2,10,0.83,121.8,M,47.9,M,,*76",,,,
2022-02-18T20:38:24+01:00,627,11.22,48.07,996.35,21.8,22.9,0,11,"$GNGGA,193819.000,4900.2820,N,00825.4669,E,2,10,0.83,116.2,M,47.9,M,,*79",,,,
2022-02-18T20:38:45+01:00,628,11.25,48.15,996.36,22,23.2,0,11,"$GNGGA,193840.000,4900.2697,N,00825.4687,E,2,10,0.83,118.1,M,47.9,M,,*7A",,,,
2022-02-18T20:39:06+01:00,629,11.26,48.18,996.35,21.7,22.8,0,11,"$GNGGA,193901.000,4900.2558,N,00825.4704,E,2,10,0.83,119.6,M,47.9,M,,*72",,,,
2022-02-18T20:39:27+01:00,630,11.31,47.97,996.36,20.9,22,0,11,"$GNGGA,193922.000,4900.2415,N,00825.4670,E,2,10,0.83,122.1,M,47.9,M,,*76",,,,
2022-02-18T20:39:48+01:00,631,11.3,47.93,996.37,20.8,21.9,0,11,"$GNGGA,193943.000,4900.2293,N,00825.4657,E,2,9,0.90,122.3,M,47.9,M,,*44",,,,
2022-02-18T20:40:08+01:00,632,11.28,48.34,996.35,20.1,21.2,0,11,"$GNGGA,194003.000,4900.2185,N,00825.4641,E,2,11,0.79,124.9,M,47.9,M,,*7F",,,,
2022-02-18T20:40:29+01:00,633,11.31,47.97,996.38,20.1,21.2,0,11,"$GNGGA,194024.000,4900.2176,N,00825.4414,E,2,10,0.87,122.1,M,47.9,M,,*7A",,,,
2022-02-18T20:40:50+01:00,634,11.35,47.86,996.38,19.7,20.7,0,11,"$GNGGA,194045.000,4900.2108,N,00825.4284,E,2,11,0.79,122.0,M,47.9,M,,*7A",,,,
2022-02-18T20:41:11+01:00,635,11.34,47.98,996.39,19.6,20.6,0,11,"$GNGGA,194106.000,4900.2107,N,00825.4293,E,2,11,0.79,122.5,M,47.9,M,,*70",,,,
2022-02-18T20:41:32+01:00,636,11.38,48.69,996.39,19.9,20.9,0,11,"$GNGGA,194127.000,4900.2116,N,00825.4297,E,2,11,0.79,122.3,M,47.9,M,,*71",,,,
