created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-20T18:45:39+01:00,53,13.27,46.74,999.73,23.2,24.4,0,12,"$GNGGA,000023.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5F",,,,
2022-02-20T18:45:59+01:00,54,12.96,48.17,999.72,21.1,22.2,0,12,"$GNGGA,000043.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*59",,,,
2022-02-20T18:46:19+01:00,55,12.57,49.79,999.69,19.2,20.2,0,12,"$GNGGA,000103.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5C",,,,
2022-02-20T18:46:40+01:00,56,12.32,50.95,999.66,19.7,20.7,0,12,"$GNGGA,000124.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*59",,,,
2022-02-20T18:47:00+01:00,57,12.11,51.48,999.64,20.9,22,0,12,"$GNGGA,000144.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5F",,,,
2022-02-20T18:47:21+01:00,58,11.9,52.19,999.6,21.2,22.3,0,11.5,"$GNGGA,000204.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*58",,,,
2022-02-20T18:47:42+01:00,59,11.78,52.28,999.58,22.2,23.4,0,11.5,"$GNGGA,000226.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*58",,,,
2022-02-20T18:48:02+01:00,60,11.61,52.84,999.58,22.8,24,0,11.5,"$GNGGA,000246.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5E",,,,
2022-02-20T18:48:22+01:00,61,11.45,53.55,999.58,21.4,22.5,0,11,"$GNGGA,000306.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5B",,,,
2022-02-20T18:48:43+01:00,62,11.32,54.07,999.59,17.1,18,0,11.5,"$GNGGA,000327.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*58",,,,
2022-02-20T18:49:03+01:00,63,11.23,54.4,999.58,13,13.7,0,11.5,"$GNGGA,000347.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5E",,,,
2022-02-20T18:49:23+01:00,64,11.19,54.57,999.57,12.1,12.8,0,11.5,"$GNGGA,000407.264,4900.5897,N,00824.7465,E,0,0,,128.2,M,47.9,M,,*5D",,,,
