created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-21T20:25:48+01:00,1,21.65,32.75,998.81,28.90,30.40,0,19.50,"$GNGGA,000023.432,4900.5198,N,00825.4700,E,0,0,,102.1,M,47.9,M,,*55",,,,
2022-02-21T20:26:11+01:00,2,21.34,31.81,999.03,26.50,27.90,0,17.00,"$GNGGA,000043.432,4900.5198,N,00825.4700,E,0,0,,102.1,M,47.9,M,,*53",,,,
2022-02-21T20:26:34+01:00,3,21.09,31.80,999.20,24.40,25.70,0,15.00,"$GNGGA,192627.000,4900.5271,N,00825.4640,E,1,5,1.80,152.7,M,47.9,M,,*49",,,,
2022-02-21T20:26:55+01:00,4,20.43,31.88,999.36,23.60,24.80,0,13.50,"$GNGGA,192650.000,4900.5299,N,00825.4387,E,1,6,1.19,149.1,M,47.9,M,,*4E",,,,
2022-02-21T20:27:16+01:00,5,19.37,34.13,999.48,24.80,26.10,0,11.50,"$GNGGA,192711.000,4900.5027,N,00825.4206,E,1,7,1.13,136.6,M,47.9,M,,*41",,,,
2022-02-21T20:27:37+01:00,6,17.88,37.47,999.57,26.00,27.40,0,10.50,"$GNGGA,192732.000,4900.4885,N,00825.4196,E,1,7,1.13,138.4,M,47.9,M,,*47",,,,
2022-02-21T20:27:58+01:00,7,16.46,41.16,999.63,25.10,26.40,0,10.00,"$GNGGA,192753.000,4900.4797,N,00825.4270,E,1,7,1.13,139.4,M,47.9,M,,*46",,,,
2022-02-21T20:28:19+01:00,8,15.25,44.06,999.69,24.60,25.90,0,9.50,"$GNGGA,192814.000,4900.4671,N,00825.4261,E,1,7,1.13,141.1,M,47.9,M,,*49",,,,
2022-02-21T20:28:40+01:00,9,14.28,46.09,999.73,24.90,26.20,0,9.50,"$GNGGA,192835.000,4900.4517,N,00825.4256,E,1,8,1.05,152.7,M,47.9,M,,*41",,,,
2022-02-21T20:29:01+01:00,10,13.63,46.80,999.75,24.30,25.60,0,9.00,"$GNGGA,192856.000,4900.4450,N,00825.4470,E,1,8,1.05,157.3,M,47.9,M,,*45",,,,
2022-02-21T20:29:22+01:00,11,13.17,47.10,999.79,24.30,25.60,0,9.50,"$GNGGA,192917.000,4900.4463,N,00825.4543,E,1,7,1.65,155.6,M,47.9,M,,*4E",,,,
2022-02-21T20:29:43+01:00,12,12.84,46.62,999.82,23.80,25.00,0,9.00,"$GNGGA,192938.000,4900.4464,N,00825.4469,E,1,8,1.02,151.9,M,47.9,M,,*48",,,,
2022-02-21T20:30:04+01:00,13,12.51,46.82,999.84,24.70,26.00,0,8.50,"$GNGGA,192959.000,4900.4470,N,00825.4451,E,2,8,1.02,145.7,M,47.9,M,,*49",,,,
2022-02-21T20:30:25+01:00,14,12.22,47.12,999.86,24.90,26.20,0,9.00,"$GNGGA,193020.000,4900.4495,N,00825.4446,E,2,9,0.99,134.6,M,47.9,M,,*47",,,,
2022-02-21T20:30:46+01:00,15,11.87,47.86,999.87,25.20,26.50,0,8.50,"$GNGGA,193041.000,4900.4437,N,00825.4499,E,2,9,0.99,129.7,M,47.9,M,,*47",,,,
2022-02-21T20:31:07+01:00,16,11.51,48.83,999.91,25.30,26.60,0,8.50,"$GNGGA,193102.000,4900.4384,N,00825.4601,E,2,10,0.91,122.2,M,47.9,M,,*73",,,,
2022-02-21T20:31:28+01:00,17,11.24,49.59,999.90,25.80,27.10,0,9.00,"$GNGGA,193123.000,4900.4237,N,00825.4519,E,2,10,0.92,117.7,M,47.9,M,,*73",,,,
2022-02-21T20:31:49+01:00,18,11.04,49.94,999.91,24.50,25.80,0,8.50,"$GNGGA,193144.000,4900.4081,N,00825.4526,E,2,9,0.99,121.3,M,47.9,M,,*43",,,,
2022-02-21T20:32:10+01:00,19,10.92,50.04,999.93,23.40,24.60,0,9.00,"$GNGGA,193205.000,4900.3932,N,00825.4485,E,2,9,0.99,124.7,M,47.9,M,,*4A",,,,
2022-02-21T20:32:31+01:00,20,10.88,50.22,999.95,24.10,25.40,0,9.00,"$GNGGA,193226.000,4900.3789,N,00825.4484,E,2,9,1.00,137.1,M,47.9,M,,*41",,,,
2022-02-21T20:32:52+01:00,21,10.81,50.24,999.95,24.60,25.90,0,9.00,"$GNGGA,193247.000,4900.3654,N,00825.4498,E,2,9,1.00,140.8,M,47.9,M,,*43",,,,
2022-02-21T20:33:13+01:00,22,10.61,50.21,999.96,24.80,26.10,0,9.00,"$GNGGA,193308.000,4900.3531,N,00825.4501,E,2,10,0.91,143.8,M,47.9,M,,*7A",,,,
2022-02-21T20:33:34+01:00,23,10.40,51.04,999.98,24.00,25.30,0,9.00,"$GNGGA,193329.000,4900.3413,N,00825.4567,E,2,9,1.00,147.7,M,47.9,M,,*42",,,,
2022-02-21T20:33:55+01:00,24,10.17,51.92,999.98,25.80,27.10,0,8.50,"$GNGGA,193350.000,4900.3318,N,00825.4608,E,2,9,1.00,132.9,M,47.9,M,,*46",,,,
2022-02-21T20:34:16+01:00,25,9.97,52.60,1000.00,25.80,27.10,0,8.50,"$GNGGA,193411.000,4900.3189,N,00825.4625,E,2,9,1.00,128.0,M,47.9,M,,*43",,,,
2022-02-21T20:34:37+01:00,26,9.77,53.13,1000.00,25.10,26.40,0,8.50,"$GNGGA,193432.000,4900.3067,N,00825.4628,E,2,10,0.92,122.0,M,47.9,M,,*76",,,,
2022-02-21T20:34:58+01:00,27,9.55,53.74,1000.00,23.30,24.50,0,8.50,"$GNGGA,193453.000,4900.2926,N,00825.4645,E,2,9,1.00,120.6,M,47.9,M,,*41",,,,
2022-02-21T20:35:19+01:00,28,9.36,54.38,999.99,22.90,24.10,0,8.00,"$GNGGA,193514.000,4900.2801,N,00825.4653,E,2,10,0.92,118.1,M,47.9,M,,*7E",,,,
2022-02-21T20:35:40+01:00,29,9.26,54.78,999.98,23.30,24.50,0,8.00,"$GNGGA,193535.000,4900.2673,N,00825.4649,E,2,10,0.92,113.8,M,47.9,M,,*7F",,,,
2022-02-21T20:36:01+01:00,30,9.24,54.83,999.99,23.20,24.40,0,8.50,"$GNGGA,193556.000,4900.2561,N,00825.4649,E,2,9,1.00,110.9,M,47.9,M,,*4A",,,,
2022-02-21T20:36:22+01:00,31,9.24,54.54,1000.01,22.20,23.40,0,8.50,"$GNGGA,193617.000,4900.2428,N,00825.4660,E,2,10,0.92,108.9,M,47.9,M,,*70",,,,
2022-02-21T20:36:43+01:00,32,9.23,54.24,1000.02,21.80,22.90,0,8.00,"$GNGGA,193638.000,4900.2275,N,00825.4649,E,2,10,0.92,110.7,M,47.9,M,,*7F",,,,
2022-02-21T20:37:04+01:00,33,9.15,54.56,1000.03,22.00,23.20,0,8.00,"$GNGGA,193659.000,4900.2191,N,00825.4601,E,2,10,0.92,113.7,M,47.9,M,,*7E",,,,
2022-02-21T20:37:25+01:00,34,9.03,55.14,1000.05,22.90,24.10,0,8.00,"$GNGGA,193720.000,4900.2158,N,00825.4407,E,2,10,0.92,112.6,M,47.9,M,,*70",,,,
2022-02-21T20:37:46+01:00,35,8.91,55.66,1000.05,22.40,23.60,0,7.50,"$GNGGA,193741.000,4900.2176,N,00825.4236,E,2,11,0.81,110.8,M,47.9,M,,*70",,,,
2022-02-21T20:38:07+01:00,36,8.76,56.28,1000.06,23.60,24.80,0,7.50,"$GNGGA,193802.000,4900.2229,N,00825.4049,E,2,11,0.81,108.9,M,47.9,M,,*73",,,,
2022-02-21T20:38:28+01:00,37,8.62,56.77,1000.06,23.90,25.10,0,7.50,"$GNGGA,193823.000,4900.2267,N,00825.3857,E,2,10,1.00,108.2,M,47.9,M,,*78",,,,
2022-02-21T20:38:49+01:00,38,8.44,57.46,1000.06,23.80,25.00,0,7.50,"$GNGGA,193844.000,4900.2306,N,00825.3660,E,2,10,1.00,107.3,M,47.9,M,,*7B",,,,
2022-02-21T20:39:10+01:00,39,8.27,58.18,1000.09,24.00,25.30,0,7.50,"$GNGGA,193905.000,4900.2334,N,00825.3450,E,2,11,0.93,107.9,M,47.9,M,,*7F",,,,
2022-02-21T20:39:31+01:00,40,8.11,58.73,1000.09,23.60,24.80,0,7.50,"$GNGGA,193926.000,4900.2371,N,00825.3252,E,2,11,0.93,112.1,M,47.9,M,,*77",,,,
2022-02-21T20:39:52+01:00,41,7.98,59.23,1000.10,22.90,24.10,0,7.50,"$GNGGA,193947.000,4900.2417,N,00825.3020,E,2,11,0.93,123.1,M,47.9,M,,*72",,,,
2022-02-21T20:40:13+01:00,42,7.88,59.56,1000.12,22.80,24.00,0,7.50,"$GNGGA,194008.000,4900.2458,N,00825.2840,E,2,12,0.76,119.3,M,47.9,M,,*70",,,,
2022-02-21T20:40:34+01:00,43,7.82,59.64,1000.11,23.30,24.50,0,8.00,"$GNGGA,194029.000,4900.2510,N,00825.2601,E,2,12,0.76,122.4,M,47.9,M,,*7A",,,,
2022-02-21T20:40:55+01:00,44,7.78,59.66,1000.14,22.90,24.10,0,8.00,"$GNGGA,194050.000,4900.2492,N,00825.2326,E,2,12,0.76,140.3,M,47.9,M,,*7C",,,,
2022-02-21T20:41:16+01:00,45,7.77,59.85,1000.15,21.90,23.00,0,8.00,"$GNGGA,194111.000,4900.2533,N,00825.2123,E,2,12,0.76,147.9,M,47.9,M,,*78",,,,
2022-02-21T20:41:37+01:00,46,7.76,59.53,1000.16,21.50,22.60,0,8.00,"$GNGGA,194132.000,4900.2603,N,00825.2060,E,2,12,0.76,136.7,M,47.9,M,,*77",,,,
2022-02-21T20:41:58+01:00,47,7.73,59.28,1000.18,20.80,21.90,0,8.00,"$GNGGA,194153.000,4900.2642,N,00825.1768,E,2,12,0.76,151.7,M,47.9,M,,*78",,,,
2022-02-21T20:42:19+01:00,48,7.72,59.26,1000.18,20.90,22.00,0,8.00,"$GNGGA,194214.000,4900.2620,N,00825.1550,E,2,12,0.76,165.0,M,47.9,M,,*75",,,,
2022-02-21T20:42:40+01:00,49,7.76,59.10,1000.17,20.60,21.70,0,8.00,"$GNGGA,194235.000,4900.2653,N,00825.1373,E,2,12,0.76,172.6,M,47.9,M,,*75",,,,
2022-02-21T20:43:01+01:00,50,7.79,58.96,1000.17,20.20,21.30,0,8.00,"$GNGGA,194256.000,4900.2707,N,00825.1201,E,2,11,0.93,175.7,M,47.9,M,,*7A",,,,
2022-02-21T20:43:22+01:00,51,7.81,58.95,1000.18,19.80,20.80,0,7.50,"$GNGGA,194317.000,4900.2775,N,00825.1081,E,2,12,0.79,161.4,M,47.9,M,,*70",,,,
2022-02-21T20:43:43+01:00,52,7.79,59.18,1000.22,20.80,21.90,0,7.50,"$GNGGA,194338.000,4900.2878,N,00825.1012,E,2,12,0.76,136.5,M,47.9,M,,*79",,,,
2022-02-21T20:44:04+01:00,53,7.76,59.77,1000.26,21.00,22.10,0,7.50,"$GNGGA,194359.000,4900.2920,N,00825.0804,E,2,12,0.76,120.9,M,47.9,M,,*77",,,,
2022-02-21T20:44:25+01:00,54,7.77,59.96,1000.28,20.10,21.20,0,7.50,"$GNGGA,194420.000,4900.2978,N,00825.0633,E,2,12,0.76,121.1,M,47.9,M,,*70",,,,
2022-02-21T20:44:46+01:00,55,7.79,59.81,1000.29,19.00,20.00,0,7.50,"$GNGGA,194441.000,4900.3006,N,00825.0469,E,2,11,0.81,125.6,M,47.9,M,,*73",,,,
2022-02-21T20:45:07+01:00,56,7.80,59.69,1000.31,18.20,19.20,0,7.50,"$GNGGA,194502.000,4900.3079,N,00825.0324,E,2,12,0.76,121.6,M,47.9,M,,*7C",,,,
