created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-02-26T19:14:41+01:00,296,22.23,21.81,1019.99,29.7,31.2,0,-127,"$GNGGA,000023.679,4900.5227,N,00825.3678,E,0,0,,122.1,M,47.9,M,,*54",,,,
2022-02-26T19:15:02+01:00,297,22.02,19.89,1020.01,26.6,28,0,-127,"$GNGGA,181457.101,4900.5227,N,00825.3678,E,0,0,,122.1,M,47.9,M,,*53",,,,
2022-02-26T19:15:23+01:00,298,21.75,18.95,1020.02,23.7,24.9,0,-127,"$GNGGA,181518.086,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59",,,,
2022-02-26T19:15:43+01:00,299,21.46,18.77,1020.01,24,25.3,0,-127,"$GNGGA,181539.091,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C",,,,
2022-02-26T19:16:04+01:00,300,21.17,18.83,1020.02,25.2,26.5,0,-127,"$GNGGA,181559.302,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2022-02-26T19:16:24+01:00,301,20.85,19.1,1020.04,26.8,28.2,0,-127,"$GNGGA,181619.000,4900.4624,N,00825.4625,E,1,4,2.71,154.2,M,47.9,M,,*4F",,,,
2022-02-26T19:16:44+01:00,302,20.42,19.26,1020.04,27.4,28.8,0,-127,"$GNGGA,181639.000,4900.4550,N,00825.4654,E,1,4,2.71,162.8,M,47.9,M,,*44",,,,
2022-02-26T19:17:05+01:00,303,20.06,19.83,1020.02,28.4,29.9,0,-127,"$GNGGA,181700.000,4900.4601,N,00825.4714,E,1,4,2.16,141.9,M,47.9,M,,*4C",,,,
2022-02-26T19:17:25+01:00,304,19.83,19.86,1020,29.9,31.4,0,-127,"$GNGGA,181720.000,4900.4644,N,00825.4737,E,1,5,2.00,142.2,M,47.9,M,,*40",,,,
2022-02-26T19:17:45+01:00,305,19.68,19.84,1019.99,30.6,32.2,0,-127,"$GNGGA,181740.000,4900.4628,N,00825.4677,E,1,8,1.09,165.4,M,47.9,M,,*4D",,,,
2022-02-26T19:18:06+01:00,306,19.56,20.29,1019.95,31.4,33,0,-127,"$GNGGA,181801.000,4900.4617,N,00825.4673,E,0,0,,165.0,M,47.9,M,,*54",,,,
2022-02-26T19:18:26+01:00,307,19.54,21.89,1019.97,30.6,32.2,0,-127,"$GNGGA,181821.000,4900.4615,N,00825.4276,E,1,8,1.09,144.4,M,47.9,M,,*4D",,,,
2022-02-26T19:19:17+01:00,308,19.59,21.92,1020.13,31.5,33.1,0,-127,"$GNGGA,181842.000,4900.4945,N,00825.2683,E,1,8,1.09,129.1,M,47.9,M,,*44",,,,
2022-02-26T19:19:39+01:00,309,19.88,22.26,1020.47,31.3,32.9,0,-127,"$GNGGA,181933.965,4900.5178,N,00825.1068,E,0,0,,122.2,M,47.9,M,,*59",,,,
2022-02-26T19:23:30+01:00,310,19.6,19.47,1019.98,32.5,34.2,0,-127,"$GNGGA,182325.000,4900.5792,N,00824.6730,E,1,5,1.91,138.4,M,47.9,M,,*4D",,,,
2022-02-26T19:23:58+01:00,311,19.12,20.49,1019.98,52.2,54.9,0,-127,"$GNGGA,182353.343,4900.5825,N,00824.8170,E,0,3,,136.7,M,47.9,M,,*5A",,,,
2022-02-26T19:24:20+01:00,312,18.94,20.75,1019.97,45.9,48.2,0,-127,"$GNGGA,182415.010,4900.5937,N,00824.7009,E,1,6,1.36,136.5,M,47.9,M,,*44",,,,
2022-02-26T23:18:31+01:00,313,22.48,19.96,1019.46,36.2,38.1,0,-127,"$GNGGA,221826.112,4900.5765,N,00824.6596,E,0,0,,151.5,M,47.9,M,,*56",,,,
2022-02-26T23:18:52+01:00,314,21.78,20.15,1019.47,33.3,35,0,-127,"$GNGGA,221847.000,4900.5943,N,00824.7393,E,1,7,1.31,148.6,M,47.9,M,,*4B",,,,
2022-02-26T23:19:12+01:00,315,21.24,20.75,1019.45,30.8,32.4,0,-127,"$GNGGA,221907.000,4900.5859,N,00824.7564,E,1,7,1.31,150.8,M,47.9,M,,*4D",,,,
2022-02-26T23:19:32+01:00,316,20.73,20.97,1019.45,27.9,29.3,0,-127,"$GNGGA,221927.000,4900.5813,N,00824.7738,E,1,7,1.31,152.0,M,47.9,M,,*40",,,,
2022-02-26T23:19:53+01:00,317,20.19,21.32,1019.47,27.3,28.7,0,-127,"$GNGGA,221948.000,4900.5799,N,00824.7933,E,1,7,1.32,147.7,M,47.9,M,,*41",,,,
2022-02-26T23:20:13+01:00,318,19.47,21.8,1019.48,27.4,28.8,0,-127,"$GNGGA,222008.000,4900.5819,N,00824.8176,E,1,7,1.32,148.9,M,47.9,M,,*4F",,,,
