created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-02T17:43:38+01:00,1,34.16,9.94,1008.56,40.50,42.60,0,-127.00,"$GNGGA,164331.093,4900.5295,N,00825.3991,E,0,3,,116.6,M,47.9,M,,*57",,,,
2022-03-02T17:43:59+01:00,2,33.06,10.35,1008.55,38.80,40.80,0,-127.00,"$GNGGA,164354.000,4900.5377,N,00825.4108,E,1,4,2.85,110.8,M,47.9,M,,*43",,,,
2022-03-02T17:44:19+01:00,3,31.66,11.24,1008.54,38.60,40.60,0,-127.00,"$GNGGA,164414.000,4900.5587,N,00825.4023,E,1,4,2.85,111.1,M,47.9,M,,*49",,,,
2022-03-02T17:44:40+01:00,4,30.63,12.06,1008.54,36.90,38.80,0,-127.00,"$GNGGA,164435.000,4900.5521,N,00825.3953,E,0,0,,113.8,M,47.9,M,,*50",,,,
2022-03-02T17:45:01+01:00,5,30.09,12.77,1008.51,37.80,39.70,0,-127.00,"$GNGGA,164456.000,4900.5892,N,00825.3676,E,0,2,,117.8,M,47.9,M,,*5E",,,,
2022-03-02T17:45:22+01:00,6,29.88,14.18,1008.49,36.50,38.40,0,-127.00,"$GNGGA,164517.000,4900.5919,N,00825.3704,E,0,0,,117.3,M,47.9,M,,*55",,,,
2022-03-02T17:45:41+01:00,7,29.83,14.90,1008.48,35.10,36.90,0,-127.00,"$GNGGA,164537.000,4900.5659,N,00825.3984,E,0,0,,114.6,M,47.9,M,,*5C",,,,
2022-03-02T17:54:58+01:00,8,25.89,14.59,1008.55,37.60,39.50,0,-127.00,"$GNGGA,165453.000,4900.5715,N,00825.4537,E,1,4,2.78,173.9,M,47.9,M,,*4C",,,,
2022-03-02T17:55:18+01:00,9,25.52,14.69,1008.57,36.40,38.30,0,-127.00,"$GNGGA,165513.000,4900.5601,N,00825.4425,E,1,4,2.78,158.5,M,47.9,M,,*4A",,,,
2022-03-02T17:55:38+01:00,10,25.20,14.75,1008.58,36.40,38.30,0,-127.00,"$GNGGA,165533.000,4900.5436,N,00825.4161,E,1,5,1.75,136.6,M,47.9,M,,*4F",,,,
2022-03-02T17:55:59+01:00,11,24.92,14.80,1008.58,37.10,39.00,0,-127.00,"$GNGGA,165554.000,4900.5321,N,00825.4144,E,1,5,1.75,126.2,M,47.9,M,,*4D",,,,
2022-03-02T17:56:19+01:00,12,24.73,14.83,1008.58,37.70,39.60,0,-127.00,"$GNGGA,165614.000,4900.5175,N,00825.4133,E,1,5,1.75,131.4,M,47.9,M,,*49",,,,
2022-03-02T17:56:40+01:00,13,24.44,14.82,1008.59,38.00,40.00,0,-127.00,"$GNGGA,165635.000,4900.4984,N,00825.4158,E,1,5,1.75,138.7,M,47.9,M,,*4A",,,,
2022-03-02T17:57:01+01:00,14,24.13,15.13,1008.59,37.70,39.60,0,-127.00,"$GNGGA,165656.000,4900.4523,N,00825.4102,E,1,5,1.75,138.7,M,47.9,M,,*41",,,,
2022-03-02T17:57:22+01:00,15,23.76,15.46,1008.58,38.60,40.60,0,-127.00,"$GNGGA,165717.000,4900.4407,N,00825.4618,E,1,5,1.75,156.3,M,47.9,M,,*42",,,,
2022-03-02T17:57:42+01:00,16,23.20,16.01,1008.57,39.60,41.60,0,-127.00,"$GNGGA,165737.000,4900.4427,N,00825.4886,E,1,5,1.75,159.8,M,47.9,M,,*4F",,,,
2022-03-02T17:58:03+01:00,17,22.59,16.86,1008.56,41.50,43.60,0,-127.00,"$GNGGA,165758.000,4900.4401,N,00825.5115,E,1,5,1.75,156.8,M,47.9,M,,*4F",,,,
2022-03-02T17:58:23+01:00,18,22.23,17.20,1008.55,42.10,44.30,0,-127.00,"$GNGGA,165818.000,4900.4399,N,00825.5250,E,1,5,1.76,155.6,M,47.9,M,,*4E",,,,
2022-03-02T17:58:43+01:00,19,22.14,17.13,1008.54,42.10,44.30,0,-127.00,"$GNGGA,165838.000,4900.4402,N,00825.5239,E,1,6,1.33,154.9,M,47.9,M,,*4A",,,,
2022-03-02T17:59:04+01:00,20,22.19,16.96,1008.54,42.90,45.10,0,-127.00,"$GNGGA,165859.000,4900.4496,N,00825.5067,E,1,7,1.26,137.2,M,47.9,M,,*42",,,,
2022-03-02T17:59:24+01:00,21,22.27,16.57,1008.53,41.80,43.90,0,-127.00,"$GNGGA,165919.000,4900.4470,N,00825.5094,E,1,7,1.26,136.9,M,47.9,M,,*49",,,,
