created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-03T18:42:34+01:00,99,22.76,22.39,1003.73,49,51.5,0,-127,"$GNGGA,174229.093,4900.4679,N,00825.4587,E,0,0,,143.4,M,47.9,M,,*54",,,,
2022-03-03T18:42:54+01:00,100,22.51,21.33,1003.76,48.4,50.9,0,-127,"$GNGGA,174249.291,4900.4679,N,00825.4587,E,0,0,,143.4,M,47.9,M,,*52",,,,
2022-03-03T18:43:15+01:00,101,22.35,21.1,1003.77,49,51.5,0,-127,"$GNGGA,174310.000,4900.5170,N,00825.4168,E,1,4,1.77,149.2,M,47.9,M,,*49",,,,
2022-03-03T18:43:36+01:00,102,22.14,20.11,1003.81,47.8,50.2,0,-127,"$GNGGA,174331.000,4900.5239,N,00825.4140,E,1,4,2.57,152.0,M,47.9,M,,*47",,,,
2022-03-03T18:43:56+01:00,103,21.78,20,1003.84,46.9,49.3,0,-127,"$GNGGA,174351.000,4900.5390,N,00825.4138,E,1,6,1.44,165.8,M,47.9,M,,*43",,,,
2022-03-03T18:44:16+01:00,104,21.29,20.37,1003.85,46.9,49.3,0,-127,"$GNGGA,174411.000,4900.5514,N,00825.4109,E,1,6,1.44,169.8,M,47.9,M,,*44",,,,
2022-03-03T18:44:37+01:00,105,20.74,21.03,1003.86,47.5,49.9,0,-127,"$GNGGA,174432.000,4900.5691,N,00825.4177,E,1,6,1.49,163.4,M,47.9,M,,*49",,,,
2022-03-03T18:44:57+01:00,106,20.24,21.55,1003.86,50.6,53.2,0,-127,"$GNGGA,174452.000,4900.5795,N,00825.4099,E,1,6,1.43,155.0,M,47.9,M,,*40",,,,
2022-03-03T18:45:17+01:00,107,19.73,22.07,1003.87,55.4,58.2,0,-127,"$GNGGA,174512.000,4900.5888,N,00825.4022,E,1,6,1.48,158.8,M,47.9,M,,*48",,,,
2022-03-03T18:45:40+01:00,108,19.25,22.6,1003.87,57.5,60.4,0,-127,"$GNGGA,174535.000,4900.6067,N,00825.4067,E,1,6,1.42,157.6,M,47.9,M,,*4D",,,,
2022-03-03T18:46:00+01:00,109,18.84,22.96,1003.87,55.3,58.1,0,-127,"$GNGGA,174555.000,4900.6152,N,00825.3975,E,1,6,1.42,160.0,M,47.9,M,,*43",,,,
2022-03-03T18:46:20+01:00,110,18.44,23.27,1003.86,52.1,54.8,0,-127,"$GNGGA,174615.000,4900.6322,N,00825.3978,E,1,6,1.42,160.6,M,47.9,M,,*4A",,,,
2022-03-03T18:46:41+01:00,111,18.06,23.63,1003.87,48.1,50.6,0,-127,"$GNGGA,174636.000,4900.6474,N,00825.3995,E,1,6,1.47,156.4,M,47.9,M,,*4E",,,,
