created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-04T18:12:07+01:00,1,22,18.63,1006.37,40.4,42.5,0,-127,"$GNGGA,171202.302,4857.8265,N,00822.8391,E,0,2,,444.5,M,47.9,M,,*5E",,,,
2022-03-04T18:12:27+01:00,2,21.84,18.22,1006.38,37.7,39.6,0,-127,"$GNGGA,171222.302,4859.1475,N,00824.0577,E,0,2,,112.4,M,47.9,M,,*5B",,,,
2022-03-04T18:12:48+01:00,3,21.79,19.31,1006.4,36.7,38.6,0,-127,"$GNGGA,171243.000,4900.5237,N,00825.4693,E,1,7,1.18,146.2,M,47.9,M,,*4D",,,,
2022-03-04T18:13:08+01:00,4,21.81,18.57,1006.4,36.1,38,0,-127,"$GNGGA,171303.000,4900.5241,N,00825.4657,E,1,8,1.15,136.7,M,47.9,M,,*41",,,,
2022-03-04T18:13:28+01:00,5,21.86,18.57,1006.42,35.8,37.6,0,-127,"$GNGGA,171323.000,4900.5252,N,00825.4613,E,1,7,1.18,124.3,M,47.9,M,,*44",,,,
2022-03-04T18:13:49+01:00,6,21.91,17.95,1006.42,35.2,37,0,-127,"$GNGGA,171344.000,4900.5261,N,00825.4491,E,1,8,1.14,121.5,M,47.9,M,,*4D",,,,
2022-03-04T18:14:09+01:00,7,21.83,16.55,1006.42,32.4,34.1,0,-127,"$GNGGA,171404.000,4900.5357,N,00825.4230,E,1,6,1.78,117.4,M,47.9,M,,*47",,,,
2022-03-04T18:14:29+01:00,8,21.27,15.93,1006.41,32.5,34.2,0,-127,"$GNGGA,171424.000,4900.5757,N,00825.4172,E,1,7,1.23,108.9,M,47.9,M,,*48",,,,
2022-03-04T18:14:50+01:00,9,20.61,16.47,1006.45,32.2,33.9,0,-127,"$GNGGA,171445.000,4900.5682,N,00825.4882,E,1,8,1.15,109.6,M,47.9,M,,*44",,,,
2022-03-04T18:15:10+01:00,10,19.92,17.02,1006.48,33.7,35.4,0,-127,"$GNGGA,171505.000,4900.5493,N,00825.5774,E,1,7,1.23,110.4,M,47.9,M,,*44",,,,
2022-03-04T18:15:34+01:00,11,19.17,17.74,1006.5,35,36.8,0,-127,"$GNGGA,171526.000,4900.5308,N,00825.6758,E,1,8,1.14,114.7,M,47.9,M,,*41",,,,
2022-03-04T18:34:45+01:00,12,10.23,27.81,1006.52,38.3,40.3,0,-127,"$GNGGA,173440.000,4900.5369,N,00825.7044,E,1,6,1.50,124.0,M,47.9,M,,*44",,,,
2022-03-04T18:35:28+01:00,13,9.98,28.22,1006.54,38.2,40.2,0,-127,"$GNGGA,173520.000,4900.4372,N,00825.6213,E,1,5,1.95,130.2,M,47.9,M,,*44",,,,
2022-03-04T18:35:50+01:00,14,9.9,28.39,1006.55,36.2,38.1,0,-127,"$GNGGA,173545.000,4900.4191,N,00825.6124,E,1,6,1.49,127.5,M,47.9,M,,*4C",,,,
2022-03-04T18:36:11+01:00,15,9.75,28.37,1006.58,33.2,34.9,0,-127,"$GNGGA,173606.000,4900.4351,N,00825.5352,E,1,6,1.49,123.7,M,47.9,M,,*40",,,,
2022-03-04T18:36:35+01:00,16,9.61,28.36,1006.59,33,34.7,0,-127,"$GNGGA,173627.000,4900.4397,N,00825.4620,E,1,6,1.49,121.0,M,47.9,M,,*4D",,,,
2022-03-04T18:36:56+01:00,17,9.7,28.73,1006.59,38,40,0,-127,"$GNGGA,173651.000,4900.4208,N,00825.4467,E,1,6,1.49,121.7,M,47.9,M,,*4D",,,,
2022-03-04T18:37:16+01:00,18,9.92,28.39,1006.6,34,35.8,0,-127,"$GNGGA,173711.000,4900.4258,N,00825.4499,E,1,6,1.49,125.3,M,47.9,M,,*4C",,,,
2022-03-04T18:37:36+01:00,19,10.19,27.73,1006.62,38,40,0,-127,"$GNGGA,173731.000,4900.4353,N,00825.4612,E,1,7,1.38,121.6,M,47.9,M,,*43",,,,
2022-03-04T18:37:57+01:00,20,10.46,27.03,1006.62,36.6,38.5,0,-127,"$GNGGA,173752.000,4900.4367,N,00825.4553,E,1,8,1.13,132.0,M,47.9,M,,*45",,,,
