created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-04T20:24:52+01:00,50,21.31,18.65,1007.21,42,44.2,0,-127,"$GNGGA,192447.000,4900.4898,N,00825.4347,E,1,6,1.26,131.1,M,47.9,M,,*4F",,,,
2022-03-04T20:25:13+01:00,51,21.1,18.55,1007.22,39.8,41.8,0,-127,"$GNGGA,192508.000,4900.4868,N,00825.4301,E,1,5,1.99,133.4,M,47.9,M,,*48",,,,
2022-03-04T20:25:33+01:00,52,20.97,18.88,1007.23,38.6,40.6,0,-127,"$GNGGA,192528.000,4900.4868,N,00825.4265,E,1,7,1.19,135.4,M,47.9,M,,*45",,,,
2022-03-04T20:25:54+01:00,53,20.91,19.05,1007.24,36,37.9,0,-127,"$GNGGA,192549.000,4900.4843,N,00825.4282,E,1,7,1.19,139.9,M,47.9,M,,*43",,,,
2022-03-04T20:26:14+01:00,54,20.77,17.88,1007.23,36.6,38.5,0,-127,"$GNGGA,192609.000,4900.4854,N,00825.4295,E,1,6,1.37,141.5,M,47.9,M,,*4A",,,,
2022-03-04T20:26:34+01:00,55,20.67,17.47,1007.24,37,38.9,0,-127,"$GNGGA,192629.000,4900.4789,N,00825.4296,E,1,8,1.09,142.0,M,47.9,M,,*41",,,,
2022-03-04T20:26:55+01:00,56,20.54,17.28,1007.24,36.1,38,0,-127,"$GNGGA,192650.000,4900.4674,N,00825.4269,E,1,8,1.09,144.8,M,47.9,M,,*42",,,,
2022-03-04T20:27:16+01:00,57,20.38,17.22,1007.25,35.4,37.2,0,-127,"$GNGGA,192711.000,4900.4546,N,00825.4241,E,1,8,1.09,151.6,M,47.9,M,,*44",,,,
2022-03-04T20:27:36+01:00,58,20.24,17.48,1007.24,34.8,36.6,0,-127,"$GNGGA,192731.000,4900.4534,N,00825.4399,E,1,8,1.09,155.4,M,47.9,M,,*41",,,,
2022-03-04T20:27:57+01:00,59,20.21,17.77,1007.25,34.8,36.6,0,-127,"$GNGGA,192752.000,4900.4524,N,00825.4384,E,1,8,1.11,156.1,M,47.9,M,,*46",,,,
2022-03-04T20:28:17+01:00,60,20.17,17.5,1007.25,34.7,36.5,0,-127,"$GNGGA,192812.000,4900.4497,N,00825.4416,E,1,8,1.09,153.2,M,47.9,M,,*47",,,,
2022-03-04T20:28:38+01:00,61,20.13,17.55,1007.25,34.1,35.9,0,-127,"$GNGGA,192833.000,4900.4458,N,00825.4421,E,1,8,1.09,149.9,M,47.9,M,,*43",,,,
2022-03-04T20:28:59+01:00,62,19.8,17.37,1007.25,34.2,36,0,-127,"$GNGGA,192854.000,4900.4404,N,00825.4555,E,2,8,1.09,136.6,M,47.9,M,,*4D",,,,
2022-03-04T20:29:19+01:00,63,19.62,17.84,1007.25,33.4,35.1,0,-127,"$GNGGA,192914.000,4900.4321,N,00825.4589,E,2,8,1.09,132.7,M,47.9,M,,*4C",,,,
2022-03-04T20:29:39+01:00,64,19.51,18.02,1007.25,32.9,34.6,0,-127,"$GNGGA,192934.000,4900.4183,N,00825.4518,E,2,8,1.09,129.0,M,47.9,M,,*41",,,,
2022-03-04T20:30:00+01:00,65,19.36,17.94,1007.26,33,34.7,0,-127,"$GNGGA,192955.000,4900.4055,N,00825.4541,E,2,8,1.09,122.7,M,47.9,M,,*4C",,,,
2022-03-04T20:30:20+01:00,66,19.23,18.05,1007.27,34.5,36.3,0,-127,"$GNGGA,193015.000,4900.3929,N,00825.4585,E,2,8,1.09,118.7,M,47.9,M,,*44",,,,
2022-03-04T20:30:41+01:00,67,19.07,18.02,1007.27,35.2,37,0,-127,"$GNGGA,193036.000,4900.3803,N,00825.4568,E,2,7,1.29,119.6,M,47.9,M,,*42",,,,
2022-03-04T20:31:02+01:00,68,18.93,18.23,1007.28,35.4,37.2,0,-127,"$GNGGA,193057.000,4900.3647,N,00825.4536,E,2,6,1.36,128.8,M,47.9,M,,*43",,,,
2022-03-04T20:31:22+01:00,69,18.81,18.27,1007.28,35.1,36.9,0,-127,"$GNGGA,193117.000,4900.3521,N,00825.4550,E,2,7,1.29,132.1,M,47.9,M,,*48",,,,
2022-03-04T20:31:43+01:00,70,18.73,18.37,1007.28,36.3,38.2,0,-127,"$GNGGA,193138.000,4900.3409,N,00825.4617,E,2,6,1.36,127.7,M,47.9,M,,*43",,,,
2022-03-04T20:32:04+01:00,71,18.58,18.4,1007.29,36.6,38.5,0,-127,"$GNGGA,193159.000,4900.3329,N,00825.4652,E,2,6,1.36,111.5,M,47.9,M,,*47",,,,
2022-03-04T20:32:24+01:00,72,18.29,18.52,1007.29,36.9,38.8,0,-127,"$GNGGA,193219.000,4900.3201,N,00825.4649,E,2,6,1.36,107.0,M,47.9,M,,*43",,,,
2022-03-04T20:32:45+01:00,73,17.99,18.95,1007.27,35.4,37.2,0,-127,"$GNGGA,193240.000,4900.3068,N,00825.4666,E,2,6,1.36,105.4,M,47.9,M,,*49",,,,
2022-03-04T20:33:06+01:00,74,17.66,19.37,1007.26,32.3,34,0,-127,"$GNGGA,193301.000,4900.2934,N,00825.4657,E,2,6,1.36,107.8,M,47.9,M,,*40",,,,
2022-03-04T20:33:26+01:00,75,17.35,19.85,1007.25,32.1,33.8,0,-127,"$GNGGA,193321.000,4900.2824,N,00825.4649,E,2,6,1.36,110.3,M,47.9,M,,*40",,,,
2022-03-04T20:33:47+01:00,76,16.98,20.23,1007.24,32.4,34.1,0,-127,"$GNGGA,193342.000,4900.2710,N,00825.4624,E,2,6,1.36,109.0,M,47.9,M,,*4D",,,,
2022-03-04T20:34:08+01:00,77,16.76,20.46,1007.25,33.8,35.5,0,-127,"$GNGGA,193403.000,4900.2580,N,00825.4631,E,2,6,1.36,108.0,M,47.9,M,,*41",,,,
2022-03-04T20:34:28+01:00,78,16.65,20.48,1007.24,34.3,36.1,0,-127,"$GNGGA,193423.000,4900.2449,N,00825.4647,E,2,6,1.36,108.9,M,47.9,M,,*4F",,,,
2022-03-04T20:34:49+01:00,79,16.59,20.36,1007.24,35.3,37.1,0,-127,"$GNGGA,193444.000,4900.2317,N,00825.4633,E,2,6,1.36,109.9,M,47.9,M,,*40",,,,
2022-03-04T20:35:10+01:00,80,16.49,20.28,1007.23,35.1,36.9,0,-127,"$GNGGA,193505.000,4900.2217,N,00825.4559,E,2,6,1.36,109.5,M,47.9,M,,*46",,,,
2022-03-04T20:35:30+01:00,81,16.39,20.36,1007.25,34.4,36.2,0,-127,"$GNGGA,193525.000,4900.2187,N,00825.4381,E,2,6,1.36,108.2,M,47.9,M,,*4B",,,,
2022-03-04T20:35:51+01:00,82,16.21,20.47,1007.25,34.6,36.4,0,-127,"$GNGGA,193546.000,4900.2196,N,00825.4196,E,2,6,1.36,107.2,M,47.9,M,,*45",,,,
2022-03-04T20:36:11+01:00,83,15.75,20.93,1007.25,35.8,37.6,0,-127,"$GNGGA,193606.000,4900.2233,N,00825.4017,E,2,5,2.38,106.8,M,47.9,M,,*43",,,,
2022-03-04T20:36:31+01:00,84,15.32,21.69,1007.25,35.4,37.2,0,-127,"$GNGGA,193626.000,4900.2284,N,00825.3847,E,2,6,1.36,106.1,M,47.9,M,,*40",,,,
2022-03-04T20:36:52+01:00,85,15.01,22.29,1007.25,34,35.8,0,-127,"$GNGGA,193647.000,4900.2320,N,00825.3654,E,2,6,1.36,107.7,M,47.9,M,,*43",,,,
2022-03-04T20:37:12+01:00,86,14.68,22.61,1007.26,34.4,36.2,0,-127,"$GNGGA,193707.000,4900.2365,N,00825.3479,E,2,6,1.36,107.4,M,47.9,M,,*49",,,,
2022-03-04T20:37:33+01:00,87,14.54,22.8,1007.25,33.3,35,0,-127,"$GNGGA,193728.000,4900.2421,N,00825.3286,E,2,6,1.35,109.2,M,47.9,M,,*4E",,,,
2022-03-04T20:37:54+01:00,88,14.52,22.89,1007.26,33.7,35.4,0,-127,"$GNGGA,193749.000,4900.2453,N,00825.3114,E,2,6,1.35,108.2,M,47.9,M,,*45",,,,
2022-03-04T20:38:14+01:00,89,14.54,22.82,1007.24,32.8,34.5,0,-127,"$GNGGA,193809.000,4900.2499,N,00825.2940,E,2,6,1.35,109.5,M,47.9,M,,*46",,,,
