created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-06T14:02:32+01:00,185,24.15,33.64,1007.16,195.1,204.9,0,-127,"$GNGGA,130228.096,4900.5608,N,00825.2355,E,0,0,,133.8,M,47.9,M,,*53",,,,
2022-03-06T14:02:53+01:00,186,24.55,31.13,1007.18,174.6,183.4,0,-127,"$GNGGA,130248.312,4900.5608,N,00825.2355,E,0,0,,133.8,M,47.9,M,,*5A",,,,
2022-03-06T14:03:13+01:00,187,25.24,28.31,1007.2,155.2,163,0,-127,"$GNGGA,130308.309,4900.5558,N,00825.6299,E,0,3,,133.7,M,47.9,M,,*5A",,,,
2022-03-06T14:03:33+01:00,188,26.08,26.44,1007.21,150.2,157.8,0,-127,"$GNGGA,130328.309,4900.5591,N,00825.6362,E,0,3,,133.7,M,47.9,M,,*58",,,,
2022-03-06T14:03:53+01:00,189,26.97,25.03,1007.22,152.3,160,0,-127,"$GNGGA,130348.309,4900.5700,N,00825.6469,E,0,3,,133.7,M,47.9,M,,*58",,,,
2022-03-06T14:04:13+01:00,190,27.87,23.97,1007.24,151.3,158.9,0,-127,"$GNGGA,130408.309,4900.5760,N,00825.6905,E,0,3,,133.7,M,47.9,M,,*5A",,,,
2022-03-06T14:04:34+01:00,191,28.75,23.08,1007.25,149.1,156.6,0,-127,"$GNGGA,130429.309,4900.5804,N,00825.7122,E,0,3,,133.7,M,47.9,M,,*58",,,,
2022-03-06T14:04:54+01:00,192,29.58,22.13,1007.25,149.1,156.6,0,-127,"$GNGGA,130449.309,4900.5169,N,00825.3031,E,0,2,,133.8,M,47.9,M,,*55",,,,
2022-03-06T14:05:14+01:00,193,30.38,21.48,1007.26,150.8,158.4,0,-127,"$GNGGA,130509.309,4900.5091,N,00825.2545,E,0,2,,133.8,M,47.9,M,,*51",,,,
2022-03-06T14:05:35+01:00,194,31.11,21.06,1007.25,152,159.7,0,-127,"$GNGGA,130530.309,4900.5606,N,00825.2356,E,0,1,,133.8,M,47.9,M,,*54",,,,
2022-03-06T14:05:55+01:00,195,31.8,20.79,1007.24,151.4,159,0,-127,"$GNGGA,130550.309,4900.6727,N,00825.2930,E,0,2,,133.7,M,47.9,M,,*55",,,,
2022-03-06T14:06:15+01:00,196,32.43,20.47,1007.23,149.3,156.8,0,-127,"$GNGGA,130610.309,4900.6587,N,00825.2837,E,0,2,,133.7,M,47.9,M,,*5C",,,,
2022-03-06T14:06:36+01:00,197,33.03,20.1,1007.23,148.1,155.6,0,-127,"$GNGGA,130631.309,4900.6337,N,00825.2679,E,0,2,,133.8,M,47.9,M,,*59",,,,
2022-03-06T14:06:56+01:00,198,33.57,19.86,1007.22,147,154.4,0,-127,"$GNGGA,130651.086,4900.6352,N,00825.2654,E,0,2,,133.7,M,47.9,M,,*58",,,,
2022-03-06T14:07:16+01:00,199,34.09,19.57,1007.22,148,155.5,0,-127,"$GNGGA,130711.086,4900.6315,N,00825.2624,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-03-06T14:07:36+01:00,200,34.58,19.32,1007.22,148.4,155.9,0,-127,"$GNGGA,130732.086,4900.6315,N,00825.2624,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2022-03-06T14:07:56+01:00,201,35.03,19.06,1007.23,147.7,155.1,0,-127,"$GNGGA,130752.086,4900.6315,N,00825.2624,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-03-06T14:08:17+01:00,202,35.45,18.84,1007.22,148.1,155.6,0,-127,"$GNGGA,130812.086,4900.6820,N,00824.4886,E,0,3,,99.4,M,47.9,M,,*6A",,,,
