created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-07T18:52:20+01:00,1,21.17,18.81,1010.56,36.60,38.50,0,-127.00,"$GNGGA,175215.098,4900.5294,N,00825.4950,E,0,0,,139.8,M,47.9,M,,*50",,,,
2022-03-07T18:52:40+01:00,2,20.57,16.02,1010.59,37.90,39.80,0,-127.00,"$GNGGA,175235.301,4850.3562,N,00800.6719,E,0,1,,215.2,M,47.9,M,,*5D",,,,
2022-03-07T18:53:02+01:00,3,19.78,15.40,1010.61,39.30,41.30,0,-127.00,"$GNGGA,175257.000,4900.5467,N,00825.4167,E,1,4,1.68,157.8,M,47.9,M,,*4D",,,,
2022-03-07T18:53:23+01:00,4,19.14,15.59,1010.61,40.10,42.20,0,-127.00,"$GNGGA,175318.000,4900.5454,N,00825.4126,E,1,6,1.38,134.8,M,47.9,M,,*40",,,,
2022-03-07T18:53:43+01:00,5,18.74,15.74,1010.60,40.40,42.50,0,-127.00,"$GNGGA,175338.000,4900.5437,N,00825.4288,E,1,6,1.38,145.4,M,47.9,M,,*4A",,,,
2022-03-07T18:54:04+01:00,6,18.44,15.51,1010.62,40.10,42.20,0,-127.00,"$GNGGA,175359.000,4900.5437,N,00825.4356,E,1,7,1.27,146.7,M,47.9,M,,*40",,,,
2022-03-07T18:54:24+01:00,7,18.26,15.43,1010.62,41.40,43.50,0,-127.00,"$GNGGA,175419.000,4900.5415,N,00825.4419,E,1,7,1.34,164.1,M,47.9,M,,*4B",,,,
2022-03-07T18:54:44+01:00,8,18.16,15.30,1010.63,41.40,43.50,0,-127.00,"$GNGGA,175439.000,4900.5430,N,00825.4373,E,1,9,1.06,158.1,M,47.9,M,,*45",,,,
2022-03-07T18:55:05+01:00,9,18.15,15.40,1010.64,42.00,44.20,0,-127.00,"$GNGGA,175500.000,4900.5440,N,00825.4364,E,1,10,0.95,154.7,M,47.9,M,,*76",,,,
2022-03-07T18:55:25+01:00,10,18.19,15.42,1010.65,42.30,44.50,0,-127.00,"$GNGGA,175520.000,4900.5458,N,00825.4357,E,1,10,0.95,153.0,M,47.9,M,,*7D",,,,
