created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-09T20:29:20+01:00,1,22.08,19.77,1011.23,42.10,44.30,0,-127.00,"$GNGGA,192916.093,4900.5677,N,00824.8317,E,0,0,,150.0,M,47.9,M,,*50",,,,
2022-03-09T20:29:41+01:00,2,21.86,18.92,1011.25,40.90,43.00,0,-127.00,"$GNGGA,192936.302,4900.5677,N,00824.8317,E,0,0,,150.0,M,47.9,M,,*59",,,,
2022-03-09T20:30:01+01:00,3,21.65,17.60,1011.27,42.80,45.00,0,-127.00,"$GNGGA,192956.302,5117.3001,N,00854.6114,E,0,1,,3692.7,M,47.7,M,,*6B",,,,
2022-03-09T20:30:22+01:00,4,21.45,17.05,1011.28,42.80,45.00,0,-127.00,"$GNGGA,193017.296,4900.7936,N,00824.8798,E,0,1,,150.0,M,47.9,M,,*54",,,,
2022-03-09T20:30:42+01:00,5,21.29,16.91,1011.29,44.70,47.00,0,-127.00,"$GNGGA,193037.296,4900.5677,N,00824.8317,E,0,1,,150.0,M,47.9,M,,*5D",,,,
2022-03-09T20:31:02+01:00,6,21.18,16.94,1011.29,45.00,47.30,0,-127.00,"$GNGGA,193057.296,4900.4221,N,00824.8720,E,0,2,,149.9,M,47.9,M,,*5F",,,,
2022-03-09T20:31:23+01:00,7,21.06,16.94,1011.29,44.50,46.80,0,-127.00,"$GNGGA,193118.296,4900.4227,N,00824.8689,E,0,2,,149.9,M,47.9,M,,*51",,,,
2022-03-09T20:31:43+01:00,8,21.00,17.20,1011.29,44.50,46.80,0,-127.00,"$GNGGA,193138.295,4900.4242,N,00824.8683,E,0,2,,149.9,M,47.9,M,,*59",,,,
2022-03-09T20:32:04+01:00,9,20.98,17.30,1011.29,44.10,46.40,0,-127.00,"$GNGGA,193159.092,4900.4842,N,00825.4234,E,0,3,,150.0,M,47.9,M,,*54",,,,
2022-03-09T20:32:24+01:00,10,20.98,17.94,1011.28,44.40,46.70,0,-127.00,"$GNGGA,193219.097,4900.4974,N,00825.4651,E,0,3,,150.0,M,47.9,M,,*55",,,,
2022-03-09T20:32:45+01:00,11,21.02,18.75,1011.27,44.70,47.00,0,-127.00,"$GNGGA,193240.000,4900.4823,N,00825.4090,E,1,5,1.46,148.6,M,47.9,M,,*4A",,,,
2022-03-09T20:33:05+01:00,12,21.07,19.37,1011.27,43.50,45.70,0,-127.00,"$GNGGA,193300.000,4900.4829,N,00825.4125,E,1,5,1.46,141.4,M,47.9,M,,*41",,,,
2022-03-09T20:33:26+01:00,13,21.13,19.68,1011.27,43.10,45.30,0,-127.00,"$GNGGA,193321.000,4900.4807,N,00825.4120,E,1,6,1.31,156.8,M,47.9,M,,*42",,,,
2022-03-09T20:33:46+01:00,14,21.02,17.64,1011.27,43.70,45.90,0,-127.00,"$GNGGA,193341.000,4900.4877,N,00825.4115,E,1,6,1.52,164.4,M,47.9,M,,*4D",,,,
2022-03-09T20:34:06+01:00,15,20.76,16.94,1011.26,46.50,48.90,0,-127.00,"$GNGGA,193401.000,4900.4984,N,00825.4107,E,1,6,1.31,161.7,M,47.9,M,,*43",,,,
