created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-11T16:32:24+01:00,58,31.62,14.05,1002.91,45.8,48.1,0,-127,"$GNGGA,153219.030,4900.5563,N,00826.5697,E,0,2,,148.4,M,47.9,M,,*5B",,,,
2022-03-11T16:32:44+01:00,59,31.39,13.55,1002.93,44,46.3,0,-127,"$GNGGA,153239.000,4900.5323,N,00825.4601,E,1,5,1.59,121.0,M,47.9,M,,*4B",,,,
2022-03-11T16:33:05+01:00,60,31.18,13.28,1002.93,43,45.2,0,-127,"$GNGGA,153300.000,4900.5272,N,00825.4596,E,1,7,1.22,129.7,M,47.9,M,,*49",,,,
2022-03-11T16:33:25+01:00,61,30.97,12.3,1002.92,42.1,44.3,0,-127,"$GNGGA,153320.000,4900.5270,N,00825.4581,E,1,8,1.12,125.4,M,47.9,M,,*4C",,,,
2022-03-11T16:33:45+01:00,62,30.77,12.04,1002.92,41.5,43.6,0,-127,"$GNGGA,153340.000,4900.5264,N,00825.4592,E,1,10,1.01,125.8,M,47.9,M,,*7A",,,,
2022-03-11T16:34:06+01:00,63,30.41,12.36,1002.94,40.8,42.9,0,-127,"$GNGGA,153401.000,4900.5258,N,00825.4562,E,1,10,1.01,123.0,M,47.9,M,,*76",,,,
2022-03-11T16:34:26+01:00,64,30.02,12.05,1002.94,39.9,41.9,0,-127,"$GNGGA,153421.000,4900.5132,N,00825.4490,E,1,7,1.20,118.0,M,47.9,M,,*4A",,,,
2022-03-11T16:34:46+01:00,65,29.49,12.59,1002.94,39.9,41.9,0,-127,"$GNGGA,153441.000,4900.5118,N,00825.4288,E,1,9,1.09,120.5,M,47.9,M,,*40",,,,
2022-03-11T16:35:07+01:00,66,28.87,12.68,1002.94,40.8,42.9,0,-127,"$GNGGA,153502.000,4900.5058,N,00825.4229,E,6,0,99.99,120.6,M,47.9,M,,*7D",,,,
2022-03-11T16:35:27+01:00,67,28.46,12.75,1002.95,42.1,44.3,0,-127,"$GNGGA,153522.000,4900.5059,N,00825.4233,E,0,0,,120.5,M,47.9,M,,*5E",,,,
2022-03-11T16:35:47+01:00,68,28.17,12.62,1002.95,42.1,44.3,0,-127,"$GNGGA,153542.000,4900.5059,N,00825.4233,E,0,0,,120.5,M,47.9,M,,*58",,,,
2022-03-11T16:36:08+01:00,69,27.9,12.56,1002.94,43,45.2,0,-127,"$GNGGA,153603.000,4900.5059,N,00825.4233,E,0,0,,120.5,M,47.9,M,,*5E",,,,
2022-03-11T16:36:28+01:00,70,27.72,12.64,1002.94,41.4,43.5,0,-127,"$GNGGA,153623.000,4900.5059,N,00825.4233,E,0,0,,120.5,M,47.9,M,,*5C",,,,
2022-03-11T16:36:48+01:00,71,27.61,12.79,1002.95,42.4,44.6,0,-127,"$GNGGA,153643.000,4900.5059,N,00825.4233,E,0,0,,120.5,M,47.9,M,,*5A",,,,
2022-03-11T16:37:09+01:00,72,27.52,13.62,1002.96,40.5,42.6,0,-127,"$GNGGA,153704.000,4900.5057,N,00825.4228,E,0,0,,120.5,M,47.9,M,,*5C",,,,
2022-03-11T16:37:29+01:00,73,27.38,12.81,1002.94,41.2,43.3,0,-127,"$GNGGA,153724.000,4900.5057,N,00825.4228,E,0,0,,120.5,M,47.9,M,,*5E",,,,
2022-03-11T16:37:49+01:00,74,27.2,12.88,1002.94,40.3,42.4,0,-127,"$GNGGA,153744.000,4900.5060,N,00825.4277,E,1,9,1.09,115.3,M,47.9,M,,*48",,,,
2022-03-11T16:38:10+01:00,75,26.84,13.24,1002.93,40,42.1,0,-127,"$GNGGA,153805.000,4900.5022,N,00825.4262,E,1,9,1.09,119.0,M,47.9,M,,*4F",,,,
2022-03-11T16:38:30+01:00,76,26.15,13.67,1002.91,38.8,40.8,0,-127,"$GNGGA,153825.000,4900.5310,N,00825.4233,E,1,9,1.09,140.5,M,47.9,M,,*42",,,,
2022-03-11T16:38:51+01:00,77,24.94,14.74,1002.9,40.3,42.4,0,-127,"$GNGGA,153846.000,4900.5579,N,00825.4427,E,1,9,1.09,136.8,M,47.9,M,,*41",,,,
