created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-12T01:57:56+01:00,1,23.46,22.97,1003.73,173.80,182.50,0,-127.00,"$GNGGA,000024.264,4900.5725,N,00824.4025,E,0,0,,102.1,M,47.9,M,,*56",,,,
2022-03-12T01:58:17+01:00,2,23.63,22.71,1003.76,169.40,177.90,0,-127.00,"$GNGGA,005812.088,4900.5725,N,00824.4025,E,0,0,,131.9,M,47.9,M,,*56",,,,
2022-03-12T01:58:38+01:00,3,24.10,21.74,1003.78,172.20,180.90,0,-127.00,"$GNGGA,005833.095,4905.7700,N,00829.7398,E,0,1,,134.2,M,47.9,M,,*5D",,,,
2022-03-12T01:58:59+01:00,4,24.73,20.80,1003.80,167.90,176.30,0,-127.00,"$GNGGA,005854.091,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57",,,,
2022-03-12T01:59:19+01:00,5,25.41,20.06,1003.83,167.90,176.30,0,-127.00,"$GNGGA,005914.306,4900.5257,N,00825.3313,E,0,3,,102.1,M,47.9,M,,*5F",,,,
2022-03-12T01:59:39+01:00,6,26.11,19.47,1003.85,161.70,169.80,0,-127.00,"$GNGGA,005934.302,4900.5260,N,00825.3366,E,0,3,,102.1,M,47.9,M,,*5F",,,,
2022-03-12T01:59:58+01:00,7,26.79,18.91,1003.87,160.90,169.00,0,-127.00,"$GNGGA,005954.092,4900.5218,N,00825.4923,E,0,3,,102.1,M,47.9,M,,*50",,,,
2022-03-12T02:00:18+01:00,8,27.44,18.61,1003.88,162.20,170.40,0,-127.00,"$GNGGA,010014.091,4900.5271,N,00825.4560,E,0,3,,102.1,M,47.9,M,,*5E",,,,
2022-03-12T02:00:39+01:00,9,28.06,18.29,1003.89,163.90,172.10,0,-127.00,"$GNGGA,010034.305,4900.5276,N,00825.5026,E,0,3,,102.1,M,47.9,M,,*53",,,,
2022-03-12T02:00:58+01:00,10,28.65,18.07,1003.89,165.50,173.80,0,-127.00,"$GNGGA,010054.093,4900.5244,N,00825.3539,E,0,3,,102.1,M,47.9,M,,*55",,,,
2022-03-12T02:01:18+01:00,11,29.19,17.80,1003.88,164.60,172.90,0,-127.00,"$GNGGA,010113.301,4900.5295,N,00825.3477,E,0,3,,102.1,M,47.9,M,,*58",,,,
2022-03-12T02:01:38+01:00,12,29.70,17.58,1003.90,163.10,171.30,0,-127.00,"$GNGGA,010133.302,4900.5317,N,00825.3016,E,0,3,,102.1,M,47.9,M,,*51",,,,
