created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-13T10:58:32+01:00,1,22.11,22.34,1004.17,48.90,51.40,0,-127.00,"$GNGGA,095827.132,4900.5204,N,00825.5388,E,0,0,,47.3,M,47.9,M,,*61",,,,
2022-03-13T10:58:52+01:00,2,21.70,21.50,1004.18,49.20,51.70,0,-127.00,"$GNGGA,095847.095,4900.5204,N,00825.5388,E,0,0,,47.3,M,47.9,M,,*6B",,,,
2022-03-13T10:59:12+01:00,3,21.40,21.66,1004.18,49.60,52.10,0,-127.00,"$GNGGA,095907.088,4900.5152,N,00825.5218,E,0,2,,47.3,M,47.9,M,,*68",,,,
2022-03-13T10:59:33+01:00,4,21.21,21.67,1004.17,46.60,49.00,0,-127.00,"$GNGGA,095928.088,4900.5238,N,00825.5395,E,0,2,,47.3,M,47.9,M,,*6E",,,,
2022-03-13T10:59:53+01:00,5,20.87,21.55,1004.15,45.70,48.00,0,-127.00,"$GNGGA,095948.088,4900.5451,N,00825.4211,E,0,3,,47.3,M,47.9,M,,*6C",,,,
2022-03-13T11:00:13+01:00,6,20.68,21.98,1004.13,46.40,48.80,0,-127.00,"$GNGGA,100008.088,4900.5427,N,00825.4086,E,0,3,,47.3,M,47.9,M,,*61",,,,
2022-03-13T11:00:34+01:00,7,20.62,22.44,1004.11,47.20,49.60,0,-127.00,"$GNGGA,100029.088,4900.5385,N,00825.4042,E,0,3,,47.3,M,47.9,M,,*65",,,,
2022-03-13T11:00:54+01:00,8,20.64,22.29,1004.12,46.80,49.20,0,-127.00,"$GNGGA,100049.088,4900.5378,N,00825.4190,E,0,3,,47.3,M,47.9,M,,*6F",,,,
2022-03-13T11:01:14+01:00,9,20.71,22.46,1004.12,46.80,49.20,0,-127.00,"$GNGGA,100109.088,4900.5368,N,00825.4225,E,0,3,,47.3,M,47.9,M,,*66",,,,
2022-03-13T11:01:35+01:00,10,20.74,21.93,1004.13,46.70,49.10,0,-127.00,"$GNGGA,100130.088,4900.5052,N,00825.4271,E,0,4,,142.5,M,47.9,M,,*52",,,,
2022-03-13T11:01:55+01:00,11,20.66,21.53,1004.13,50.00,52.60,0,-127.00,"$GNGGA,100150.000,4900.4971,N,00825.4237,E,1,4,2.20,141.3,M,47.9,M,,*45",,,,
2022-03-13T11:02:15+01:00,12,20.64,22.01,1004.12,51.10,53.70,0,-127.00,"$GNGGA,100210.000,4900.5058,N,00825.4335,E,1,5,1.64,149.5,M,47.9,M,,*4E",,,,
