created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-14T14:34:16+01:00,1,23.69,32.57,1013.79,256.50,269.40,0,-127.00,"$GNGGA,133411.089,4924.1913,N,00840.5258,E,0,0,,125.9,M,48.0,M,,*5D",,,,
2022-03-14T14:34:36+01:00,2,24.06,31.10,1013.81,234.60,246.40,0,-127.00,"$GNGGA,133431.094,4931.5704,N,00853.2809,E,0,1,,133.9,M,48.0,M,,*56",,,,
2022-03-14T14:34:57+01:00,3,24.75,29.03,1013.83,215.30,226.10,0,-127.00,"$GNGGA,133452.094,4924.1935,N,00840.5296,E,0,1,,125.9,M,48.0,M,,*51",,,,
2022-03-14T14:35:17+01:00,4,25.57,27.37,1013.84,195.10,204.90,0,-127.00,"$GNGGA,133512.094,4900.5171,N,00825.4319,E,0,3,,133.0,M,47.9,M,,*50",,,,
2022-03-14T14:35:37+01:00,5,26.46,26.09,1013.87,187.00,196.40,0,-127.00,"$GNGGA,133532.094,4900.5142,N,00825.4280,E,0,3,,132.8,M,47.9,M,,*5A",,,,
2022-03-14T14:35:58+01:00,6,27.35,25.06,1013.88,188.10,197.60,0,-127.00,"$GNGGA,133553.094,4900.5103,N,00825.4144,E,0,3,,132.7,M,47.9,M,,*5C",,,,
2022-03-14T14:36:18+01:00,7,28.21,24.29,1013.89,193.00,202.70,0,-127.00,"$GNGGA,133613.094,4900.5161,N,00825.4297,E,0,3,,132.6,M,47.9,M,,*53",,,,
2022-03-14T14:36:39+01:00,8,29.03,23.61,1013.91,202.20,212.40,0,-127.00,"$GNGGA,133634.094,4900.5138,N,00825.4209,E,0,3,,132.5,M,47.9,M,,*5E",,,,
2022-03-14T14:37:00+01:00,9,29.80,23.02,1013.93,205.20,215.50,0,-127.00,"$GNGGA,133655.094,4900.5118,N,00825.4070,E,0,3,,132.4,M,47.9,M,,*56",,,,
2022-03-14T14:37:20+01:00,10,30.52,22.57,1013.94,205.70,216.00,0,-127.00,"$GNGGA,133715.094,4900.5194,N,00825.4188,E,0,3,,132.3,M,47.9,M,,*56",,,,
2022-03-14T14:37:40+01:00,11,31.20,22.15,1013.94,204.60,214.90,0,-127.00,"$GNGGA,133735.094,4900.5248,N,00825.4477,E,0,3,,132.2,M,47.9,M,,*52",,,,
2022-03-14T14:38:01+01:00,12,31.83,21.74,1013.96,201.10,211.20,0,-127.00,"$GNGGA,133756.094,4900.5223,N,00825.4429,E,0,3,,132.1,M,47.9,M,,*52",,,,
2022-03-14T14:38:21+01:00,13,32.41,21.40,1013.97,200.10,210.20,0,-127.00,"$GNGGA,133816.094,4900.5207,N,00825.4448,E,0,3,,132.0,M,47.9,M,,*59",,,,
2022-03-14T14:38:42+01:00,14,32.97,21.07,1013.96,198.80,208.80,0,-127.00,"$GNGGA,133837.094,4900.5214,N,00825.4522,E,0,3,,131.9,M,47.9,M,,*5F",,,,
2022-03-14T14:39:03+01:00,15,33.49,20.75,1013.95,198.40,208.40,0,-127.00,"$GNGGA,133858.094,4900.5196,N,00825.4418,E,0,3,,102.0,M,47.9,M,,*5E",,,,
