created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-16T14:38:15+01:00,1,23.69,42.17,1008.46,274.30,288.10,0,-127.00,"$GNGGA,133810.090,4901.1089,N,00825.2985,E,0,0,,126.1,M,47.9,M,,*57",,,,
2022-03-16T14:38:35+01:00,2,24.08,40.22,1008.48,247.20,259.60,0,-127.00,"$GNGGA,133830.307,4901.6790,N,00827.5570,E,0,2,,126.2,M,47.9,M,,*52",,,,
2022-03-16T14:38:55+01:00,3,24.75,37.73,1008.45,220.70,231.80,0,-127.00,"$GNGGA,133850.307,4900.5186,N,00825.4394,E,0,3,,126.1,M,47.9,M,,*5A",,,,
2022-03-16T14:39:16+01:00,4,25.57,35.50,1008.49,203.20,213.40,0,-127.00,"$GNGGA,133911.307,4900.5167,N,00825.4416,E,0,3,,126.1,M,47.9,M,,*5C",,,,
2022-03-16T14:39:36+01:00,5,26.44,33.96,1008.51,200.00,210.10,0,-127.00,"$GNGGA,133931.307,4900.5206,N,00825.4482,E,0,3,,126.1,M,47.9,M,,*57",,,,
2022-03-16T14:39:56+01:00,6,27.32,32.69,1008.52,202.80,213.00,0,-127.00,"$GNGGA,133951.307,4900.5184,N,00825.4309,E,0,3,,126.1,M,47.9,M,,*5C",,,,
2022-03-16T14:40:17+01:00,7,28.18,31.57,1008.54,206.50,216.90,0,-127.00,"$GNGGA,134012.307,4900.5178,N,00825.4392,E,0,3,,126.1,M,47.9,M,,*54",,,,
2022-03-16T14:40:37+01:00,8,28.99,30.71,1008.54,207.40,217.80,0,-127.00,"$GNGGA,134032.307,4900.5190,N,00825.4360,E,0,3,,126.1,M,47.9,M,,*5D",,,,
2022-03-16T14:40:57+01:00,9,29.76,29.99,1008.55,205.90,216.20,0,-127.00,"$GNGGA,134052.307,4900.5169,N,00825.4421,E,0,3,,126.1,M,47.9,M,,*5F",,,,
2022-03-16T14:41:18+01:00,10,30.48,29.32,1008.55,205.50,215.80,0,-127.00,"$GNGGA,134113.307,4900.5177,N,00825.4299,E,0,3,,126.1,M,47.9,M,,*51",,,,
2022-03-16T14:41:39+01:00,11,31.14,28.74,1008.55,208.10,218.60,0,-127.00,"$GNGGA,134134.000,4900.5215,N,00825.4567,E,0,4,,136.2,M,47.9,M,,*54",,,,
2022-03-16T14:41:59+01:00,12,31.77,28.23,1008.55,210.80,221.40,0,-127.00,"$GNGGA,134154.000,4900.5200,N,00825.4454,E,1,4,7.48,130.8,M,47.9,M,,*4F",,,,
2022-03-16T14:42:20+01:00,13,32.36,27.72,1008.53,210.90,221.50,0,-127.00,"$GNGGA,134215.000,4900.5190,N,00825.4373,E,1,4,7.48,133.0,M,47.9,M,,*4A",,,,
2022-03-16T14:42:40+01:00,14,32.91,27.32,1008.52,214.00,224.80,0,-127.00,"$GNGGA,134235.000,4900.5201,N,00825.4272,E,1,4,7.48,123.2,M,47.9,M,,*40",,,,
2022-03-16T14:43:00+01:00,15,33.42,26.91,1008.51,211.30,221.90,0,-127.00,"$GNGGA,134255.000,4900.5196,N,00825.4143,E,1,4,7.47,112.2,M,47.9,M,,*47",,,,
2022-03-16T14:43:21+01:00,16,33.90,26.52,1008.51,203.70,213.90,0,-127.00,"$GNGGA,134316.000,4900.5206,N,00825.4132,E,1,4,7.47,113.3,M,47.9,M,,*4D",,,,
2022-03-16T14:43:41+01:00,17,34.35,26.18,1008.49,198.80,208.80,0,-127.00,"$GNGGA,134336.000,4900.5227,N,00825.4280,E,1,4,7.46,111.1,M,47.9,M,,*47",,,,
2022-03-16T14:44:01+01:00,18,34.77,25.86,1008.48,200.30,210.40,0,-127.00,"$GNGGA,134356.000,4900.5253,N,00825.4441,E,1,4,7.45,112.5,M,47.9,M,,*4D",,,,
2022-03-16T14:44:22+01:00,19,35.17,25.56,1008.46,206.60,217.00,0,-127.00,"$GNGGA,134417.000,4900.5238,N,00825.4381,E,1,4,7.45,110.3,M,47.9,M,,*4D",,,,
