created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-03-16T17:47:39+00:00,1,28.55,23.84,1009.08,45.10,47.40,0,-127.00,"$GNGGA,000023.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-03-16T17:47:59+00:00,2,28.25,24.35,1009.07,44.30,46.60,0,-127.00,"$GNGGA,000043.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2022-03-16T17:48:19+00:00,3,27.72,24.95,1009.07,43.50,45.70,0,-127.00,"$GNGGA,000103.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-03-16T17:48:39+00:00,4,27.49,24.85,1009.06,43.50,45.70,0,-127.00,"$GNGGA,000123.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-03-16T17:49:00+00:00,5,27.35,24.82,1009.06,43.40,45.60,0,-127.00,"$GNGGA,000144.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-03-16T17:49:20+00:00,6,27.25,24.45,1009.06,43.60,45.80,0,-127.00,"$GNGGA,000204.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5C",,,,
2022-03-16T17:49:40+00:00,7,27.08,24.71,1009.07,41.30,43.40,0,-127.00,"$GNGGA,000224.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2022-03-16T17:50:00+00:00,8,26.94,24.81,1009.06,41.30,43.40,0,-127.00,"$GNGGA,000244.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-03-16T17:50:20+00:00,9,26.84,25.06,1009.07,42.20,44.40,0,-127.00,"$GNGGA,000304.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5D",,,,
2022-03-16T17:50:40+00:00,10,26.82,25.15,1009.08,43.90,46.10,0,-127.00,"$GNGGA,000324.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5F",,,,
2022-03-16T17:51:02+00:00,11,26.79,24.97,1009.09,45.30,47.60,0,-127.00,"$GNGGA,000346.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-03-16T17:51:22+00:00,12,26.81,24.63,1009.08,45.20,47.50,0,-127.00,"$GNGGA,000406.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*58",,,,
2022-03-16T17:51:42+00:00,13,26.79,24.59,1009.09,44.70,47.00,0,-127.00,"$GNGGA,000426.435,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*5A",,,,
2022-03-16T17:52:03+00:00,14,26.78,24.99,1009.09,43.20,45.40,0,-127.00,"$GNGGA,175216.287,4900.5444,N,00825.3508,E,0,0,,102.1,M,47.9,M,,*53",,,,
2022-03-16T17:52:23+00:00,15,26.63,25.02,1009.10,41.20,43.30,0,-127.00,"$GNGGA,175218.092,4901.7476,N,00825.3475,E,0,0,,-57.6,M,47.9,M,,*49",,,,
2022-03-16T17:52:43+00:00,16,26.38,25.39,1009.10,38.30,40.30,0,-127.00,"$GNGGA,175238.000,4900.6513,N,00825.3935,E,1,5,1.95,141.4,M,47.9,M,,*45",,,,
2022-03-16T17:53:04+00:00,17,26.21,25.50,1009.09,35.30,37.10,0,-127.00,"$GNGGA,175259.000,4900.6660,N,00825.4079,E,1,4,2.46,141.4,M,47.9,M,,*4F",,,,
2022-03-16T17:53:24+00:00,18,26.08,25.59,1009.09,33.70,35.40,0,-127.00,"$GNGGA,175319.000,4900.6655,N,00825.4100,E,1,6,1.18,147.0,M,47.9,M,,*4B",,,,
2022-03-16T17:53:44+00:00,19,25.98,25.65,1009.09,34.30,36.10,0,-127.00,"$GNGGA,175339.000,4900.6694,N,00825.4028,E,1,8,0.97,149.9,M,47.9,M,,*40",,,,
2022-03-16T17:54:05+00:00,20,25.80,26.24,1009.11,37.10,39.00,0,-127.00,"$GNGGA,175400.000,4900.7072,N,00825.3819,E,1,8,0.96,146.3,M,47.9,M,,*4B",,,,
2022-03-16T17:54:31+00:00,21,25.45,27.00,1009.12,37.70,39.60,0,-127.00,"$GNGGA,175420.000,4900.7494,N,00825.3871,E,1,7,1.01,139.5,M,47.9,M,,*45",,,,
2022-03-16T18:02:56+00:00,22,23.71,30.01,1009.03,40.00,42.10,0,-127.00,"$GNGGA,180251.090,4900.7901,N,00825.4693,E,1,4,2.40,129.7,M,47.9,M,,*44",,,,
2022-03-16T19:36:56+00:00,23,20.10,38.02,1009.24,57.00,62.00,0,-127.00,"$GNGGA,193651.000,4900.9928,N,00825.3235,E,1,4,5.57,117.5,M,47.9,M,,*4F",,,,
2022-03-16T19:39:42+00:00,24,19.35,39.13,1009.21,44.40,46.70,0,-127.00,"$GNGGA,193937.000,4900.9013,N,00825.3539,E,1,4,4.95,122.1,M,47.9,M,,*47",,,,
2022-03-16T19:40:02+00:00,25,19.14,39.23,1009.21,44.50,46.80,0,-127.00,"$GNGGA,193957.000,4900.8735,N,00825.3399,E,1,4,4.88,120.8,M,47.9,M,,*48",,,,
2022-03-16T19:40:23+00:00,26,18.97,39.35,1009.21,44.20,46.50,0,-127.00,"$GNGGA,194018.000,4900.8575,N,00825.3330,E,1,4,4.81,126.5,M,47.9,M,,*4A",,,,
2022-03-16T19:40:44+00:00,27,18.82,39.39,1009.22,41.60,43.70,0,-127.00,"$GNGGA,194039.000,4900.8566,N,00825.3524,E,1,4,4.75,132.3,M,47.9,M,,*40",,,,
2022-03-16T19:41:04+00:00,28,18.73,39.33,1009.22,40.80,42.90,0,-127.00,"$GNGGA,194059.000,4900.8291,N,00825.3341,E,1,4,4.68,136.3,M,47.9,M,,*44",,,,
2022-03-16T19:41:48+00:00,29,19.59,38.87,1009.20,44.20,46.50,0,-127.00,"$GNGGA,194143.092,4900.7793,N,00825.3135,E,0,3,,134.3,M,47.9,M,,*5C",,,,
2022-03-16T19:42:08+00:00,30,19.39,38.99,1009.21,44.80,47.10,0,-127.00,"$GNGGA,194203.000,4900.7934,N,00825.3656,E,0,3,,149.1,M,47.9,M,,*59",,,,
2022-03-16T19:42:28+00:00,31,19.24,38.73,1009.22,43.80,46.00,0,-127.00,"$GNGGA,194223.000,4900.7867,N,00825.3592,E,0,4,,150.5,M,47.9,M,,*5C",,,,
2022-03-16T19:42:49+00:00,32,19.08,38.80,1009.22,44.10,46.40,0,-127.00,"$GNGGA,194244.000,4900.7769,N,00825.3632,E,0,4,,149.7,M,47.9,M,,*5F",,,,
2022-03-16T19:43:09+00:00,33,18.96,38.87,1009.22,42.80,45.00,0,-127.00,"$GNGGA,194304.000,4900.7561,N,00825.3582,E,1,4,4.33,151.6,M,47.9,M,,*4B",,,,
2022-03-16T19:43:29+00:00,34,18.88,38.82,1009.23,42.50,44.70,0,-127.00,"$GNGGA,194324.000,4900.7553,N,00825.3816,E,1,4,4.28,144.8,M,47.9,M,,*48",,,,
2022-03-16T19:43:50+00:00,35,18.85,38.82,1009.24,41.60,43.70,0,-127.00,"$GNGGA,194345.000,4900.7474,N,00825.3746,E,1,4,4.22,146.5,M,47.9,M,,*44",,,,
2022-03-16T19:44:10+00:00,36,18.82,38.64,1009.25,42.20,44.40,0,-127.00,"$GNGGA,194405.000,4900.7431,N,00825.3674,E,1,4,4.17,148.3,M,47.9,M,,*48",,,,
2022-03-16T19:44:31+00:00,37,18.86,38.60,1009.26,42.30,44.50,0,-127.00,"$GNGGA,194426.000,4900.7319,N,00825.3648,E,1,4,4.12,145.8,M,47.9,M,,*48",,,,
2022-03-16T19:44:51+00:00,38,18.93,38.21,1009.25,40.60,42.70,0,-127.00,"$GNGGA,194446.000,4900.7337,N,00825.3681,E,1,6,2.78,144.7,M,47.9,M,,*41",,,,
2022-03-16T19:45:11+00:00,39,18.89,38.17,1009.25,40.00,42.10,0,-127.00,"$GNGGA,194506.000,4900.7319,N,00825.3721,E,1,6,2.77,149.6,M,47.9,M,,*40",,,,
2022-03-16T19:45:32+00:00,40,18.91,38.38,1009.26,39.10,41.10,0,-127.00,"$GNGGA,194527.000,4900.7239,N,00825.3687,E,1,6,2.76,154.3,M,47.9,M,,*45",,,,
2022-03-16T19:45:52+00:00,41,18.94,38.18,1009.26,39.00,41.00,0,-127.00,"$GNGGA,194547.000,4900.7177,N,00825.3744,E,1,6,2.74,156.0,M,47.9,M,,*47",,,,
2022-03-16T19:46:12+00:00,42,18.90,38.31,1009.25,39.70,41.70,0,-127.00,"$GNGGA,194607.000,4900.7016,N,00825.3764,E,1,6,2.75,153.9,M,47.9,M,,*49",,,,
