created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-04-12T05:38:15+02:00,1,22.76,34.16,998.46,60.10,63.20,0,-127.00,"$GNGGA,000025.263,4900.4737,N,00825.4143,E,0,0,,102.1,M,47.9,M,,*52",,,,
2022-04-12T05:38:35+02:00,2,22.63,34.13,998.46,45.30,47.60,0,-127.00,"$GNGGA,033831.089,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58",,,,
2022-04-12T05:38:55+02:00,3,22.60,33.88,998.47,29.90,31.40,0,-127.00,"$GNGGA,033851.089,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E",,,,
2022-04-12T05:39:15+02:00,4,22.64,33.65,998.48,27.70,29.10,0,-127.00,"$GNGGA,033911.089,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B",,,,
2022-04-12T05:39:35+02:00,5,22.73,33.45,998.48,27.60,29.00,0,-127.00,"$GNGGA,033931.283,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51",,,,
2022-04-12T05:39:55+02:00,6,22.85,33.28,998.49,27.40,28.80,0,-127.00,"$GNGGA,033951.086,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50",,,,
2022-04-12T05:40:15+02:00,7,22.99,33.15,998.49,29.40,30.90,0,-127.00,"$GNGGA,034011.086,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A",,,,
2022-04-12T05:40:35+02:00,8,23.13,33.03,998.50,30.00,31.60,0,-127.00,"$GNGGA,034031.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B",,,,
2022-04-12T05:40:55+02:00,9,23.29,32.94,998.51,30.60,32.20,0,-127.00,"$GNGGA,034051.084,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C",,,,
2022-04-12T05:41:16+02:00,10,23.45,32.83,998.53,30.70,32.30,0,-127.00,"$GNGGA,034111.304,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52",,,,
2022-04-12T05:41:35+02:00,11,23.61,32.74,998.53,31.20,32.80,0,-127.00,"$GNGGA,034131.086,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59",,,,
2022-04-12T05:41:55+02:00,12,23.78,32.65,998.55,31.30,32.90,0,-127.00,"$GNGGA,034151.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C",,,,
2022-04-12T05:42:16+02:00,13,23.93,32.56,998.56,30.80,32.40,0,-127.00,"$GNGGA,034211.299,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54",,,,
2022-04-12T05:42:35+02:00,14,24.09,32.50,998.56,30.70,32.30,0,-127.00,"$GNGGA,034231.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59",,,,
2022-04-12T05:42:55+02:00,15,24.24,32.42,998.55,31.10,32.70,0,-127.00,"$GNGGA,034251.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F",,,,
2022-04-12T05:43:15+02:00,16,24.39,32.35,998.55,31.30,32.90,0,-127.00,"$GNGGA,034311.082,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D",,,,
2022-04-12T05:43:35+02:00,17,24.53,32.29,998.54,31.90,33.50,0,-127.00,"$GNGGA,034331.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58",,,,
2022-04-12T05:43:55+02:00,18,24.67,32.23,998.54,31.80,33.40,0,-127.00,"$GNGGA,034351.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E",,,,
2022-04-12T05:44:15+02:00,19,24.81,32.16,998.54,31.70,33.30,0,-127.00,"$GNGGA,034411.088,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50",,,,
2022-04-12T05:44:35+02:00,20,24.94,32.09,998.53,31.40,33.00,0,-127.00,"$GNGGA,034430.299,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51",,,,
2022-04-12T05:44:54+02:00,21,25.07,32.05,998.54,31.30,32.90,0,-127.00,"$GNGGA,034450.288,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57",,,,
2022-04-12T05:45:15+02:00,22,25.19,31.96,998.54,31.80,33.40,0,-127.00,"$GNGGA,034510.301,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52",,,,
2022-04-12T05:45:34+02:00,23,25.31,31.89,998.55,31.70,33.30,0,-127.00,"$GNGGA,034530.082,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58",,,,
2022-04-12T05:45:54+02:00,24,25.43,31.81,998.55,31.90,33.50,0,-127.00,"$GNGGA,034549.294,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
2022-04-12T05:46:13+02:00,25,25.55,31.76,998.56,31.20,32.80,0,-127.00,"$GNGGA,034609.295,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55",,,,
2022-04-12T05:46:33+02:00,26,25.67,31.69,998.57,30.80,32.40,0,-127.00,"$GNGGA,034629.087,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56",,,,
2022-04-12T05:46:53+02:00,27,25.78,31.61,998.57,30.10,31.70,0,-127.00,"$GNGGA,034649.085,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52",,,,
2022-04-12T05:47:13+02:00,28,25.89,31.54,998.57,30.50,32.10,0,-127.00,"$GNGGA,034708.293,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53",,,,
