created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2022-05-09T18:42:45+02:00,1,26.35,44.08,1007.21,5.90,11.70,0,0,"$GNGGA,000026.264,4900.5991,N,00825.4242,E,0,0,,102.1,M,47.9,M,,*57",,,,
2022-05-09T18:43:05+02:00,2,26.48,42.18,1007.21,5.70,7.50,0,0,"$GNGGA,000046.264,4900.5991,N,00825.4242,E,0,0,,102.1,M,47.9,M,,*51",,,,
2022-05-09T18:43:25+02:00,3,26.82,40.38,1007.22,5.80,10.10,0,0,"$GNGGA,000106.264,4900.5991,N,00825.4242,E,0,0,,102.1,M,47.9,M,,*54",,,,
2022-05-09T18:43:45+02:00,4,27.29,38.69,1007.23,5.70,7.40,0,0,"$GNGGA,164341.091,4900.5991,N,00825.4242,E,0,0,,160.4,M,47.9,M,,*5F",,,,
2022-05-09T18:44:06+02:00,5,27.82,36.72,1007.23,5.70,6.80,0,0,"$GNGGA,164402.091,4900.6540,N,00824.2187,E,0,1,,160.4,M,47.9,M,,*50",,,,
2022-05-09T18:44:26+02:00,6,28.36,35.51,1007.24,5.40,6.00,0,0,"$GNGGA,164422.091,4900.5991,N,00825.4243,E,0,1,,160.4,M,47.9,M,,*5D",,,,
2022-05-09T18:44:48+02:00,7,28.90,34.19,1007.23,5.70,6.40,0,0,"$GNGGA,164443.091,4900.5991,N,00825.4237,E,0,1,,160.4,M,47.9,M,,*59",,,,
2022-05-09T18:45:08+02:00,8,29.43,33.10,1007.24,5.50,6.40,0,0,"$GNGGA,164503.091,4900.5991,N,00825.4247,E,0,1,,160.4,M,47.9,M,,*5B",,,,
2022-05-09T18:45:27+02:00,9,29.92,32.18,1007.24,5.70,7.50,0,0,"$GNGGA,164523.091,4900.5991,N,00825.4240,E,0,1,,160.4,M,47.9,M,,*5E",,,,
2022-05-09T18:45:49+02:00,10,30.39,31.64,1007.24,5.50,8.60,0,0,"$GNGGA,164544.091,4900.5991,N,00825.4242,E,0,1,,160.4,M,47.9,M,,*5D",,,,
2022-05-09T18:46:09+02:00,11,30.84,31.31,1007.24,5.80,8.80,0,0,"$GNGGA,164604.091,4900.5991,N,00825.4244,E,0,1,,160.4,M,47.9,M,,*5C",,,,
2022-05-09T18:46:28+02:00,12,31.25,30.67,1007.24,5.00,8.60,0,0,"$GNGGA,164624.086,4900.5991,N,00825.4243,E,0,1,,160.4,M,47.9,M,,*5F",,,,
2022-05-09T18:46:49+02:00,13,31.65,29.94,1007.24,5.40,6.00,0,0,"$GNGGA,164645.085,4900.5991,N,00825.4239,E,0,1,,160.4,M,47.9,M,,*56",,,,
2022-05-09T18:47:09+02:00,14,32.00,28.97,1007.24,5.80,6.70,0,0,"$GNGGA,164705.085,4900.5991,N,00825.4241,E,0,1,,160.4,M,47.9,M,,*5C",,,,
2022-05-09T18:47:30+02:00,15,32.33,28.76,1007.23,5.70,9.10,0,0,"$GNGGA,164725.085,4900.5991,N,00825.4241,E,0,0,,102.1,M,47.9,M,,*5E",,,,
2022-05-09T18:47:50+02:00,16,32.65,28.76,1007.22,5.80,8.80,0,0,"$GNGGA,164746.085,4900.5991,N,00825.4241,E,0,0,,102.1,M,47.9,M,,*5B",,,,
2022-05-09T18:48:10+02:00,17,32.93,28.35,1007.23,5.70,7.80,0,0,"$GNGGA,164806.085,4900.5991,N,00825.4241,E,0,0,,102.1,M,47.9,M,,*50",,,,
